"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Will Smith","Dodgers","102","408","352","88","18","1","22","58","65","45","91","1","1",".248",".341",".488",".829",".353","94.2","19197"
"Mitch Garver","Twins","96","373","327","81","16","1","19","54","53","39","113","0","0",".248",".332",".475",".807",".345","196.3","15161"
"Yasmani Grandal","White Sox","130","531","444","104","19","1","24","70","71","79","137","2","1",".233",".351",".442",".793",".344","125.2","11368"
"J.T. Realmuto","Phillies","140","571","516","138","27","3","25","82","81","43","126","9","3",".268",".332",".477",".809",".342","33.4","11739"
"Willson Contreras","Cubs","121","491","427","108","22","2","19","66","64","46","121","2","2",".252",".342",".448",".790",".340","122.5","11609"
"Alejandro Kirk","Blue Jays","89","338","302","82","18","1","9","39","41","32","50","1","1",".272",".347",".429",".775",".336","999.0","22581"
"Sean Murphy","Athletics","113","419","369","89","18","1","18","55","51","45","103","1","1",".241",".329",".441",".770",".332","159.8","19352"
"Salvador Perez","Royals","126","514","484","129","25","1","27","61","83","18","109","2","1",".267",".302",".493",".795",".332","75.1","7304"
"Travis d'Arnaud","Braves","108","437","395","104","19","1","18","54","69","35","102","1","1",".264",".327",".453",".780",".331","135.0","7739"
"Gary Sanchez","Yankees","105","417","368","80","14","0","26","53","64","40","127","0","0",".217",".306",".469",".775",".329","166.4","11442"
"Danny Jansen","Blue Jays","104","392","338","80","15","1","16","47","48","41","78","1","1",".236",".329",".424",".753",".327","297.5","16535"
"Ryan Jeffers","Twins","75","261","235","61","11","0","9","28","32","21","70","0","0",".258",".327",".427",".754",".327","999.0","24618"
"Daulton Varsho","Diamondbacks","105","413","369","92","19","4","13","56","46","36","90","11","3",".249",".323",".426",".750",".324","147.0","19918"
"Austin Nola","Padres","111","440","391","99","20","2","13","52","55","40","90","1","1",".254",".329",".415",".744",".323","159.8","15941"
"Zack Collins","White Sox","70","258","218","47","10","1","9","30","32","38","84","1","0",".214",".336",".395",".730",".322","999.0","19181"
"Willians Astudillo","Twins","13","47","44","13","2","0","2","6","6","2","3","0","0",".283",".312",".439",".751",".321","593.5","15608"
"Omar Narvaez","Brewers","90","334","292","72","11","0","10","35","35","37","78","0","0",".246",".336",".392",".728",".319","361.6","13338"
"Tyler Stephenson","Reds","63","234","208","52","11","0","6","26","26","22","59","0","0",".251",".331",".397",".728",".319","391.3","17988"
"Christian Vazquez","Red Sox","120","471","433","113","21","1","16","56","56","32","95","7","3",".262",".316",".424",".740",".319","149.9","9774"
"Carson Kelly","Diamondbacks","107","408","359","86","18","0","15","44","50","38","84","0","0",".241",".319",".420",".739",".319","251.2","13620"
"Chance Sisco","Orioles","73","265","229","51","10","0","9","29","28","28","83","0","0",".224",".328",".392",".720",".318","517.5","15694"
"Kurt Suzuki","Angels","74","288","257","66","13","0","9","33","39","20","41","1","0",".257",".322",".420",".742",".318","439.7","8259"
"Wilson Ramos","Tigers","93","349","319","85","13","0","11","36","44","25","61","0","0",".267",".324",".412",".736",".317","358.9","1433"
"Yan Gomes","Nationals","92","367","331","81","16","1","13","41","44","26","84","2","1",".245",".307",".414",".721",".310","329.8","9627"
"Buster Posey","Giants","97","403","361","95","18","1","7","42","41","35","59","0","1",".264",".333",".374",".707",".310","251.8","9166"
"Victor Caratini","Padres","76","271","241","60","12","1","7","28","31","24","60","0","1",".248",".324",".384",".708",".310","474.8","14968"
"Curt Casali","Giants","56","193","170","39","7","0","6","20","21","19","51","1","1",".232",".315",".386",".702",".307","581.1","12510"
"Pedro Severino","Orioles","90","341","307","74","12","1","11","35","39","28","74","2","1",".242",".311",".396",".708",".307","334.8","14523"
"James McCann","Mets","114","455","415","101","17","1","17","55","54","30","127","3","1",".243",".302",".409",".711",".307","175.2","12859"
"Kevin Plawecki","Red Sox","54","201","181","46","9","1","4","21","24","15","38","1","1",".252",".322",".383",".705",".306","573.3","13807"
"Elias Diaz","Rockies","86","310","285","75","14","0","7","32","34","21","55","0","0",".262",".315",".384",".699",".305","490.5","11680"
"Alex Avila","Nationals","60","204","170","34","6","0","6","21","21","31","72","0","0",".203",".333",".354",".687",".303","599.7","7476"
"Russell Martin","","22","81","69","14","2","0","2","9","8","10","21","1","0",".211",".327",".344",".671",".302","999.0","4616"
"Cal Raleigh","Mariners","10","41","37","8","2","0","2","4","5","3","11","0","0",".224",".285",".426",".711",".302","999.0","sa3008377"
