"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Yordan Alvarez","Astros","119","507","442","124","25","1","31","74","88","57","121","1","1",".280",".366",".552",".919",".385","86.0","19556"
"Nelson Cruz","","123","524","460","124","20","0","32","74","86","53","137","1","0",".270",".354",".525",".879",".368","100.3","2434"
"Vladimir Guerrero Jr.","Blue Jays","151","634","570","164","33","3","26","85","94","55","98","2","1",".289",".356",".496",".852",".363","56.8","19611"
"Giancarlo Stanton","Yankees","114","488","418","106","20","1","29","70","78","59","145","3","1",".254",".352",".513",".865",".361","115.8","4949"
"J.D. Martinez","Red Sox","144","628","555","152","32","2","30","84","93","63","147","3","1",".273",".349",".501",".850",".356","93.1","6184"
"Jorge Soler","Royals","139","578","502","125","25","1","32","73","88","64","168","2","1",".248",".341",".494",".835",".354","140.6","14221"
"Franmil Reyes","Indians","147","600","534","140","24","1","35","78","91","57","167","0","0",".262",".332",".507",".839",".354","159.2","14566"
"Shohei Ohtani","Angels","114","449","399","105","21","2","21","62","65","45","122","14","4",".263",".339",".481",".820",".350","229.6","19755"
"Nate Lowe","Rangers","108","437","382","99","19","1","19","57","58","49","120","3","1",".258",".346",".459",".805",".346","327.4","19566"
"Rowdy Tellez","Blue Jays","126","503","450","117","24","0","26","66","75","42","110","1","1",".260",".327",".489",".816",".345","266.0","15679"
"Daniel Vogelbach","Brewers","101","409","344","79","14","0","19","52","54","61","101","0","0",".229",".349",".440",".789",".343","573.0","14130"
"Ji-Man Choi","Rays","110","438","372","90","21","1","16","52","55","55","105","2","1",".243",".342",".434",".776",".335","530.4","5452"
"Yoshitomo Tsutsugo","Rays","91","357","309","72","14","1","17","47","47","44","94","0","0",".233",".330",".447",".777",".334","495.0","27459"
"Renato Nunez","","123","514","463","113","22","0","25","64","72","40","137","1","0",".243",".312",".454",".766",".327","428.5","14503"
"Ha-seong Kim","Padres","123","547","489","128","26","2","15","70","70","49","90","14","3",".262",".333",".421",".754",".325","999.0","sa3011918"
"Spencer Torkelson","","21","93","84","21","5","0","3","13","12","8","23","1","0",".248",".323",".422",".745",".324","999.0","sa3014504"
"Mike Ford","Yankees","48","181","160","37","8","0","8","22","25","18","35","0","0",".234",".318",".434",".752",".324","599.5","15585"
"Brent Rooker","Twins","59","238","212","50","11","1","10","30","32","20","79","2","1",".238",".315",".433",".749",".323","584.0","19627"
"Zack Collins","White Sox","70","258","218","47","10","1","9","30","32","38","84","1","0",".214",".336",".395",".730",".322","999.0","19181"
"Miguel Cabrera","Tigers","123","517","461","121","19","1","17","54","67","49","107","1","0",".263",".336",".416",".752",".322","507.9","1744"
"Luis Campusano","Padres","24","98","88","23","4","0","3","11","12","7","22","0","0",".259",".330",".410",".740",".322","999.0","22217"
"Shin-Soo Choo","","81","346","299","71","13","1","11","44","36","38","90","10","2",".237",".334",".402",".735",".321","540.7","3174"
"Tyler Stephenson","Reds","63","234","208","52","11","0","6","26","26","22","59","0","0",".251",".331",".397",".728",".319","391.3","17988"
"Andy Young","Diamondbacks","28","106","95","22","4","1","4","13","12","7","29","1","0",".235",".311",".424",".736",".318","999.0","19521"
"Bobby Bradley","Indians","24","98","88","20","4","0","5","12","14","8","34","0","0",".225",".298",".449",".747",".318","600.8","17278"
"Khris Davis","Athletics","110","443","391","89","15","0","22","52","61","41","123","0","0",".226",".308",".433",".741",".317","503.4","9112"
"Edwin Encarnacion","","101","428","374","80","14","0","21","55","61","45","112","0","0",".215",".306",".425",".732",".312","591.3","2151"
"Yadiel Hernandez","Nationals","21","79","71","17","3","0","3","9","9","7","23","0","0",".246",".311",".417",".728",".312","999.0","19334"
"Yermin Mercedes","White Sox","8","23","22","5","1","0","1","3","3","2","4","0","0",".246",".303",".415",".718",".308","999.0","17423"
"Luis Gonzalez","White Sox","27","48","42","10","2","0","1","5","5","4","13","0","0",".236",".317",".377",".693",".306","999.0","20332"
"Jorge Ona","Padres","10","37","33","8","1","0","1","4","4","3","12","0","0",".236",".309",".389",".698",".304","999.0","20040"
"Jose Marmolejos","Mariners","76","301","277","65","14","1","10","32","35","21","78","1","1",".236",".293",".404",".697",".300","598.8","15767"
"Zach McKinstry","Dodgers","33","120","109","26","6","1","3","14","13","9","31","1","1",".236",".301",".383",".684",".298","999.0","19392"
"Taylor Jones","Astros","22","90","80","18","4","0","3","10","10","8","25","0","0",".226",".301",".378",".679",".297","999.0","19533"
"Mark Trumbo","","21","86","79","18","3","0","4","10","11","6","23","0","0",".223",".282",".401",".683",".294","999.0","6876"
"Albert Pujols","Angels","91","388","360","84","15","0","14","40","53","23","58","1","0",".233",".281",".392",".674",".285","582.6","1177"
"Nick Heath","Royals","42","118","104","22","4","1","1","13","9","10","39","10","2",".215",".293",".303",".595",".268","999.0","19577"
"Derek Hill","Tigers","10","23","21","4","1","0","0","3","2","1","8","0","0",".204",".257",".315",".572",".252","999.0","16947"
