"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Juan Soto","Nationals","150","655","537","164","33","2","38","110","108","111","114","14","4",".305",".425",".590","1.015",".426","4.0","20123"
"Mike Trout","Angels","148","651","525","150","27","3","44","109","108","108","141","7","3",".287",".415",".603","1.018",".422","5.8","10155"
"Ronald Acuna Jr.","Braves","147","657","561","156","29","3","39","119","95","84","177","30","8",".277",".379",".546",".925",".391","1.8","18401"
"Christian Yelich","Brewers","147","650","547","150","29","3","35","105","89","94","159","16","5",".275",".386",".530",".916",".387","11.5","11477"
"Bryce Harper","Phillies","150","658","536","141","28","2","36","101","100","110","150","17","4",".262",".390",".526",".915",".385","20.9","11579"
"Cody Bellinger","Dodgers","143","623","537","148","30","3","36","97","98","80","115","12","4",".276",".371",".544",".915",".382","15.9","15998"
"Mookie Betts","Dodgers","145","662","573","166","35","3","33","118","93","78","99","23","5",".289",".376",".535",".911",".381","3.0","13611"
"Marcell Ozuna","","145","626","553","156","25","2","34","88","102","67","134","3","2",".282",".361",".519",".881",".372","47.2","10324"
"George Springer","Blue Jays","137","602","522","141","22","2","32","96","85","68","117","4","3",".271",".362",".510",".871",".371","53.0","12856"
"Aaron Judge","Yankees","129","558","475","122","20","1","34","92","84","74","166","3","2",".257",".363",".521",".883",".370","57.4","15640"
"Eloy Jimenez","White Sox","144","605","560","161","31","2","36","81","104","38","142","1","0",".288",".335",".541",".877",".368","33.9","17484"
"Jesse Winker","Reds","126","493","421","114","21","1","22","66","63","61","98","2","1",".271",".372",".482",".854",".368","208.3","13590"
"Rhys Hoskins","Phillies","130","577","480","114","25","2","30","82","83","85","138","2","1",".238",".361",".484",".845",".362","162.9","16472"
"Michael Conforto","Mets","144","630","541","143","27","1","29","91","87","75","152","7","3",".265",".364",".483",".847",".361","73.2","16376"
"Giancarlo Stanton","Yankees","114","488","418","106","20","1","29","70","78","59","145","3","1",".254",".352",".513",".865",".361","115.8","4949"
"Charlie Blackmon","Rockies","135","598","538","157","30","5","23","85","76","46","108","4","3",".291",".351",".490",".842",".358","83.8","7859"
"Alex Dickerson","Giants","122","469","420","116","25","3","20","65","64","40","90","1","1",".275",".345",".494",".839",".356","332.9","12649"
"J.D. Martinez","Red Sox","144","628","555","152","32","2","30","84","93","63","147","3","1",".273",".349",".501",".850",".356","93.1","6184"
"Brandon Nimmo","Mets","136","577","476","119","24","5","18","82","57","84","135","5","3",".250",".375",".433",".808",".354","252.0","12927"
"Jorge Soler","Royals","139","578","502","125","25","1","32","73","88","64","168","2","1",".248",".341",".494",".835",".354","140.6","14221"
"Jeff McNeil","Mets","144","621","555","163","34","3","18","81","74","46","78","4","3",".294",".361",".461",".821",".354","86.0","15362"
