"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Fernando Tatis Jr.","Padres","146","648","574","163","29","6","38","109","101","61","167","27","8",".284",".360",".553",".913",".384","2.7","19709"
"Corey Seager","Dodgers","137","605","543","158","35","2","30","93","96","52","104","3","1",".291",".355",".529",".884",".370","37.8","13624"
"Trevor Story","Rockies","148","655","589","165","36","6","32","103","89","57","167","28","7",".280",".348",".523",".871",".366","11.3","12564"
"Xander Bogaerts","Red Sox","147","632","561","163","34","1","29","95","92","61","113","13","2",".290",".361",".508",".869",".366","36.4","12161"
"Manny Machado","Padres","150","659","586","162","28","2","35","92","104","63","109","11","4",".276",".347",".510",".857",".360","19.6","11493"
"Trea Turner","Nationals","145","655","594","174","34","6","23","102","80","52","113","32","8",".293",".353",".486",".839",".359","7.5","16252"
"Gleyber Torres","Yankees","141","580","512","138","25","1","29","80","83","58","117","5","2",".270",".348",".495",".843",".359","71.9","16997"
"Ketel Marte","Diamondbacks","143","625","569","165","34","6","21","84","76","45","80","6","2",".291",".347",".482",".828",".351","81.4","13613"
"Bo Bichette","Blue Jays","143","625","578","166","39","4","24","91","83","41","126","21","7",".287",".336",".490",".826",".351","24.1","19612"
"Francisco Lindor","Mets","147","667","598","159","33","2","29","94","82","56","102","18","6",".267",".333",".473",".806",".340","17.2","12916"
"Carlos Correa","Astros","143","597","528","139","27","1","25","74","84","57","134","2","1",".264",".338",".460",".798",".338","125.5","14162"
"Tim Anderson","White Sox","146","631","596","173","31","3","22","95","71","27","140","17","6",".290",".324",".465",".789",".336","44.5","15172"
"Chris Taylor","Dodgers","135","553","487","124","28","4","19","73","68","55","150","8","3",".255",".335",".447",".782",".336","211.2","13757"
"Marcus Semien","Blue Jays","147","652","577","146","30","3","24","91","74","69","119","11","4",".254",".334",".438",".773",".334","146.3","12533"
"Jorge Polanco","Twins","144","623","565","155","31","4","17","78","70","47","101","8","3",".274",".332",".433",".764",".329","213.0","13152"
"Brad Miller","","93","341","296","69","14","2","15","47","45","40","96","2","1",".233",".328",".443",".771",".328","593.5","12775"
"Dansby Swanson","Braves","143","627","559","143","30","3","23","90","77","56","153","12","3",".256",".328",".444",".771",".326","108.2","18314"
"Didi Gregorius","","131","544","498","132","23","3","22","71","78","33","74","6","3",".264",".315",".453",".768",".326","170.1","6012"
"Jean Segura","Phillies","139","604","551","153","27","3","15","76","65","41","94","9","4",".277",".332",".421",".753",".324","189.0","5933"
"Asdrubal Cabrera","","97","400","357","90","19","2","14","48","55","36","80","1","1",".252",".321",".435",".756",".324","518.7","4962"
"Paul DeJong","Cardinals","141","600","531","130","27","1","24","76","78","52","149","4","2",".245",".319",".436",".755",".323","229.9","18015"
"Willy Adames","Rays","137","558","500","125","25","2","19","68","63","51","165","6","3",".250",".322",".424",".746",".322","352.8","15986"
"Wander Franco","Rays","75","317","287","77","14","2","8","39","35","24","38","6","3",".269",".328",".422",".749",".322","999.0","sa3007033"
"Javier Baez","Cubs","149","629","590","154","31","4","28","83","87","28","180","11","5",".260",".298",".469",".767",".318","74.1","12979"
"Willi Castro","Tigers","131","545","498","134","24","5","13","64","62","31","130","6","3",".270",".318",".419",".738",".317","244.0","17338"
"Jon Berti","Marlins","108","446","387","97","17","2","8","58","39","47","106","26","5",".249",".341",".366",".707",".315","270.6","12037"
"Amed Rosario","Indians","133","529","498","137","25","5","13","65","57","24","105","10","5",".276",".312",".423",".734",".315","274.5","15518"
"Brendan Rodgers","Rockies","53","211","196","51","11","1","6","24","25","12","50","2","1",".262",".311",".421",".731",".315","497.8","17907"
"Luis Urias","Brewers","125","491","434","109","21","3","10","56","49","45","112","6","3",".250",".332",".379",".711",".313","408.9","16622"
"Aledmys Diaz","Astros","76","300","275","69","15","1","11","37","38","19","48","1","1",".252",".305",".431",".736",".312","600.8","15937"
"Jeter Downs","","34","142","127","31","7","1","4","17","16","12","32","4","1",".243",".311",".414",".725",".312","524.8","sa3004615"
"J.P. Crawford","Mariners","138","590","516","127","24","4","11","73","57","60","117","14","4",".246",".330",".371",".701",".310","433.9","15491"
"Andres Gimenez","Indians","139","502","460","119","23","5","11","65","49","27","106","25","8",".260",".314",".399",".713",".309","179.2","19950"
"Andrelton Simmons","Twins","130","544","503","138","26","1","9","64","54","33","57","10","3",".274",".323",".381",".705",".308","451.7","10847"
