"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Cody Bellinger","Dodgers","151","651","559","154","30","4","40","102","120","85","127","3","15","4",".276",".373",".556",".928",".379","1.1","0.9","5.4","15.9","15998"
"Freddie Freeman","Braves","157","679","576","170","40","2","32","105","113","91","124","8","6","3",".295",".395",".537",".933",".385","3.7","-0.5","4.5","12.1","5361"
"Matt Olson","Athletics","146","630","543","130","23","1","40","86","107","75","175","8","2","0",".239",".338",".505",".843",".350","6.8","-0.8","3.4","84.9","14344"
"Anthony Rizzo","Cubs","157","679","569","151","29","2","29","92","97","81","102","23","7","3",".265",".376",".476",".852",".359","4.3","-2.3","3.0","103.3","3473"
"Max Muncy","Dodgers","146","630","520","123","21","1","32","92","100","96","164","8","4","1",".237",".362",".467",".829",".351","0.8","0.0","2.7","93.7","13301"
"Pete Alonso","Mets","149","644","557","136","24","1","42","89","109","66","170","15","2","2",".244",".339",".520",".859",".354","0.4","-1.5","2.7","57.0","19251"
"Luke Voit","Yankees","141","609","531","139","24","1","34","89","101","64","155","9","1","0",".262",".350",".501",".850",".356","-1.8","-0.8","2.5","58.8","14811"
"Paul Goldschmidt","Cardinals","151","651","558","146","28","2","26","86","83","84","157","5","5","2",".262",".361",".458",".819",".347","1.7","0.1","2.5","96.8","9218"
"Rhys Hoskins","Phillies","141","609","500","119","27","2","32","90","98","94","150","10","4","2",".237",".366",".487",".853",".359","0.1","-0.7","2.4","162.9","16472"
"Jose Abreu","White Sox","154","665","607","165","35","2","33","86","115","41","152","11","2","1",".272",".326",".498",".824",".341","-2.6","-1.4","1.8","36.5","15676"
"Carlos Santana","Royals","144","623","519","129","25","1","22","81","77","96","100","4","2","1",".248",".367",".430",".798",".341","0.2","-0.6","1.8","289.6","2396"
"Brandon Belt","Giants","126","546","464","115","27","2","18","69","68","75","124","4","3","1",".249",".355",".437",".792",".338","3.8","-1.1","1.7","389.4","10264"
"Austin Nola","Padres","107","425","375","93","19","2","10","49","51","40","88","6","2","1",".248",".327",".392",".718",".308","-0.6","-0.2","1.7","159.8","15941"
"Hunter Dozier","Royals","144","623","551","135","28","6","22","76","75","64","167","3","6","2",".245",".326",".437",".763",".323","-4.0","-0.6","1.6","234.2","15117"
"Ryan Mountcastle","Orioles","138","595","553","156","27","2","25","71","89","31","134","4","2","1",".282",".323",".475",".798",".333","0.7","-0.6","1.6","140.1","18373"
"Wil Myers","Padres","144","623","554","134","29","3","29","79","92","60","184","4","14","5",".242",".319",".460",".780",".328","-1.9","1.0","1.5","127.1","10047"
"Trey Mancini","Orioles","123","532","480","129","24","2","24","67","74","41","123","6","1","0",".270",".332",".479",".811",".339","-0.7","0.0","1.4","167.8","15149"
"Dominic Smith","Mets","133","574","520","136","32","2","23","71","81","42","137","7","2","1",".261",".323",".460",".783",".329","-3.3","-0.6","1.3","101.7","15653"
"Jared Walsh","Angels","112","483","435","107","22","3","24","63","75","37","140","6","1","0",".246",".310",".476",".787",".328","0.7","-0.4","1.2","211.2","18607"
"Nate Lowe","Rangers","123","532","464","121","23","1","23","67","68","60","133","4","3","1",".260",".348",".465",".813",".342","0.3","0.0","1.2","327.4","19566"
"Ji-Man Choi","Rays","107","462","393","95","22","1","16","54","57","59","113","4","2","1",".243",".345",".429",".774",".329","-0.7","-0.5","1.1","530.4","5452"
"Jesus Aguilar","Marlins","134","581","506","126","23","0","23","70","83","62","135","5","1","1",".249",".333",".434",".767",".326","0.6","-1.2","1.1","318.3","11342"
