"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Yasmani Grandal","White Sox","138","553","462","106","20","1","25","70","75","82","145","4","2","1",".230",".348",".439",".787",".336","3.5","-2.5","4.1","125.2","11368"
"J.T. Realmuto","Phillies","149","598","540","144","29","3","26","83","94","43","132","9","8","2",".267",".330",".476",".806",".337","4.3","1.3","4.0","33.4","11739"
"Sean Murphy","Athletics","110","435","386","93","21","1","17","54","54","38","102","5","2","1",".242",".315",".437",".753",".318","2.0","0.2","2.7","159.8","19352"
"Christian Vazquez","Red Sox","117","464","426","112","22","1","14","54","53","31","91","3","7","3",".262",".314",".419",".733",".310","4.3","-1.3","2.6","149.9","9774"
"Salvador Perez","Royals","131","526","495","130","26","1","28","62","85","17","114","8","2","1",".263",".296",".487",".783",".324","5.4","-1.2","2.5","75.1","7304"
"Travis d'Arnaud","Braves","113","448","405","107","19","0","17","53","72","35","104","4","2","0",".264",".325",".443",".767",".324","-2.4","-0.7","2.2","135.0","7739"
"Danny Jansen","Blue Jays","99","390","338","79","16","1","15","49","52","39","76","7","2","0",".235",".324",".419",".744",".318","0.2","-0.3","2.2","297.5","16535"
"Will Smith","Dodgers","99","390","338","81","17","1","20","54","65","42","95","6","2","0",".239",".329",".474",".803",".336","1.8","-0.4","2.1","94.2","19197"
"Buster Posey","Giants","120","481","431","114","23","1","8","49","50","41","73","5","2","1",".263",".332",".374",".706",".305","3.5","-1.3","2.1","251.8","9166"
"Willson Contreras","Cubs","117","464","401","100","21","2","17","59","62","46","113","14","3","3",".251",".345",".441",".786",".335","-1.0","-1.5","1.9","122.5","11609"
"Max Stassi","Angels","86","339","297","67","12","0","13","38","43","33","91","5","1","1",".225",".310",".399",".709",".304","-0.6","-0.9","1.9","376.0","10059"
"Jacob Stallings","Pirates","99","390","351","88","20","0","8","40","39","29","88","4","1","1",".252",".315",".377",".692",".296","3.3","-0.7","1.7","396.5","13723"
"Austin Nola","Padres","107","425","375","93","19","2","10","49","51","40","88","6","2","1",".248",".327",".392",".718",".308","-0.6","-0.2","1.7","159.8","15941"
"Carson Kelly","Diamondbacks","97","384","339","82","16","0","13","44","47","38","79","3","1","0",".241",".323",".410",".733",".311","0.7","-0.4","1.7","251.2","13620"
"Roberto Perez","Indians","96","378","330","67","11","1","12","35","42","37","117","4","1","0",".204",".291",".353",".644",".280","6.6","-1.0","1.6","468.9","2900"
"Ryan Jeffers","Twins","81","320","290","73","12","0","12","37","37","23","77","5","1","0",".251",".315",".416",".730",".312","0.6","-0.2","1.5","999.0","24618"
"Gary Sanchez","Yankees","100","397","349","76","13","0","25","53","70","38","120","7","1","0",".218",".306",".469",".774",".323","-5.6","-0.6","1.3","166.4","11442"
"Tucker Barnhart","Reds","104","410","359","83","16","1","11","39","43","44","91","2","2","1",".231",".317",".373",".690",".296","5.3","-1.5","1.3","499.1","10200"
"Mitch Garver","Twins","76","301","265","63","13","1","13","40","41","31","85","3","1","0",".237",".322",".443",".765",".324","-2.2","-0.4","1.2","196.3","15161"
"Austin Barnes","Dodgers","55","218","186","42","8","1","5","26","23","25","52","4","3","1",".224",".326",".348",".674",".295","0.7","-0.1","1.1","544.4","12158"
"Yadier Molina","","112","446","413","106","19","0","11","43","50","21","69","6","3","1",".257",".301",".381",".681",".291","2.7","-1.5","1.1","290.2","7007"
"Yan Gomes","Nationals","81","320","289","71","14","1","11","36","41","23","76","5","2","0",".244",".308",".418",".726",".306","0.9","-0.4","1.0","329.8","9627"
"Mike Zunino","Rays","92","365","330","64","14","0","16","38","47","26","133","6","1","0",".194",".263",".387",".651",".276","1.1","-0.7","0.9","539.8","13265"
"James McCann","Mets","110","435","397","92","16","1","14","47","51","28","124","7","3","2",".231",".291",".383",".674",".288","1.9","-0.9","0.9","175.2","12859"
"Daulton Varsho","Diamondbacks","97","418","374","93","17","4","13","52","46","34","90","6","12","4",".249",".319",".423",".742",".315","-0.7","0.4","0.9","147.0","19918"
"Alejandro Kirk","Blue Jays","60","249","223","61","15","1","7","32","32","22","38","2","1","0",".272",".340",".448",".788",".333","0.1","-0.1","0.9","999.0","22581"
"Tyler Flowers","","53","211","184","39","8","1","6","21","22","20","73","6","0","0",".211",".306",".356",".661",".288","0.4","-0.5","0.9","600.7","9134"
"Jason Castro","Astros","76","301","262","52","13","0","9","32","32","33","104","3","1","0",".198",".293",".354",".646",".281","0.8","-0.8","0.9","532.4","8722"
"Andrew Knizner","Cardinals","110","435","397","102","18","1","11","47","48","26","77","7","3","1",".256",".310",".391",".701",".299","2.3","-0.4","0.9","517.9","19514"
