"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Yordan Alvarez","Astros","131","567","492","138","29","0","37","86","102","67","144","4","4","1",".281",".368",".565",".933",".382","0.0","-0.4","3.6","86.0","19556"
"Vladimir Guerrero Jr.","Blue Jays","144","623","558","160","33","4","28","85","99","56","97","5","3","1",".287",".355",".511",".866",".362","-0.3","-1.3","3.2","56.8","19611"
"Giancarlo Stanton","Yankees","138","595","511","128","24","1","41","89","114","71","190","7","4","2",".251",".347",".546",".893",".367","0.0","-1.0","2.7","115.8","4949"
"Nelson Cruz","","133","574","502","135","22","0","35","80","97","59","150","9","1","0",".269",".355",".525",".880",".362","0.0","-2.1","2.2","100.3","2434"
"Jorge Soler","Royals","143","616","532","131","27","1","34","78","92","71","181","8","3","1",".245",".341",".488",".829",".348","-0.1","-0.4","1.9","140.6","14221"
"J.D. Martinez","Red Sox","149","644","567","154","33","2","32","89","100","67","155","4","3","1",".272",".350",".506",".856",".353","0.0","-1.5","1.9","93.1","6184"
"Shohei Ohtani","Angels","117","504","446","115","22","2","24","70","82","51","141","3","15","4",".258",".336",".483",".819",".343","0.0","0.7","1.5","229.6","19755"
"Franmil Reyes","Indians","152","658","585","150","26","0","37","87","105","62","191","3","1","1",".257",".329",".494",".822",".342","0.0","-1.1","1.4","159.2","14566"
"Nate Lowe","Rangers","123","532","464","121","23","1","23","67","68","60","133","4","3","1",".260",".348",".465",".813",".342","0.3","0.0","1.2","327.4","19566"
"Ji-Man Choi","Rays","107","462","393","95","22","1","16","54","57","59","113","4","2","1",".243",".345",".429",".774",".329","-0.7","-0.5","1.1","530.4","5452"
"Ha-seong Kim","Padres","73","315","281","74","14","1","10","41","43","28","53","3","8","2",".263",".332",".430",".762",".323","0.0","0.5","1.1","999.0","sa3011918"
"Rowdy Tellez","Blue Jays","100","434","389","101","22","0","22","58","69","35","101","5","2","2",".259",".325",".489",".814",".338","0.2","-1.0","1.1","266.0","15679"
"Daniel Vogelbach","Brewers","104","448","375","88","15","0","21","58","62","67","111","3","0","0",".233",".351",".445",".796",".339","0.6","-0.9","1.0","573.0","14130"
"Khris Davis","Athletics","130","560","493","114","20","0","31","71","89","54","163","8","1","0",".231",".314",".464",".779",".325","0.0","-1.0","0.9","503.4","9112"
"Yoshitomo Tsutsugo","Rays","63","273","236","56","11","1","12","34","37","33","72","1","0","0",".236",".331",".441",".772",".326","0.0","-0.2","0.6","495.0","27459"
"Renato Nunez","","109","469","422","103","20","0","24","58","72","37","124","6","1","0",".244",".312",".462",".774",".325","0.1","-0.6","0.5","428.5","14503"
"Tyler Stephenson","Reds","50","198","176","41","8","1","6","23","23","17","49","3","1","0",".234",".310",".379",".689",".297","0.6","-0.1","0.5","391.3","17988"
"Zack Collins","White Sox","36","141","118","23","5","0","5","16","16","20","48","1","1","0",".198",".314",".367",".681",".296","-0.9","-0.1","0.3","999.0","19181"
"Mike Ford","Yankees","29","126","110","26","5","0","6","17","19","13","25","1","0","0",".239",".324",".452",".776",".327","0.0","-0.1","0.2","599.5","15585"
"Luis Campusano","Padres","18","73","66","17","3","0","2","9","9","5","12","1","0","0",".251",".313",".394",".707",".302","-0.1","0.0","0.1","999.0","22217"
"Yermin Mercedes","White Sox","8","32","29","7","1","0","1","4","4","2","7","0","0","0",".246",".306",".416",".721",".304","-0.3","0.0","0.1","999.0","17423"
"Brent Rooker","Twins","28","119","107","25","5","0","5","15","16","9","38","2","1","0",".235",".308",".439",".746",".315","-0.7","-0.1","0.1","584.0","19627"
"Andy Young","Diamondbacks","26","112","99","23","4","1","4","13","13","8","30","4","1","0",".230",".308",".410",".718",".307","-0.2","-0.1","0.1","999.0","19521"
"Miguel Cabrera","Tigers","143","616","550","144","21","1","21","65","81","57","132","4","2","0",".263",".333",".420",".753",".320","0.0","-3.0","0.1","507.9","1744"
"Shin-Soo Choo","","81","350","302","71","13","1","11","43","34","37","92","7","8","2",".235",".331",".392",".723",".312","-0.1","0.2","0.1","540.7","3174"
"Spencer Torkelson","","21","91","81","20","4","0","3","11","11","8","21","1","1","0",".244",".322",".417",".739",".315","0.0","0.0","0.1","999.0","sa3014504"
"Bobby Bradley","Indians","18","77","69","15","3","0","4","9","11","6","26","1","0","0",".223",".292",".447",".739",".308","0.3","-0.1","0.0","600.8","17278"
"Taylor Jones","Astros","3","14","12","3","1","0","0","2","2","1","4","0","0","0",".225",".300",".385",".685",".293","0.0","0.0","0.0","999.0","19533"
"Yadiel Hernandez","Nationals","18","77","69","17","3","0","3","9","10","7","20","0","1","0",".252",".319",".423",".742",".313","-0.2","-0.1","0.0","999.0","19334"
"Derek Hill","Tigers","2","7","6","1","0","0","0","1","1","0","2","0","0","0",".214",".271",".328",".599",".260","0.0","0.0","0.0","999.0","16947"
"Luis Gonzalez","White Sox","6","28","25","6","1","0","1","3","3","2","6","0","0","0",".225",".287",".355",".641",".276","0.2","0.0","0.0","999.0","20332"
"Jose Marmolejos","Mariners","71","308","283","68","13","1","10","33","36","21","78","2","1","1",".240",".294",".395",".689",".292","0.3","-0.5","0.0","598.8","15767"
"Jorge Ona","Padres","3","14","13","3","1","0","0","2","2","1","4","0","0","0",".216",".286",".355",".641",".276","0.0","0.0","0.0","999.0","20040"
"Edwin Encarnacion","","58","252","220","47","8","0","14","32","38","26","67","4","0","0",".213",".306",".437",".743",".314","0.0","-0.8","-0.1","591.3","2151"
"Nick Heath","Royals","23","98","87","18","3","1","1","10","8","9","33","1","8","3",".212",".286",".303",".589",".260","0.5","0.2","-0.1","999.0","19577"
"Mark Trumbo","","24","105","97","22","4","0","5","12","14","7","28","1","0","0",".230",".284",".426",".710",".298","-0.4","-0.1","-0.2","999.0","6876"
"Zach McKinstry","Dodgers","36","154","140","32","6","1","4","17","16","11","38","2","2","1",".231",".292",".370",".662",".284","-0.1","-0.4","-0.2","999.0","19392"
"Albert Pujols","Angels","102","441","405","96","17","0","16","45","65","28","67","3","1","0",".236",".288",".399",".687",".290","-1.0","-1.5","-0.8","582.6","1177"
