"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Mike Trout","Angels","157","679","535","151","27","3","41","118","106","123","149","12","10","3",".282",".424",".573",".996",".409","-4.3","3.0","7.6","999.0","10155"
"Juan Soto","Nationals","156","672","544","165","33","2","40","108","113","118","117","5","12","5",".304",".429",".591","1.020",".417","-2.6","0.1","6.1","999.0","20123"
"Cody Bellinger","Dodgers","151","651","553","156","30","2","41","102","114","88","117","4","13","5",".282",".382",".568",".950",".388","0.3","1.1","5.9","999.0","15998"
"Mookie Betts","Dodgers","157","679","578","158","34","3","32","110","88","84","107","7","19","5",".273",".369",".510",".879",".367","12.5","4.6","5.7","999.0","13611"
"Ronald Acuna Jr.","Braves","154","665","563","157","27","2","41","112","97","83","169","9","27","9",".279",".378",".553",".932",".386","3.3","3.2","5.3","999.0","18401"
"Christian Yelich","Brewers","157","679","567","159","30","3","35","105","98","96","160","8","19","6",".280",".389",".531",".920",".381","-1.6","2.8","4.6","999.0","11477"
"Aaron Judge","Yankees","136","588","484","120","19","1","35","93","85","90","180","6","5","2",".248",".369",".510",".879",".368","5.2","0.5","4.2","999.0","15640"
"George Springer","","139","602","516","139","23","3","31","92","76","70","120","7","7","3",".270",".363",".504",".866",".364","-2.3","0.6","3.8","999.0","12856"
"Eloy Jimenez","White Sox","151","651","595","172","32","2","40","94","111","44","144","5","1","1",".289",".340",".549",".890",".367","-0.9","0.8","3.7","999.0","17484"
"Trent Grisham","Padres","146","630","538","137","24","5","24","89","73","76","137","6","15","5",".254",".351",".452",".803",".341","5.2","0.5","3.7","999.0","18564"
"Byron Buxton","Twins","136","588","536","142","32","3","28","82","87","37","148","6","21","6",".266",".318",".496",".814",".338","4.5","3.7","3.7","999.0","14161"
"Bryce Harper","Phillies","157","679","548","136","27","2","37","100","99","117","165","7","14","5",".248",".384",".505",".889",".369","-1.4","-0.2","3.6","999.0","11579"
"Luis Robert","White Sox","149","644","583","152","28","4","31","84","90","45","173","8","24","10",".261",".319",".478",".798",".333","2.3","1.3","3.6","999.0","20043"
"Michael Conforto","Mets","151","651","548","140","28","1","32","90","92","86","158","10","7","3",".255",".363",".484",".847",".357","-1.7","0.9","3.4","999.0","16376"
