"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","ADP","playerid"
"Jacob deGrom","Mets","15","8","0","0","2.93","32","32","204.0","158","66","24","260","50","1.02","11.50","2.19","2.98","5.9","6.6","10954"
"Gerrit Cole","Yankees","16","8","0","0","3.37","32","32","200.0","161","75","29","265","54","1.08","11.96","2.42","3.32","5.6","6.3","13125"
"Shane Bieber","Indians","14","9","0","0","3.37","31","31","192.0","167","72","25","233","41","1.08","10.92","1.92","3.19","5.2","9.8","19427"
"Max Scherzer","Nationals","13","8","0","0","3.52","29","29","178.0","149","70","27","230","47","1.10","11.61","2.36","3.54","4.5","29.8","3137"
"Trevor Bauer","","13","10","0","0","3.85","32","32","201.0","177","86","28","234","70","1.23","10.48","3.13","3.89","4.2","16.0","12703"
"Lucas Giolito","White Sox","13","8","0","0","3.53","29","29","174.0","138","68","24","222","60","1.14","11.50","3.09","3.58","4.2","19.2","15474"
"Walker Buehler","Dodgers","12","6","0","0","3.50","29","29","169.0","142","66","23","201","47","1.12","10.69","2.48","3.57","3.8","19.6","19374"
"Luis Castillo","Reds","13","10","0","0","3.73","31","31","182.0","158","76","23","210","66","1.23","10.33","3.26","3.76","3.8","27.0","15689"
"Aaron Nola","Phillies","13","9","0","0","3.80","31","31","188.0","165","79","25","213","63","1.21","10.20","3.04","3.83","3.8","22.9","16149"
"Yu Darvish","Padres","13","8","0","0","3.62","31","31","184.0","154","74","25","222","56","1.14","10.88","2.75","3.64","3.8","17.5","13074"
"Brandon Woodruff","Brewers","11","9","0","0","3.79","29","29","172.0","152","72","23","195","54","1.20","10.22","2.83","3.79","3.7","34.8","16162"
"Tyler Glasnow","Rays","11","8","0","0","3.61","28","28","161.0","127","65","21","216","64","1.19","12.05","3.59","3.50","3.6","54.6","14374"
"Stephen Strasburg","Nationals","11","8","0","0","3.93","28","28","164.0","152","72","23","174","49","1.23","9.53","2.69","3.94","3.6","71.6","10131"
"Clayton Kershaw","Dodgers","14","8","0","0","3.50","29","29","176.0","158","68","25","185","39","1.12","9.46","1.98","3.71","3.5","35.9","2036"
"German Marquez","Rockies","12","10","0","0","4.37","31","31","186.0","189","90","29","189","52","1.30","9.16","2.53","4.13","3.4","162.2","15038"
"Carlos Carrasco","Mets","12","9","0","0","3.64","29","29","172.0","150","69","25","197","48","1.15","10.35","2.52","3.72","3.3","68.0","6632"
"Jack Flaherty","Cardinals","12","9","0","0","3.67","31","31","176.0","146","72","25","208","58","1.16","10.66","2.98","3.80","3.3","31.0","17479"
"Hyun-Jin Ryu","Blue Jays","12","8","0","0","3.88","29","29","174.0","172","75","25","161","41","1.22","8.33","2.11","3.99","3.3","76.0","14444"
"Blake Snell","Padres","13","8","0","0","3.56","28","28","160.0","131","63","20","194","62","1.21","10.96","3.52","3.67","3.2","45.3","13543"
"Charlie Morton","Braves","13","8","0","0","3.80","29","29","169.0","154","71","21","180","56","1.24","9.62","2.96","3.86","3.2","129.8","4676"
"Jose Berrios","Twins","13","10","0","0","4.06","31","31","183.0","171","83","26","189","59","1.25","9.29","2.88","4.13","3.2","85.3","14168"
"Kenta Maeda","Twins","12","10","0","0","4.20","29","29","170.0","155","80","26","186","57","1.25","9.82","3.01","4.13","3.2","46.5","18498"
"Patrick Corbin","Nationals","12","9","0","0","4.19","31","31","184.0","184","86","28","186","58","1.31","9.09","2.82","4.17","3.2","143.6","9323"
"Sonny Gray","Reds","12","10","0","0","3.99","29","29","168.0","149","75","22","185","68","1.29","9.87","3.64","4.06","3.1","63.4","12768"
"Kevin Gausman","Giants","11","9","0","0","3.95","29","29","169.0","159","74","22","178","49","1.22","9.46","2.60","3.79","3.0","136.9","14107"
"Jesus Luzardo","Athletics","9","8","0","0","3.82","26","26","151.0","139","64","20","159","47","1.24","9.48","2.82","3.95","3.0","105.7","19959"
"Joe Musgrove","Padres","12","11","0","0","4.12","29","29","169.0","164","77","24","165","45","1.23","8.79","2.38","4.07","3.0","136.7","12970"
"Lance Lynn","White Sox","12","10","0","0","4.12","31","31","185.0","171","85","30","199","62","1.26","9.68","3.00","4.33","3.0","50.8","2520"
"Andrew Heaney","Angels","10","8","0","0","4.20","29","29","168.0","157","78","28","180","47","1.21","9.63","2.51","4.23","2.9","212.2","15423"
"Corbin Burnes","Brewers","8","7","0","0","3.92","26","26","149.0","129","65","20","177","59","1.25","10.66","3.54","3.88","2.9","62.2","19361"
"Corey Kluber","Yankees","11","9","0","0","4.02","26","26","155.0","148","69","24","155","40","1.22","9.04","2.32","4.05","2.9","208.2","2429"
"Max Fried","Braves","13","9","0","0","4.01","29","29","170.0","165","76","20","165","63","1.34","8.74","3.34","4.02","2.8","63.4","13743"
"Lance McCullers Jr.","Astros","11","8","0","0","3.87","28","28","160.0","147","69","19","170","60","1.29","9.54","3.39","3.95","2.8","123.3","14120"
"Zack Greinke","Astros","12","9","0","0","4.06","31","31","186.0","183","84","31","172","38","1.19","8.32","1.86","4.21","2.8","111.7","1943"
"Dinelson Lamet","Padres","10","6","0","0","3.68","24","24","139.0","112","57","18","179","55","1.20","11.60","3.54","3.66","2.8","77.8","17186"
"Zack Wheeler","Phillies","11","9","0","0","4.25","29","29","180.0","177","85","27","168","51","1.27","8.42","2.57","4.27","2.8","91.7","10310"
"Marco Gonzales","Mariners","11","12","0","0","4.32","29","29","175.0","181","84","27","140","44","1.29","7.24","2.24","4.48","2.8","163.4","15467"
"James Paxton","","11","8","0","0","4.07","26","26","150.0","138","68","23","167","49","1.24","10.01","2.96","4.05","2.7","262.1","11828"
"Kyle Hendricks","Cubs","12","11","0","0","4.27","31","31","188.0","194","89","29","153","41","1.25","7.32","1.96","4.36","2.7","86.7","12049"
"Framber Valdez","Astros","11","9","0","0","3.84","26","26","151.0","137","65","15","157","66","1.34","9.34","3.95","3.95","2.6","96.9","17295"
"Zac Gallen","Diamondbacks","11","9","0","0","4.02","28","28","160.0","145","72","24","180","57","1.26","10.14","3.21","4.08","2.6","39.4","19291"
"Chris Sale","Red Sox","7","4","0","0","3.35","16","16","96.0","79","36","12","120","24","1.08","11.27","2.23","3.26","2.6","248.0","10603"
"Matthew Boyd","Tigers","10","11","0","0","4.58","29","29","171.0","166","87","30","181","53","1.28","9.53","2.78","4.47","2.5","322.9","15440"
"Dallas Keuchel","White Sox","12","10","0","0","4.25","31","31","183.0","188","86","25","140","59","1.35","6.88","2.90","4.49","2.5","197.7","9434"
"Robbie Ray","Blue Jays","11","9","0","0","4.36","29","29","166.0","140","80","27","216","87","1.37","11.71","4.74","4.45","2.5","353.8","11486"
"Mike Minor","Royals","10","10","0","0","4.44","29","29","173.0","170","86","27","155","53","1.28","8.03","2.76","4.50","2.5","298.7","10021"
"Dane Dunning","Rangers","7","9","0","0","4.50","26","26","150.0","149","75","21","137","59","1.39","8.27","3.55","4.51","2.5","286.0","19409"
"Eduardo Rodriguez","Red Sox","10","8","0","0","4.24","26","26","151.0","145","71","21","156","57","1.33","9.28","3.37","4.18","2.5","226.7","13164"
"Marcus Stroman","Mets","11","9","0","0","4.02","29","29","170.0","169","76","21","141","58","1.33","7.44","3.05","4.24","2.5","206.5","13431"
"Frankie Montas","Athletics","10","9","0","0","4.14","26","26","148.0","143","68","21","147","50","1.31","8.99","3.05","4.18","2.4","157.6","14309"
"Michael Pineda","Twins","9","9","0","0","4.60","28","28","160.0","167","82","28","144","38","1.28","8.12","2.16","4.51","2.4","231.3","5372"
"Kyle Gibson","Rangers","9","11","0","0","4.69","29","29","172.0","180","90","25","149","66","1.43","7.81","3.46","4.65","2.3","524.7","10123"
"Nathan Eovaldi","Red Sox","9","7","0","0","4.40","26","26","150.0","149","73","23","152","44","1.29","9.12","2.64","4.21","2.3","238.0","9132"
"Sixto Sanchez","Marlins","8","8","0","0","3.99","24","24","139.0","137","62","17","122","42","1.28","7.87","2.72","4.08","2.2","131.2","19680"
"Jordan Montgomery","Yankees","8","7","0","0","4.29","23","23","132.0","128","63","20","128","43","1.30","8.75","2.94","4.34","2.2","236.9","16511"
"Dylan Bundy","Angels","11","11","0","0","4.58","29","29","171.0","164","87","31","173","53","1.27","9.14","2.81","4.58","2.2","107.5","12917"
"Sean Manaea","Athletics","11","10","0","0","4.22","28","28","161.0","159","75","24","139","43","1.26","7.79","2.39","4.38","2.2","239.7","15873"
"Pablo Lopez","Marlins","10","10","0","0","4.18","28","28","160.0","155","74","22","149","49","1.27","8.38","2.76","4.21","2.2","130.2","17085"
"Julio Urias","Dodgers","9","7","0","0","4.12","26","26","147.0","134","67","23","152","53","1.27","9.29","3.25","4.39","2.2","116.4","14765"
"Nate Pearson","Blue Jays","8","7","0","0","4.39","23","23","129.0","123","63","20","132","48","1.32","9.26","3.34","4.46","2.2","251.0","20160"
"Jon Gray","Rockies","9","10","0","0","5.13","28","28","158.0","172","90","27","142","55","1.45","8.10","3.17","4.82","2.1","503.5","14916"
"Tyler Mahle","Reds","9","9","0","0","4.65","26","26","147.0","144","76","25","154","53","1.34","9.40","3.26","4.61","2.1","179.3","16358"
"Jameson Taillon","Yankees","8","8","0","0","4.45","23","23","134.0","138","66","21","116","36","1.30","7.80","2.45","4.44","2.1","225.3","11674"
"Rick Porcello","","11","11","0","0","4.73","29","29","167.0","176","88","30","144","44","1.32","7.76","2.38","4.76","2.1","559.0","2717"
"Jake Odorizzi","","10","11","0","0","4.56","28","28","160.0","153","81","28","163","58","1.32","9.18","3.26","4.64","2.0","304.4","6397"
"Josh Lindblom","Brewers","10","10","0","0","4.66","29","29","168.0","167","87","30","164","49","1.29","8.76","2.62","4.60","2.0","356.1","7882"
"Yusei Kikuchi","Mariners","9","10","0","0","4.35","28","28","159.0","156","77","23","145","56","1.33","8.21","3.16","4.48","2.0","346.6","20633"
"Spencer Turnbull","Tigers","10","10","0","0","4.58","28","28","158.0","158","80","23","150","65","1.41","8.56","3.69","4.63","2.0","368.3","16207"
"John Means","Orioles","9","11","0","0","4.88","28","28","160.0","166","87","32","133","41","1.30","7.48","2.30","5.04","2.0","208.4","16269"
"Mike Soroka","Braves","9","7","0","0","4.14","24","24","139.0","142","64","17","111","40","1.31","7.18","2.58","4.24","1.9","173.8","18383"
"Aroldis Chapman","Yankees","4","2","31","3","2.86","0","63","63.0","42","20","6","98","30","1.14","14.07","4.25","2.94","1.9","76.5","10233"
"Chris Archer","","7","9","0","0","4.42","24","24","140.0","136","69","22","147","52","1.34","9.46","3.32","4.33","1.9","537.3","6345"
"Zach Plesac","Indians","9","9","0","0","4.59","26","26","150.0","152","77","26","133","44","1.31","7.96","2.65","4.66","1.9","68.3","19979"
"Kwang-hyun Kim","Cardinals","10","10","0","0","4.23","28","28","162.0","166","76","23","134","47","1.31","7.44","2.61","4.42","1.9","269.0","27458"
"Liam Hendriks","White Sox","5","3","29","3","3.12","0","68","68.0","52","24","9","94","19","1.05","12.49","2.53","3.04","1.9","63.9","3548"
"Luis Severino","Yankees","6","4","0","0","3.76","15","15","85.0","77","36","12","93","24","1.19","9.87","2.53","3.83","1.9","411.4","15890"
"Garrett Richards","","8","7","0","0","4.42","23","23","132.0","126","65","19","129","49","1.33","8.80","3.36","4.36","1.9","432.2","9784"
