"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Fernando Tatis Jr.","Padres","154","665","583","165","28","6","37","112","109","65","165","10","28","10",".284",".363",".544",".906",".375","-2.0","1.5","5.7","2.7","19709"
"Corey Seager","Dodgers","151","651","581","169","38","2","31","99","112","58","117","5","4","1",".291",".358",".524",".882",".367","0.1","0.9","5.3","37.8","13624"
"Francisco Lindor","Mets","157","679","605","160","34","2","32","99","88","60","104","6","19","6",".264",".334",".483",".817",".339","7.3","0.6","4.8","17.2","12916"
"Carlos Correa","Astros","151","651","571","154","30","1","30","85","104","68","145","5","2","0",".270",".349",".482",".831",".348","-0.6","0.6","4.6","125.5","14162"
"Trea Turner","Nationals","152","658","592","172","34","7","24","106","81","55","115","5","35","8",".291",".354",".494",".848",".355","-3.2","4.4","4.3","7.5","16252"
"Manny Machado","Padres","156","672","596","162","30","2","36","93","115","66","115","3","10","5",".272",".345",".508",".852",".352","3.3","-0.2","4.3","19.6","11493"
"Gleyber Torres","Yankees","149","644","565","157","27","1","34","91","107","67","129","6","7","2",".278",".357",".511",".869",".362","-7.5","-0.2","4.3","71.9","16997"
"Bo Bichette","Blue Jays","149","644","591","168","38","5","25","93","96","44","119","3","27","9",".284",".334",".496",".829",".345","0.6","0.9","4.3","24.1","19612"
"Xander Bogaerts","Red Sox","151","651","577","165","38","2","27","94","95","65","117","4","11","2",".286",".360",".496",".855",".358","-4.5","1.7","4.2","36.4","12161"
"Trevor Story","Rockies","152","658","589","162","35","6","34","100","92","59","172","5","26","8",".275",".344",".526",".870",".361","2.5","1.9","3.9","11.3","12564"
"Ketel Marte","Diamondbacks","149","644","581","167","35","7","20","85","74","51","87","6","7","2",".287",".349",".475",".824",".346","0.6","0.3","3.3","81.4","13613"
"Marcus Semien","Blue Jays","149","644","568","146","29","3","23","92","74","68","112","2","11","4",".256",".336",".441",".777",".330","2.3","0.9","3.2","146.3","12533"
"Paul DeJong","Cardinals","151","651","579","143","30","1","27","82","89","55","164","11","5","2",".247",".320",".440",".761",".322","4.1","-0.3","3.1","229.9","18015"
"Andrelton Simmons","Twins","136","588","541","150","30","2","9","69","62","38","58","4","10","3",".278",".328",".391",".719",".309","9.7","0.8","2.9","451.7","10847"
"Javier Baez","Cubs","154","665","623","162","34","4","31","89","100","32","186","5","13","5",".261",".300",".479",".779",".321","-0.3","1.0","2.6","74.1","12979"
"Adalberto Mondesi","Royals","149","644","599","153","30","9","19","83","77","32","181","3","56","15",".255",".294",".432",".726",".304","4.0","5.0","2.6","26.2","13769"
"Tim Anderson","White Sox","154","665","628","178","33","3","24","93","78","25","150","5","19","6",".283",".314",".460",".774",".324","-8.3","1.7","2.6","44.5","15172"
"J.P. Crawford","Mariners","151","651","565","136","25","5","13","78","62","71","134","8","11","5",".241",".332",".372",".704",".307","0.7","-0.1","2.4","433.9","15491"
"Didi Gregorius","","139","602","551","146","26","4","25","79","95","38","83","6","6","3",".265",".317",".463",".780",".324","-0.2","0.0","2.4","170.1","6012"
"Jose Iglesias","Angels","130","560","526","150","35","2","10","61","66","21","70","7","7","4",".284",".319",".414",".732",".310","3.2","0.0","2.3","436.1","10231"
"Willy Adames","Rays","131","567","505","124","24","2","18","65","62","53","160","3","7","3",".245",".318",".409",".726",".309","-0.6","0.3","2.2","352.8","15986"
"Miguel Rojas","Marlins","131","567","513","139","26","1","10","60","56","40","72","8","10","4",".271",".331",".384",".714",".306","4.0","-0.6","2.1","421.4","7802"
"Dansby Swanson","Braves","149","644","571","143","31","3","20","85","80","60","159","5","11","4",".251",".325",".419",".745",".315","0.1","1.2","2.1","108.2","18314"
"Chris Taylor","Dodgers","144","623","551","138","32","5","20","80","80","59","173","7","10","4",".250",".328",".434",".763",".323","-2.7","0.6","2.1","211.2","13757"
"Jorge Polanco","Twins","125","539","486","134","28","4","15","70","62","42","89","3","7","4",".275",".334",".437",".771",".327","-2.3","-0.1","2.0","213.0","13152"
"Jean Segura","Phillies","144","623","571","160","29","4","15","79","70","40","92","6","12","5",".279",".331",".421",".751",".319","0.4","0.8","1.9","189.0","5933"
"Nick Ahmed","Diamondbacks","149","644","583","145","32","4","18","74","78","51","130","3","8","3",".249",".310",".410",".720",".305","3.5","0.8","1.8","404.3","12147"
"Willi Castro","Tigers","123","532","488","133","23","6","14","63","62","29","122","7","9","4",".272",".320",".430",".750",".317","-2.0","-0.3","1.8","244.0","17338"
"Luis Urias","Brewers","136","588","515","127","25","4","13","67","63","57","132","10","7","4",".246",".332",".386",".718",".311","3.3","-0.7","1.5","408.9","16622"
"Amed Rosario","Indians","100","434","406","114","20","5","10","53","46","21","82","3","11","5",".282",".319",".429",".748",".315","-1.5","0.3","1.3","274.5","15518"
"Myles Straw","Astros","120","518","461","116","17","3","3","59","37","49","106","2","31","8",".252",".325",".326",".650",".288","1.7","2.6","1.1","460.9","17620"
"Andres Gimenez","Indians","107","462","420","107","20","5","10","55","45","24","100","12","22","10",".254",".310",".393",".703",".301","1.1","0.0","1.1","179.2","19950"
"Jon Berti","Marlins","100","434","377","91","15","2","7","53","37","44","102","8","22","6",".241",".330",".349",".679",".300","1.5","2.0","1.1","270.6","12037"
"Nico Hoerner","Cubs","121","525","474","127","23","4","8","65","59","39","76","7","11","5",".268",".329",".387",".716",".309","0.6","-0.1","1.1","457.2","21479"
"Orlando Arcia","Brewers","138","595","542","136","24","2","16","63","65","43","118","3","9","4",".251",".307",".391",".698",".296","-0.3","0.1","0.9","497.5","13185"
"Brandon Crawford","Giants","128","553","495","119","26","1","14","58","64","45","124","6","4","3",".240",".308",".379",".687",".292","1.1","-1.1","0.9","526.2","5343"
"Freddy Galvis","Orioles","128","553","506","122","24","2","15","59","60","36","123","5","5","3",".241",".297",".385",".681",".290","-0.6","-0.5","0.9","524.2","6609"
"Jonathan Villar","","96","413","370","92","15","2","11","49","42","36","109","2","24","7",".249",".317",".388",".705",".303","-2.4","1.9","0.8","143.6","10071"
"Wander Franco","Rays","96","413","376","94","16","3","9","45","41","30","55","2","8","6",".251",".307",".386",".693",".295","0.4","-1.3","0.8","999.0","sa3007033"
"Asdrubal Cabrera","","84","364","327","83","18","2","13","43","51","32","73","2","1","0",".255",".322",".437",".760",".320","-2.6","-1.2","0.7","518.7","4962"
"Niko Goodrum","Tigers","133","574","515","118","27","4","16","64","62","50","175","3","15","5",".229",".298",".390",".688",".294","-1.9","1.4","0.6","412.0","12092"
"Brendan Rodgers","Rockies","130","560","514","136","29","3","18","66","69","33","122","7","7","3",".264",".315",".437",".752",".316","2.0","0.0","0.6","497.8","17907"
"Brad Miller","","83","357","309","70","15","2","14","42","46","42","102","3","3","2",".227",".322",".423",".745",".316","-1.1","-0.6","0.6","593.5","12775"
"Pat Valaika","Orioles","42","182","170","42","8","1","8","23","23","10","46","0","1","1",".250",".292",".442",".734",".307","-0.1","-0.5","0.4","494.1","14885"
"Aledmys Diaz","Astros","39","168","154","39","9","0","6","20","21","10","26","2","1","1",".255",".306",".435",".741",".311","-0.8","-0.3","0.3","600.8","15937"
"Kevin Newman","Pirates","105","455","418","112","21","2","6","48","40","27","60","4","10","5",".269",".318",".374",".693",".297","-1.4","-0.5","0.3","516.3","17696"
"Elvis Andrus","Rangers","87","378","350","89","18","2","8","43","37","22","59","3","11","5",".255",".301",".385",".686",".293","0.8","0.6","0.2","479.9","8709"
"Zack Short","Tigers","36","154","133","29","6","1","4","17","14","18","42","2","2","1",".217",".314",".362",".676",".294","0.0","-0.2","0.2","999.0","sa873287"
"Daniel Robertson","Brewers","49","210","181","43","8","1","4","23","19","23","50","5","2","1",".235",".334",".349",".683",".302","0.3","-0.3","0.2","999.0","14145"
"Franklin Barreto","Angels","32","140","128","28","6","1","6","17","18","9","47","2","3","1",".222",".281",".409",".690",".291","-0.1","0.2","0.2","600.3","15519"
