Rank	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	Acuna Jr., Ronald	ATL	OF	1.76	1	6		174		
2	Tatis Jr., Fernando	SD	SS	2.58	1	6		174		
3	Betts, Mookie	LAD	OF	3.60	1	8		174		
4	Soto, Juan	WAS	OF	3.90	1	8		174		
5	Trout, Mike	LAA	OF	6.10	1	11		174		
6	Cole, Gerrit	NYY	P	6.22	1	15		174		
7	deGrom, Jacob	NYM	P	6.30	1	13		174		
8	Turner, Trea	WAS	SS	7.28	1	14		174		
9	Bieber, Shane	CLE	P	9.39	3	15		174		
10	Ramirez, Jose	CLE	3B	10.98	1	22		174		
11	Yelich, Christian	MLW	OF	11.67	1	18		174		
12	Story, Trevor	COL	SS	11.70	6	20		174		
13	Freeman, Freddie	ATL	1B	12.70	6	23		174		
14	Bellinger, Cody	LAD	1B, OF	16.07	9	25		174		
15	Bauer, Trevor	LAD	P	16.28	9	25		174		
16	Lindor, Francisco	NYM	SS	17.09	9	29		174		
17	Darvish, Yu	SD	P	17.14	9	25		174		
18	Giolito, Lucas	CWS	P	18.45	10	31		174		
19	Buehler, Walker	LAD	P	20.09	12	36		174		
20	Harper, Bryce	PHI	OF	20.19	7	29		174		
21	Machado, Manny	SD	3B	21.63	13	35		174		
22	Nola, Aaron	PHI	P	22.39	11	33		174		
23	Mondesi, Adalberto	KC	SS	23.26	12	47		174		
24	Bichette, Bo	TOR	SS	24.47	13	40		174		
25	Castillo, Luis	CIN	P	27.37	17	48		174		
26	LeMahieu, DJ	NYY	1B, 2B, 3B	28.59	11	51		174		
27	Scherzer, Max	WAS	P	28.82	15	46		174		
28	Flaherty, Jack	STL	P	30.57	18	51		174		
29	Tucker, Kyle	HOU	OF	31.40	17	49		174		
30	Woodruff, Brandon	MLW	P	33.79	21	54		174		
31	Realmuto, J.T.	PHI	C	34.21	15	54		174		
32	Albies, Ozzie	ATL	2B	34.44	16	52		174		
33	Arenado, Nolan	STL	3B	34.46	14	67		174		
34	Kershaw, Clayton	LAD	P	34.80	24	56		174		
35	Jimenez, Eloy	CWS	OF	34.88	21	50		174		
36	Bogaerts, Xander	BOS	SS	35.05	16	54		174		
37	Robert, Luis	CWS	OF	36.44	18	56		174		
