PlayerName,NFBC_ADP
Hyun Jin Ryu,74.28
Nick Castellanos,84.12
Gio Urshela,160.85
AJ Pollock,197.29
Kwang Hyun Kim,268.89
Andrew Vaughn,336.94
Sam Huff,394.79
Kike Hernandez,427.24
Cedric Mullins,485.96
Pete Fairbanks,486.79
Jazz Chisholm,502.39
Yoshi Tsutsugo,519.91
JT Brubaker,524.67
Kohei Arihara,533.03
Masahiro Tanaka,571.99
DJ Stewart,572.66
Roberto Osuna,582.59
Vidal Brujan,598.23
Nolan Jones,607.05
Josh Jung,652.92
Daniel Lynch,653.24
Shed Long Jr.,661.38
Jose Garcia,666.4
Daniel Johnson,672.34
Tomoyuki Sugano,703.71
Dee Strange-Gordon,704.26
Yusmeiro Petit,709.49
Nick Lodolo,717.52
Tom Hatch,720.31
Dakota Hudson,725.26
Bobby Witt Jr.,729.31
Na Sung-bum,735.4
Pedro Leon,736.96
George Kirby,737.7
Jason Vosler,738.56
Hirokazu Sawamura,738.89
Nolan Gorman,739.44
Richie Martin,739.99
Jonathan India,741.26
Yoelkis Cespedes,741.47
Grayson Rodriguez,742.17
Colton Welker,742.87
Matt Liberatore,742.99
Triston Casas,744.33
Oscar Colas,745.7
Justin Verlander,745.78
Luis Medina,746.56
Kristian Robinson,746.76
Yu Chang,746.88
Mike Clevinger,747.2
Austin Martin,747.35
Simeon Woods-Richardson,747.57
Hyeon-jong Yang,747.6
Marco Luciano,747.7
Peter Solomon,747.89
Joe Palumbo,748.25
Hunter Greene,748.26
Ken Giles,748.31
Rylan Bannon,748.35
CJ Abrams,748.53
Reid Detmers,748.59
Elehuris Montero,748.87
Shane Baz,749.16
Zack Thompson,749.17
Max Meyer,749.27
Thomas Szapucki,749.33
Asa Lacy,749.45
Yonny Chirinos,749.46
Chadwick Tromp,749.57
Nick Burdi,749.61
Caleb Ferguson,749.75
Bailey Ober,749.75
Aaron Schunk,749.76
Joey Cantillo,749.79
Sam Tuivailala,749.8
Asher Wojciechowski,749.9
Tim Peterson,750.01
Jerad Eickhoff,750.05
Nick Gonzales,750.08
Yerry Rodriguez,750.09
Aaron Bracho,750.13
Jalen Beeks,750.56
Bryan Mata,750.71
Haruki Nishikawa,750.74
Kody Hoese,750.75
Corbin Carroll,750.76
Colin Rea,750.77
Emerson Hancock,750.77
Daniel Espino,750.79
Cade Cavalli,750.8
Franklin Perez,750.83
Ethan Small,750.84
Daniel Alvarez,750.86
Jay Groome,750.86
Jackson Rutledge,750.87
Michael Busch,750.87
Dan Straily,750.88
Bailey Falter,750.89
Bryce Ball,750.93
Chris Rodriguez,750.95
Luis Gil,750.98
