"","Name","Team","position","marginal_total_points","dollar_value","auction_value","status"
"1","Ian Desmond","Rockies","1b, of",2.35748303396363,7.91875022561798,15.5771607982517,""
"2","Jose Iglesias","Angels","ss",2.35197400737491,7.90024548776246,15.5407596908936,""
"3","Andrew Knizner","Cardinals","catcher",-0.0866796499885802,6.70884435306009,13.1971263495566,""
"4","Francisco Pena",NA,"catcher",-0.100236563127562,6.66330688473841,13.1075485189417,""
"5","Tomas Telis",NA,"1b, catcher",-0.232371079175698,6.21946902304704,12.2344645671898,""
"6","Rick Porcello",NA,"pitcher",4.71,5.93000000000001,11.6650432078029,""
"7","Ender Inciarte","Braves","of",1.72623248438782,5.79838907779223,11.4061482509441,""
"8","Daniel Hudson","Nationals","pitcher",4.16,4.94000000000001,9.71759080042942,""
"9","Jose Quintana","Angels","pitcher",4.01,4.67000000000001,9.18646741660029,""
"10","Khris Davis","Athletics","dh, of",1.38640047226644,4.65689843548885,9.16069501927946,""
"11","Aaron Bummer","White Sox","pitcher",3.96,4.57000000000001,8.98975505221912,""
"12","Alex Wood","Giants","pitcher",3.89,4.45000000000001,8.75370021496173,""
"13","Ryan Braun",NA,"of",1.30728514127197,4.39115122283173,8.6379373939846,""
"14","Vince Velasquez","Phillies","pitcher",3.73,4.16000000000001,8.18323435825636,""
"15","Daniel Johnson Jr.","Indians","of",1.16699170464741,3.91990766904225,7.7109430573315,""
"16","Anthony DeSclafani","Giants","pitcher",3.57,3.88000000000001,7.6324397379891,""
"17","Jose Trevino","Rangers","catcher",-0.943008259992236,3.83244936909762,7.53890176766286,""
"18","Daniel Vogelbach","Brewers","1b, dh",1.12846515102049,3.79049755205297,7.45637735645347,""
"19","Tim Locastro","Diamondbacks","of",1.11399896810157,3.74190586014993,7.36079149041819,""
"20","David Bote","Cubs","2b, 3b",1.05802641529386,3.55389489303416,6.99095067170887,""
"21","Jordan Patterson",NA,"of",1.00741270688932,3.38388420406053,6.65651862572813,""
"22","Chad Pinder","Athletics","of",0.991669173667642,3.33100191160918,6.55249261790812,""
"23","Johnny Cueto","Giants","pitcher",3.21,3.21000000000001,6.31446689663531,""
"24","Adrian Houser","Brewers","pitcher",3.16,3.12,6.13742576869227,""
"25","Danny Duffy","Royals","pitcher",3.06,2.94,5.78334351280617,""
"26","Brandon Crawford","Giants","ss",0.822943156639619,2.76425374580715,5.43762890087209,""
"27","Jonathan Brubaker","Pirates","pitcher",2.82,2.52,4.95715158240529,""
"28","Brett Gardner",NA,"of",0.673269304630904,2.261501517143,4.44865310488786,""
"29","Nicky Lopez","Royals","2b",0.627740467781852,2.10857083561679,4.14781954539341,""
"30","Rafael Dolis","Blue Jays","pitcher",2.56,2.04,4.01293223337571,""
"31","Brent Suter","Brewers","pitcher",2.53,1.98,3.89490481474701,""
"32","Eric Campbell",NA,"1b",0.549162961226708,1.84463016720151,3.62861561599027,""
"33","Logan Webb","Giants","pitcher",2.41,1.77,3.48180884954657,""
"34","Brandon Snyder",NA,"3b",0.517259423017149,1.73746665986962,3.41781174696393,""
"35","Alex Cobb","Angels","pitcher",2.38,1.7,3.34411019447975,""
"36","Tyler Rogers","Giants","pitcher",2.35,1.66,3.26542524872729,""
"37","Kris Bubic","Royals","pitcher",2.29,1.55,3.04904164790801,""
"38","Alec Mills","Cubs","pitcher",2.23,1.44,2.83265804708873,""
"39","Michael Wacha","Rays","pitcher",2.22,1.43,2.81298681065061,""
"40","Isaac Paredes","Tigers","3b",0.412979635333705,1.38719241384151,2.72877899578375,""
"41","Shin-Soo Choo",NA,"dh, of",0.406167814268984,1.36431160884058,2.68376962327697,""
"42","Brett Anderson","Brewers","pitcher",2.16,1.32,2.59660320983133,""
"43","Kevin Ginkel","Diamondbacks","pitcher",2.14,1.29,2.53758950051699,""
"44","Chase Anderson",NA,"pitcher",2.14,1.28,2.51791826407887,""
"45","Blake Treinen","Dodgers","pitcher",2.11,1.22,2.39989084545017,""
"46","Mike Leake",NA,"pitcher",2.07,1.15,2.26219219038336,""
"47","Mike Zunino","Rays","catcher",-1.76007542830702,1.08793298012515,2.14009868808662,""
"48","Josh Reddick",NA,"of",0.322523171264738,1.08335050493478,2.13108439279247,""
"49","Martin Maldonado","Astros","catcher",-1.76951496604817,1.05622571413824,2.07772657548315,""
"50","Tony Kemp","Athletics","2b, of",0.311265428410051,1.04553591518538,2.05669841921538,""
"51","Jake Arrieta",NA,"pitcher",1.97,0.959999999999998,1.88843869805915,""
"52","Bruce Maxwell",NA,"catcher",-1.79940778574385,0.955816180199202,1.88020860720756,""
"53","Cole Hamels",NA,"pitcher",1.88,0.809999999999998,1.59337015148741,""
"54","Daulton Jefferies","Athletics","pitcher",1.83,0.719999999999998,1.41632902354436,""
"55","Anibal Sanchez",NA,"pitcher",1.82,0.689999999999998,1.35731531423001,""
"56","Jon Gray","Rockies","pitcher",1.81,0.689999999999998,1.35731531423001,""
"57","Joey Meneses",NA,"of",0.204157435197931,0.685761769117424,1.34897819005297,""
"58","Tanner Roark","Blue Jays","pitcher",1.78,0.619999999999998,1.2196166591632,""
"59","Adam Haseley","Phillies","of",0.158533231753911,0.532510752626099,1.04751449207472,""
"60","Rowan Wick","Cubs","pitcher",1.71,0.499999999999998,0.983561821905807,""
"61","Drew Rasmussen","Brewers","pitcher",1.65,0.389999999999999,0.767178221086529,""
"62","Juniel Querecuto",NA,"2b, 3b, ss",0.099805421873708,0.33524491824297,0.659468205143439,""
"63","Austin Gomber","Rockies","pitcher",1.59,0.289999999999999,0.570465856705367,""
"64","Chad Kuhl","Pirates","pitcher",1.58,0.249999999999999,0.491780910952902,""
"65","Keegan Akin","Orioles","pitcher",1.52,0.159999999999998,0.314739783009856,""
"66","Gio Gonzalez",NA,"pitcher",1.48,0.0899999999999987,0.177041127943043,""
"67","Chance Sisco","Orioles","catcher",-2.06382759005319,0.0676340152094136,0.133044470444352,""
"68","Francisco Mejia","Rays","catcher",-2.10030055785784,-0.0548781377397421,-0.107952082276197,""
"69","Kyle Freeland","Rockies","pitcher",1.39,-0.0800000000000012,-0.157369891504932,""
"70","Josh Staumont","Royals","pitcher",1.38,-0.100000000000001,-0.196712364381164,""
"71","Erik Gonzalez","Pirates","2b, ss",-0.0367622972364396,-0.123484006180035,-0.242908308189327,""
"72","Jon Lester","Nationals","pitcher",1.34,-0.160000000000001,-0.314739783009862,""
"73","Cal Quantrill","Indians","pitcher",1.32,-0.200000000000001,-0.393424728762326,""
"74","Adrian Morejon","Padres","pitcher",1.32,-0.200000000000001,-0.393424728762326,""
"75","Ryan Brasier","Red Sox","pitcher",1.29,-0.250000000000001,-0.491780910952907,""
"76","Brusdar Graterol","Dodgers","pitcher",1.29,-0.250000000000001,-0.491780910952907,""
"77","Martin Perez",NA,"pitcher",1.29,-0.270000000000001,-0.531123383829139,""
"78","Dean Kremer","Orioles","pitcher",1.27,-0.300000000000001,-0.590137093143488,""
"79","Wade Miley","Reds","pitcher",1.26,-0.320000000000001,-0.629479566019721,""
"80","Mike Fiers",NA,"pitcher",1.25,-0.330000000000001,-0.649150802457837,""
"81","Mike Mayers","Angels","pitcher",1.25,-0.340000000000001,-0.668822038895953,""
"82","Nick Wittgren","Indians","pitcher",1.25,-0.340000000000001,-0.668822038895953,""
"83","Albert Pujols","Angels","1b, dh",-0.104829740575994,-0.352121529562802,-0.692666586298101,""
"84","Steven Brault","Pirates","pitcher",1.23,-0.370000000000001,-0.727835748210302,""
"85","Matt Wisler","Giants","pitcher",1.22,-0.390000000000001,-0.767178221086534,""
"86","D.J. Stewart","Orioles","of",-0.130472837130642,-0.438256307078574,-0.862104343703828,""
"87","Todd Frazier",NA,"3b",-0.132304802143808,-0.444409850137987,-0.874209123749214,""
"88","Phillip Evans","Pirates","3b",-0.13250488536268,-0.445081926675446,-0.875531181396499,""
"89","Carlos Rodon","White Sox","pitcher",1.17,-0.480000000000001,-0.944219349029579,""
"90","Trevor Williams",NA,"pitcher",1.16,-0.490000000000001,-0.963890585467696,""
"91","Edward Olivares","Royals","of",-0.15765179492652,-0.529550019515739,-1.04169036397031,""
"92","A.J. Minter","Braves","pitcher",1.12,-0.560000000000001,-1.10158924053451,""
"93","Josh Fleming","Rays","pitcher",1.11,-0.580000000000001,-1.14093171341074,""
"94","Roberto Perez","Indians","catcher",-2.26455111786955,-0.606593310410067,-1.19324404308561,""
"95","Matt Andriese","Red Sox","pitcher",1.09,-0.620000000000001,-1.21961665916321,""
"96","Tanner Scott","Orioles","pitcher",1.08,-0.650000000000001,-1.27863036847755,""
"97","Michael Fulmer","Tigers","pitcher",1.05,-0.690000000000001,-1.35731531423002,""
"98","Cesar Valdez","Orioles","pitcher",1.04,-0.710000000000001,-1.39665778710625,""
"99","Victor Caratini","Padres","1b, catcher",-2.32320971517161,-0.803626660779162,-1.58083300521607,""
"100","Asdrubal Cabrera",NA,"2b, 3b, ss",-0.244296674685029,-0.820588873773268,-1.61419977544814,""
"101","Jordan Lyles","Rangers","pitcher",0.97,-0.84,-1.65238386080176,""
"102","Lou Trivino","Athletics","pitcher",0.95,-0.88,-1.73106880655423,""
"103","Tyler Anderson",NA,"pitcher",0.94,-0.9,-1.77041127943046,""
"104","Lewis Thorpe","Twins","pitcher",0.94,-0.9,-1.77041127943046,""
"105","Evan Marshall","White Sox","pitcher",0.91,-0.95,-1.86876746162104,""
"106","Brendan McKay","Rays","pitcher",0.88,-1,-1.96712364381162,""
"107","Sam Coonrod","Giants","pitcher",0.88,-1.01,-1.98679488024974,""
"108","Stephen Vogt","Diamondbacks","catcher",-2.38897908091808,-1.02454497592305,-2.01540664628664,""
"109","Dustin Pedroia",NA,"2b",-0.305082359267203,-1.02476707847922,-2.01584354947623,""
"110","Jeff Samardzija",NA,"pitcher",0.81,-1.14,-2.24252095394525,""
"111","Sean Doolittle",NA,"pitcher",0.81,-1.14,-2.24252095394525,""
"112","Kyle Higashioka","Yankees","catcher",-2.42430754623611,-1.14321276214996,-2.24884085433238,""
"113","Will Harris","Nationals","pitcher",0.8,-1.15,-2.26219219038336,""
"114","Justin Dunn","Mariners","pitcher",0.79,-1.17,-2.3015346632596,""
"115","Joely Rodriguez","Rangers","pitcher",0.76,-1.22,-2.39989084545018,""
"116","Raudy Read",NA,"catcher",-2.45416271812968,-1.24349583768521,-2.44611006329191,""
"117","Joe Jimenez","Tigers","pitcher",0.73,-1.28,-2.51791826407887,""
"118","Andrew Miller","Cardinals","pitcher",0.71,-1.31,-2.57693197339322,""
"119","Logan Allen","Indians","pitcher",0.71,-1.32,-2.59660320983134,""
"120","Mychal Givens","Rockies","pitcher",0.7,-1.33,-2.61627444626946,""
"121","Phil Maton","Indians","pitcher",0.7,-1.33,-2.61627444626946,""
"122","Grant Holmes","Athletics","pitcher",0.7,-1.34,-2.63594568270757,""
"123","Jose Alvarado","Phillies","pitcher",0.69,-1.35,-2.65561691914569,""
"124","Emmanuel Clase","Indians","pitcher",0.66,-1.4,-2.75397310133627,""
"125","Victor Gonzalez","Dodgers","pitcher",0.66,-1.4,-2.75397310133627,""
"126","Shane McClanahan","Rays","pitcher",0.66,-1.41,-2.77364433777439,""
"127","Kendall Graveman","Mariners","pitcher",0.63,-1.46,-2.87200051996497,""
"128","Matt Moore","Phillies","pitcher",0.6,-1.51,-2.97035670215555,""
"129","Kolby Allard","Rangers","pitcher",0.6,-1.52,-2.99002793859366,""
"130","Jose Urena","Tigers","pitcher",0.6,-1.52,-2.99002793859366,""
"131","Marwin Gonzalez",NA,"1b, of",-0.462421698045038,-1.55326756246819,-3.05546934729682,""
"132","Scott Barlow","Royals","pitcher",0.56,-1.59,-3.12772659366048,""
"133","Homer Bailey",NA,"pitcher",0.56,-1.59,-3.12772659366048,""
"134","Steven Matz","Blue Jays","pitcher",0.53,-1.63,-3.20641153941294,""
"135","Eric Lauer","Brewers","pitcher",0.53,-1.64,-3.22608277585106,""
"136","Luis Garcia","Nationals","2b",-0.488572379113079,-1.64110730876721,-3.22826098910804,""
"137","Matt Strahm","Padres","pitcher",0.52,-1.66,-3.26542524872729,""
"138","Josh Thole",NA,"catcher",-2.58151394329027,-1.67126669687889,-3.28758823454542,""
"139","Dom Nunez","Rockies","catcher",-2.5870794311426,-1.68996108727382,-3.32436241189792,""
"140","David Phelps",NA,"pitcher",0.5,-1.69,-3.32443895804164,""
"141","Justin Wilson",NA,"pitcher",0.48,-1.73,-3.4031239037941,""
"142","Keone Kela","Pirates","pitcher",0.47,-1.75,-3.44246637667034,""
"143","Collin McHugh",NA,"pitcher",0.45,-1.78,-3.50148008598469,""
"144","Devin Smeltzer","Twins","pitcher",0.45,-1.78,-3.50148008598469,""
"145","Nick Pivetta","Red Sox","pitcher",0.45,-1.79,-3.5211513224228,""
"146","Chris Stratton","Pirates","pitcher",0.44,-1.81,-3.56049379529903,""
"147","Brent Honeywell Jr.","Rays","pitcher",0.43,-1.82,-3.58016503173715,""
"148","Ty Buttrey","Angels","pitcher",0.42,-1.83,-3.59983626817527,""
"149","Jesse Hahn","Royals","pitcher",0.4,-1.87,-3.67852121392773,""
"150","Pierce Johnson","Padres","pitcher",0.4,-1.88,-3.69819245036585,""
"151","Sam Selman","Giants","pitcher",0.39,-1.9,-3.73753492324208,""
"152","Alex Young","Diamondbacks","pitcher",0.37,-1.92,-3.77687739611831,""
"153","Richard Bleier","Marlins","pitcher",0.37,-1.93,-3.79654863255643,""
"154","Anthony Misiewicz","Mariners","pitcher",0.37,-1.93,-3.79654863255643,""
"155","Trayce Thompson",NA,"of",-0.585235875946118,-1.96579854782512,-3.86696880239735,""
