playerid,Name,Team,position,PA,AB,R,HR,RBI,SB,AVG,marginal_total_points,dollar_value,status
13769,Adalberto Mondesi,Royals,ss,644,599,83.73993808049536,20.93498452012384,78.75541795665634,53.83281733746129,0.257,14.612003210202868,41.42598530808791,drafted
18401,Ronald Acuna Jr.,Braves,of,665,578,111.9692532942899,41.86676427525622,97.36456808199122,27.26207906295754,0.279,13.511115209628421,38.39530540062414,drafted
19709,Fernando Tatis Jr.,Padres,ss,672,593,109.18759231905466,38.711964549483014,99.26144756277697,25.80797636632201,0.286,13.094422680686709,37.248175379772825,drafted
13510,Jose Ramirez,Indians,3b,672,561,102.90964777947931,32.931087289433385,100.85145482388974,24.69831546707504,0.275,12.011624766779747,34.26729641678184,drafted
12564,Trevor Story,Rockies,ss,658,597,100.85416666666667,34.270833333333336,95.95833333333334,24.479166666666668,0.276,11.850164454297172,33.82280567418274,drafted
16252,Trea Turner,Nationals,ss,658,612,96.59593023255815,21.99709302325581,73.64244186046511,32.51744186046511,0.286,11.571220220119518,33.05488860597601,drafted
20123,Juan Soto,Nationals,of,672,527,108.38709677419355,39.225806451612904,113.5483870967742,12.387096774193548,0.304,11.495821993554985,32.847321723433645,drafted
11477,Christian Yelich,Brewers,of,679,559,105.39701492537313,35.47014925373134,98.30298507462686,18.241791044776118,0.28,11.109660704207021,31.78424240922865,drafted
15998,Cody Bellinger,Dodgers,"1b, of",651,546,102.41588785046729,40.5607476635514,114.5841121495327,12.16822429906542,0.282,10.932957371676656,31.29778852908623,drafted
10155,Mike Trout,Angels,of,679,529,117.38301043219077,40.476900149031295,106.25186289120715,10.119225037257824,0.282,10.759356167696785,30.819874626365173,drafted
13611,Mookie Betts,Dodgers,of,679,584,110.02773722627738,32.71094890510949,88.22043795620438,18.833576642335768,0.273,10.633980015728893,30.474721455065332,drafted
12916,Francisco Lindor,Indians,ss,672,603,102.475073313783,32.516129032258064,91.63636363636363,18.721407624633432,0.277,10.541488202017641,30.220096932613178,drafted
20043,Luis Robert,White Sox,of,644,553,84.45901639344262,30.61639344262295,89.73770491803278,24.281967213114758,0.261,10.387956664301168,29.79743364054665,drafted
19612,Bo Bichette,Blue Jays,ss,644,613,93.77711738484399,23.922734026745914,78.46656760772659,22.965824665676077,0.282,9.934393708535309,28.54880150349711,drafted
18345,Kyle Tucker,Astros,of,644,550,88.57605177993528,31.262135922330096,94.8284789644013,19.79935275080906,0.256,9.828318023444412,28.256781382188052,drafted
14161,Byron Buxton,Twins,of,588,484,81.94350282485877,28.7909604519774,86.37288135593221,21.03954802259887,0.266,9.519436293434437,27.406448148984122,
11493,Manny Machado,Padres,"3b, ss",679,583,97.58698940998487,36.980332829046894,107.85930408472012,9.2450832072617235,0.274,9.499883102519345,27.352619364582573,drafted
11579,Bryce Harper,Phillies,of,679,535,99.34087481146305,36.86877828054299,98.31674208144797,13.313725490196079,0.248,9.41772914294216,27.126454346452444,drafted
17350,Rafael Devers,Red Sox,3b,658,595,100,35,104,7,0.288,9.14932928859522,26.387565335662043,drafted
19290,Randy Arozarena,Rays,of,644,555,83.19617224880383,25.677830940988837,81.14194577352472,21.569377990430624,0.258,9.042225015837662,26.092713573011824,drafted
5361,Freddie Freeman,Braves,1b,679,558,101.54229607250755,33.84743202416919,104.61933534743201,5.128398791540786,0.292,8.862964643964863,25.599220313973767,drafted
11281,Whit Merrifield,Royals,"2b, of",665,627,89.50072358900144,15.397973950795947,64.47901591895803,23.096960926193923,0.283,8.602232908386064,24.88144118308625,drafted
15172,Tim Anderson,White Sox,ss,672,620,87.03614457831326,23.27710843373494,80.96385542168674,17.204819277108435,0.277,8.549886476724797,24.737334535924642,drafted
17484,Eloy Jimenez,White Sox,of,651,577,93.73575949367088,40.17246835443038,111.24683544303797,1.0300632911392404,0.289,8.528778443375787,24.679225361763837,drafted
16556,Ozzie Albies,Braves,2b,651,578,88.35725429017161,26.405616224648988,85.31045241809673,14.218408736349454,0.278,8.47820652661925,24.540003849751724,drafted
12979,Javier Baez,Cubs,"2b, ss",665,601,82.3529411764706,30.88235294117647,98.8235294117647,12.352941176470587,0.256,8.328090644228563,24.126743655876187,
9777,Nolan Arenado,Rockies,3b,665,577,93.83435582822085,35.6978527607362,108.11349693251535,3.0598159509202456,0.284,8.319469344240394,24.10300972414405,drafted
17678,Alex Bregman,Astros,3b,665,546,101.7651515151515,32.24242424242424,100.75757575757576,5.037878787878788,0.278,8.283583004876457,24.00421674283627,drafted
10324,Marcell Ozuna,NA,of,651,568,90.55641421947449,35.216383307573416,104.64296754250387,5.030911901081916,0.277,8.259015255016099,23.93658317263246,drafted
9241,Starling Marte,Marlins,of,630,589,75.09287925696594,19.5046439628483,75.09287925696594,21.455108359133124,0.268,8.20775102765658,23.795455770254488,drafted
6184,J.D. Martinez,Red Sox,"dh, of",658,570,95.01075268817203,35.376344086021504,107.13978494623656,3.032258064516129,0.277,8.145980313015821,23.625404626419932,
