playerid,NFBC_ADP
11467,NA
18655,618.85
9256,NA
19343,410.01
16258,520
19479,186.96
22052,NA
5297,282.44
15640,58.29
10343,NA
16149,22.39
11490,NA
15231,NA
5486,NA
19844,704.82
13769,23.26
15288,NA
10950,420.49
11205,354.06
15082,676.93
15223,511.76
19878,696.3
10843,NA
1247,552.91
15846,742.25
2233,422.19
9029,NA
17859,361.9
10459,NA
sa3011643,517.25
19287,750.85
19903,750.2
12718,475.74
20039,553.95
11338,NA
9256,197.29
sa917953,750.82
17485,NA
14109,744.02
1177,677.14
sa873670,750.42
21618,106.33
13834,487.47
15937,708.15
22581,281.7
"NA",NA
7476,739.93
16271,NA
17678,42.6
12890,NA
6562,606.72
6661,188.64
sa919320,NA
12649,324.68
"NA",NA
17276,741.53
sa917929,263.29
15015,419.99
17027,128.9
25007,749.72
13781,517.92
18333,742
sa920272,NA
sa922180,NA
18551,NA
15518,269.44
15518,269.44
14375,308.99
19909,599.99
sa829605,NA
20329,NA
10847,460.83
19950,169.87
19950,169.87
20373,709.11
17901,229.89
8782,NA
12988,NA
15423,209.03
12828,NA
14942,651.57
19514,547.07
9847,195.99
6785,642.08
17932,547.9
18300,NA
13132,NA
13533,NA
"NA",336.94
14196,750.94
19521,749.51
17759,NA
sa917908,750.87
3284,733.07
14329,636.87
14706,NA
7982,461.29
13854,NA
19789,NA
13050,440.91
5097,NA
20387,746.81
18152,748.87
12861,42.07
3473,101.07
14551,157.58
20383,NA
15488,566.14
16925,750.19
12918,303.85
15482,630.78
5498,NA
10233,76.53
18251,NA
4962,570.09
"NA",749.9
15139,750.97
13801,674.51
18083,729.79
12158,586.67
17237,NA
17117,NA
18288,NA
16561,552.76
19363,228.89
12976,702.95
sa3004170,NA
"NA",747.35
15672,95.86
15941,162.85
15290,750.19
18360,208
5491,611.74
16153,438.33
15047,692.59
15271,NA
5760,318.03
18873,750.03
12384,NA
sa873701,750.97
20175,NA
12160,750.17
15100,NA
19561,NA
10199,745.47
15654,750.67
20344,748.44
5224,750.91
sa917932,NA
13543,45.12
16418,748.36
12572,470.39
19612,24.47
17278,746.74
19966,295.97
14832,NA
"NA",729.31
10133,NA
6627,NA
9111,130.35
15734,319.59
12775,671.07
5401,NA
16390,NA
17806,750.99
16221,683.67
25377,242.68
21896,703.51
19582,NA
10264,380.7
19866,750.87
13527,NA
5343,557.86
11615,750.3
9939,455.17
18882,71.82
"NA",602.02
9346,NA
12927,257
9856,NA
18347,NA
16162,33.79
11428,676.55
21844,743.08
sa829486,NA
20186,634.92
17907,506.75
"NA",750.71
sa828706,642.42
19627,674.44
13942,586.93
8223,702.56
sa3006813,NA
9927,673.1
17369,NA
14735,748.66
"NA",NA
12758,NA
18289,228.23
9810,NA
12858,725.56
sa918377,NA
16729,749.32
9345,750.17
21189,NA
10061,745.94
20370,748.82
20367,523.38
16609,745.63
19457,475.29
11287,NA
sa917784,750.71
19326,296.59
11579,20.19
19990,639.7
13356,750.67
14814,747.36
9492,NA
12784,746.18
9166,247.8
14161,114.47
sa873984,749.83
12546,391.59
19312,425.68
sa3008377,743.34
19231,NA
7087,NA
14875,336.98
10078,NA
13360,NA
12981,717.01
16840,NA
5223,750.2
sa916835,NA
6632,64.72
14162,126.63
14542,750.7
22713,750.28
11682,426.66
16137,673.82
16634,NA
2396,274.19
18311,NA
13620,253.9
19958,487.11
20492,399.22
11209,NA
19252,60.72
17929,485.96
17929,NA
10556,370.39
7216,750.95
9013,722.05
15552,616.61
14975,629.88
15191,538.49
17470,NA
16953,NA
17161,731.33
"NA",749.57
15694,543.49
7859,89.21
3298,NA
4676,121.87
sa3004174,732.52
6895,730.47
10855,750.89
9866,NA
14663,NA
6345,512.66
12304,189.51
9272,749.56
12763,748.5
13896,623.84
9284,NA
11847,395.41
14151,NA
10030,746.89
20099,109.72
"NA",750.95
10603,255.39
17738,NA
13761,733.39
13757,213.91
16434,734.49
10028,NA
9774,147.59
13419,198.78
11477,11.67
17714,740.63
19614,NA
19899,565.67
13649,NA
2036,34.8
15983,185.58
23293,715.48
12183,NA
15998,16.07
17920,749.96
15232,750.9
18088,746.68
4972,649.72
19244,NA
15256,745.34
17326,697.43
16909,449.56
12317,750.77
7531,742.7
12997,NA
"NA",742.87
19199,NA
21205,695.56
"NA",750.9
sa829464,NA
sa873978,NA
19361,60.98
19884,646.01
10762,371.27
2429,205.59
15010,623.46
13677,NA
sa738510,750.7
13624,37.03
sa3005305,744.9
6655,186.77
7274,NA
17606,220.79
19948,405.53
12510,641.03
12510,641.03
17766,NA
14545,NA
sa875017,NA
"NA",725.26
9434,196.64
sa3004862,NA
16507,NA
7385,NA
"NA",750.88
12237,750.36
19409,287.64
7115,329.07
19805,NA
7146,508.31
19643,672.34
19643,NA
"NA",653.24
4316,747.34
13475,691.71
16110,504.58
14145,750.59
14130,665.41
17811,NA
3542,523.39
16535,303.37
18889,750.84
10322,659.98
18314,104.48
21170,NA
9929,719.57
3321,748.54
19848,667.69
19345,638.62
19918,150.26
19569,750.83
14593,515.92
13744,324.25
17992,222.46
9756,NA
16130,NA
2136,274.11
20302,410.23
6316,NA
3184,185.24
8241,745.89
18353,724.3
19350,560.68
sa3004203,NA
8203,NA
"NA",704.26
20276,330.84
15988,749.66
11379,729.82
6216,735.96
21087,687.32
17878,748.72
14509,NA
10542,NA
16192,747.9
16947,NA
13133,NA
19487,747.99
15816,175.6
4062,644.4
6012,165.87
17496,339.7
14672,NA
18790,NA
17796,736.76
17186,86.75
9874,28.59
sa829712,NA
17766,572.66
15055,721.7
17149,322.72
16404,NA
"NA",750.64
12178,NA
13763,NA
15653,112.37
19314,NA
8623,515.89
3411,NA
11426,237.09
25385,749.98
17755,NA
11760,217.37
sa3004378,653.17
14677,750.36
sa3007959,NA
17098,748.44
9433,NA
19716,172.74
15189,NA
13473,NA
12917,107.93
20126,153.47
18525,398.19
sa3004197,NA
13394,748.99
18042,115.46
12155,111.83
19276,NA
17355,NA
3990,NA
17022,749.29
6153,297.82
13164,228.82
16086,NA
20589,NA
sa920423,588.92
19698,521.94
14710,82.39
2151,655.78
18316,326.81
8418,746.83
"NA",748.87
sa915827,750.52
19346,NA
11680,468.53
16933,248.89
17484,34.88
8709,461.15
14771,489.48
sa736761,NA
21032,518.37
4922,694.33
20447,705.08
10472,NA
14111,NA
14111,NA
3516,136.48
19316,702.1
7927,744.51
3711,NA
15538,NA
17425,746.87
13369,611.06
16587,NA
sa915732,NA
19151,750.75
"NA",750.84
12552,78.6
9368,438.17
12297,734.25
20078,404.88
4772,749.14
13403,728.77
19709,2.58
sa828682,NA
sa917930,566.4
17295,96.34
14567,405.01
17303,NA
12916,17.09
12916,17.09
16403,480.13
16403,480.13
14309,156.25
15519,740.34
"NA",750.83
17861,NA
14566,156.31
5361,12.7
6609,541.06
18679,364.2
17897,NA
15279,438.09
27463,573.07
19262,261.43
9784,424.05
18067,750.75
sa3005306,NA
11442,171.97
19955,252.45
17490,705.74
19558,NA
"NA",737.7
12856,50.92
16306,NA
15038,167.11
13125,6.22
4949,123.21
7448,749.96
10681,160.85
14986,301.96
10681,NA
16997,70.13
11203,750.49
sa918674,NA
sa828669,745.98
sa875233,NA
17062,730.7
"NA",742.17
16623,747.94
16623,747.94
sa3004977,NA
10951,750.75
7196,279.55
12907,464.59
19677,557.87
19867,305.83
18721,NA
11801,713.51
11902,583.32
14691,733.4
14387,750.85
18030,504.86
"NA",750.74
"NA",NA
sa3011918,179.92
sa3011918,179.92
sa3011918,NA
11632,NA
11804,304.73
