team,position,player,salary,AB,R,HR,RBI,SB,AVG,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value
pasadena,C1,J.T. Realmuto,24,551,76,24,83,6.999999999999999,0.265,NA,NA,NA,NA,NA,NA,3.971669128773492,18.133771483917588
pasadena,C2,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,1B,Freddie Freeman,34,558,101.54229607250755,33.84743202416919,104.61933534743201,5.128398791540786,0.292,NA,NA,NA,NA,NA,NA,6.7039792717277855,25.6556605833447
pasadena,2B,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,SS,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,3B,J.D. Davis,5,487,74.29602888086642,23.350180505415164,76.41877256317689,2.1227436823104693,0.258,NA,NA,NA,NA,NA,NA,2.552232893969515,14.226147025751349
pasadena,CI,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,MI,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,OF1,Mike Trout,52,529,117.38301043219077,40.476900149031295,106.25186289120715,10.119225037257824,0.282,NA,NA,NA,NA,NA,NA,8.600370795459705,30.876314895736105
pasadena,OF2,Victor Robles,5,529,73.72390572390573,17.346801346801346,70.47138047138047,23.85185185185185,0.251,NA,NA,NA,NA,NA,NA,5.743171758352571,23.01061401711176
pasadena,OF3,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,OF4,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,OF5,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,OF6,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,DH,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,P1,Clayton Kershaw,28,NA,NA,NA,NA,NA,NA,178,3.58,1.18,0,13,182,9.42,21.92
pasadena,P2,Carlos Carrasco,15,NA,NA,NA,NA,NA,NA,174,3.88,1.21,0,12,194,8.54,19.52
pasadena,P3,Lance McCullers Jr.,5,NA,NA,NA,NA,NA,NA,171,3.82,1.29,0,12,174,7.27,16.03
pasadena,P4,Pablo Lopez,3,NA,NA,NA,NA,NA,NA,179,4.01,1.29,0,10,161,6.27,13.260000000000002
pasadena,P5,Dylan Bundy,5,NA,NA,NA,NA,NA,NA,184,4.52,1.28,0,12,177,6.58,14.120000000000001
pasadena,P6,,0,NA,NA,NA,NA,NA,NA,73,5.1,1.43,0,4.68,78.04285714285714,NA,NA
pasadena,P7,,0,NA,NA,NA,NA,NA,NA,73,5.1,1.43,0,4.68,78.04285714285714,NA,NA
pasadena,P8,,0,NA,NA,NA,NA,NA,NA,73,5.1,1.43,0,4.68,78.04285714285714,NA,NA
pasadena,P9,,0,NA,NA,NA,NA,NA,NA,73,5.1,1.43,0,4.68,78.04285714285714,NA,NA
pasadena,P10,,0,NA,NA,NA,NA,NA,NA,73,5.1,1.43,0,4.68,78.04285714285714,NA,NA
pasadena,B1,Casey Mize,0,NA,NA,NA,NA,NA,NA,103,5.2,1.43,0,5,85,NA,NA
pasadena,B2,Jasson Dominguez,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,B3,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,B4,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,B5,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,B6,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,B7,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,B8,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,B9,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pasadena,B10,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
