Name,Team,position,playerid,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value,status,auction_value,NFBC_ADP,salary
Jacob deGrom,Mets,pitcher,10954,186.5,2.84,1.03,0,14,242,14.48,23.63999999999996,drafted,46.50280293970663,6.3,27
Gerrit Cole,Yankees,pitcher,13125,196.5,3.28,1.08,0,15,259,14.25,23.219999999999963,drafted,45.67661100930575,6.22,33
Shane Bieber,Indians,pitcher,19427,194,3.18,1.07,0,14,242,13.76,22.339999999999964,drafted,43.94554220275153,9.39,17
Max Scherzer,Nationals,pitcher,3137,176,3.5,1.11,0,13,224,11.47,18.189999999999962,drafted,35.781979080933304,28.82,42
Trevor Bauer,NA,pitcher,12703,201,3.74,1.19,0,13,241,11.3,17.88999999999996,drafted,35.191841987789815,16.28,12
Clayton Kershaw,Dodgers,pitcher,2036,171.5,3.31,1.12,0,13,180,10.47,16.369999999999962,drafted,32.20181404919615,34.8,28
Aaron Nola,Phillies,pitcher,16149,187,3.62,1.2,0,13,215,10.42,16.279999999999962,drafted,32.0247729212531,22.39,30
Yu Darvish,Padres,pitcher,13074,176.5,3.55,1.15,0,12,211,10.41,16.259999999999962,drafted,31.985430448376874,17.14,24
Lucas Giolito,White Sox,pitcher,15474,174,3.59,1.17,0,12,217,10.21,15.899999999999967,drafted,31.2772659366047,18.45,14
Jack Flaherty,Cardinals,pitcher,17479,174,3.6,1.17,0,12,202,9.84,15.229999999999976,drafted,29.95929309525093,30.57,11
Walker Buehler,Dodgers,pitcher,19374,162.5,3.42,1.12,0,11,189,9.67,14.929999999999984,drafted,29.36915600210746,20.09,15
Luis Castillo,Reds,pitcher,15689,177,3.62,1.23,0,12,204,9.31,14.269999999999996,drafted,28.070854397191816,27.37,17
Edwin Diaz,Mets,pitcher,14710,56,2.88,1.09,33,3,87,8.99,13.680000000000007,drafted,26.91025144734298,82.39,29
Josh Hader,Brewers,pitcher,14212,60.5,2.98,1.04,30,3,96,8.86,13.460000000000008,drafted,26.477484245704428,58.49,13
Lance Lynn,White Sox,pitcher,2520,187.5,4.05,1.25,0,13,202,8.86,13.460000000000008,drafted,26.477484245704428,52.01,5
Blake Snell,Padres,pitcher,13543,154,3.49,1.21,0,12,189,8.76,13.270000000000008,drafted,26.10373075338022,45.12,35
Aroldis Chapman,Yankees,pitcher,10233,56,2.88,1.15,33,3,85,8.74,13.240000000000009,drafted,26.044717044065873,76.53,29
Carlos Carrasco,Mets,pitcher,6632,164,3.71,1.18,0,11,188,8.7,13.160000000000009,drafted,25.88734715256094,64.72,15
Brandon Woodruff,Brewers,pitcher,16162,161.5,3.59,1.18,0,11,183,8.68,13.13000000000001,drafted,25.828333443246596,33.79,10
Zack Greinke,Astros,pitcher,1943,185,3.99,1.18,0,12,170,8.64,13.06000000000001,drafted,25.690634788179782,108.42,25
Tyler Glasnow,Rays,pitcher,14374,146.5,3.49,1.17,0,10,197,8.54,12.89000000000001,drafted,25.356223768731805,51.68,12
Ryan Pressly,Astros,pitcher,7005,59.5,3.28,1.15,33,3,72,8.35,12.520000000000008,drafted,24.628388020521506,122.87,3
James Karinchak,Indians,pitcher,20151,60,3.17,1.24,31,3,100,8.34,12.510000000000009,drafted,24.608716784083388,104.73,4
Jose Berrios,Twins,pitcher,14168,178.5,3.95,1.24,0,12,183,8.22,12.30000000000001,drafted,24.19562081888295,85.1,17
