"","team","spent","left","picks_left","total_points","R_points","HR_points","RBI_points","SB_points","AVG_points","ERA_points","WHIP_points","K_points","SV_points","W_points"
"1","rippe",154,106,23,102.3,8.4,10.1,9.7,9,8.4,14.6,14.4,12.8,3.2,11.7
"2","sturgeon",69,191,23,101.3,12.1,11.1,11.7,18,8.4,15.5,14.4,1,5.7,3.4
"3","ds9",107,153,23,90.5,6.4,7,6.5,16.3,5.3,13.8,13.7,5.5,9.2,6.8
"4","chicago",89,171,23,83.7,3.6,7.4,5.4,7.1,5.3,13.1,13,9.3,9.2,10.3
"5","bellevegas",92,168,23,78.8,8.2,12.3,12,5.9,5.3,13.1,9.4,1.3,6.2,5.1
"6","pkdodgers",95,165,23,78.2,6,8,7.5,2.5,5.3,13.7,13,6.9,5.5,9.8
"7","ottawa",143,117,25,75.1,2.5,4.2,1.5,11.7,5.3,12.9,12.3,11,2.6,11.1
"8","bears",70,190,23,74.4,6.1,7.2,7.3,8.6,8.4,14.2,13,1,4.5,4.1
"9","isotopes",131,129,23,72.2,2.4,4.7,2.7,11.3,5.3,13,10.1,2.6,15.1,5
"10","pasadena",176,84,24,70.4,2.3,4.8,3.3,4.3,5.3,11.4,10.1,12.4,2.6,13.9
"11","deano",143,117,23,68.4,5.6,4.8,5.2,8.1,11.6,11.5,10.1,1.7,3.8,6
"12","marmaduke",82,178,23,65.4,1,1.9,1,10.8,5.3,13,10.1,9.1,3.2,10
"13","perpetual",87,173,23,61,2.1,7.2,5,1,5.3,10.3,8.7,8,3.8,9.6
"14","deener",132,128,24,59.4,3.1,7.8,5.1,1,5.3,10.3,6.5,6.1,3.8,10.4
"15","dsb",64,196,26,51.1,2.1,4.6,4.3,1,5.3,10.9,9.4,3.2,3.8,6.5
"16","drjames",66,194,26,50.5,1,1.9,1,1,2.1,11,10.1,8.2,3.8,10.4
"17","dembums",103,157,24,49.7,1,4.1,1.9,1,5.3,11.5,9.4,4.6,4.7,6.2
"18","balco",54,206,23,49.1,1,2.9,1,2.4,5.3,11.1,9.4,5.5,3.2,7.3
