playerid,Name,Team,position,PA,AB,R,HR,RBI,SB,AVG,marginal_total_points,dollar_value,auction_value,status,NFBC_ADP,salary
13769,Adalberto Mondesi,Royals,ss,620.5,561,80.5196268053972,18.002865806054494,66.0501256029549,50.78789268421632,0.24416666666666667,11.388456605238197,38.25365528105093,75.24966976557455,drafted,23.26,9
18401,Ronald Acuna Jr.,Braves,of,620,568.5,107.4413454038107,35.44023925069883,90.1825726519704,27.48270222808533,0.2781666666666667,11.019031632132176,37.01276232573078,72.808679893725,drafted,1.76,9
16252,Trea Turner,Nationals,ss,635.5,602.5,97.64505716246593,22.58194003888031,75.73879994501465,34.25512716146861,0.29016666666666663,10.592042583254212,35.57851250147905,69.98733315330675,drafted,7.28,19
19709,Fernando Tatis Jr.,Padres,ss,622,564.5,102.54300866422555,34.52987741736039,96.2816612238438,24.162637789395923,0.2773333333333333,10.35580585151144,34.784996855412174,68.42638976419416,drafted,2.58,8
13611,Mookie Betts,Dodgers,of,650,587.1666666666666,110.32289193167288,32.75515953731948,91.76384735859939,20.251312153191698,0.289,9.824929976972118,33.00179273868288,64.91860678443375,drafted,3.6,41
13510,Jose Ramirez,Indians,3b,634.5,555.8333333333334,96.98001969894464,32.15502169677923,94.68076834267245,23.55077208160694,0.2765,9.770912687919948,32.82034947325672,64.56168544700355,drafted,10.98,17
10155,Mike Trout,Angels,of,647.5,518.3333333333334,111.66067428458798,42.44495587540372,107.99082085913855,11.775092526694186,0.28783333333333333,9.664013299462285,32.4612760274367,63.85534358186609,drafted,6.1,52
20123,Juan Soto,Nationals,of,639,542.3333333333334,106.8359291868987,35.39694257349753,108.19158204675827,11.927701698608148,0.30083333333333334,9.215735623926912,30.95551802487879,60.89333141317586,drafted,3.9,9
12564,Trevor Story,Rockies,ss,612,583.6666666666666,93.60578116887966,30.584905219294722,85.94309538918056,22.75475325689638,0.2755,9.02825166595617,30.32576221620836,59.65452387211255,drafted,11.7,17
20043,Luis Robert,White Sox,of,644,562.6,87.65137752521495,29.72321970485853,88.7126657567463,23.119703705632084,0.257,8.529914058444678,28.65185365141127,56.361738756721415,drafted,36.44,1
15998,Cody Bellinger,Dodgers,"1b, of",629.6666666666666,557.5,98.01531634719561,36.53343759879696,104.01593875479129,12.89808802910037,0.27466666666666667,8.479454930750775,28.482362196730985,56.028328108795804,drafted,16.07,12
11477,Christian Yelich,Brewers,of,628.5,554.6666666666666,98.42677512895631,32.674982385156206,88.96454020095332,16.77232884438589,0.2771666666666667,8.395682702931358,28.200972537340647,55.474799856684974,drafted,11.67,33
11579,Bryce Harper,Phillies,of,629.5,536.3333333333334,98.07512400008785,34.109327478429485,98.05218623096575,13.715892295295967,0.263,7.967822247614583,26.763795671903658,52.6476952643448,drafted,20.19,34
