Name,Team,position,playerid,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value,status
Jacob deGrom,Mets,pitcher,10954,203,2.97,1.04,0,15,271,15.56,38.83,drafted
Shane Bieber,Indians,pitcher,19427,205,3.29,1.09,0,15,255,14.08,34.76,drafted
Gerrit Cole,Yankees,pitcher,13125,204,3.58,1.09,0,15,271,13.9,34.28,drafted
Max Scherzer,Nationals,pitcher,3137,189,3.52,1.11,0,13,236,11.89,28.740000000000002,drafted
Yu Darvish,Cubs,pitcher,13074,189,3.72,1.17,0,13,227,10.67,25.38,drafted
Walker Buehler,Dodgers,pitcher,19374,185,3.69,1.17,0,13,208,10.16,23.97,drafted
Dinelson Lamet,Padres,pitcher,17186,173,3.62,1.18,0,12,219,9.82,23.02,drafted
Trevor Bauer,NA,pitcher,12703,206,4.08,1.25,0,13,233,9.66,22.58,drafted
Tyler Glasnow,Rays,pitcher,14374,169,3.64,1.2,0,12,217,9.43,21.95,drafted
Clayton Kershaw,Dodgers,pitcher,2036,178,3.58,1.18,0,13,182,9.42,21.92,drafted
Blake Snell,Rays,pitcher,13543,166,3.47,1.2,0,12,204,9.29,21.56,
Luis Castillo,Reds,pitcher,15689,184,3.67,1.25,0,12,210,9.06,20.95,drafted
Brandon Woodruff,Brewers,pitcher,16162,185,3.86,1.23,0,12,205,8.88,20.44,drafted
Edwin Diaz,Mets,pitcher,14710,63,3.02,1.1,31,4,93,8.78,20.16,
Carlos Carrasco,Indians,pitcher,6632,174,3.88,1.21,0,12,194,8.54,19.52,drafted
Aroldis Chapman,Yankees,pitcher,10233,63,3.13,1.16,31,4,92,8.47,19.31,
Aaron Nola,Phillies,pitcher,16149,190,3.9,1.28,0,12,207,8.41,19.15,drafted
Lucas Giolito,White Sox,pitcher,15474,185,4.16,1.26,0,12,217,8.35,18.98,drafted
Jack Flaherty,Cardinals,pitcher,17479,182,3.97,1.26,0,11,203,7.99,17.99,drafted
James Karinchak,Indians,pitcher,20151,63,3.43,1.26,31,4,91,7.9,17.76,drafted
Charlie Morton,Braves,pitcher,4676,168,3.76,1.24,0,12,178,7.9,17.74,
Craig Kimbrel,Cubs,pitcher,6655,63,3.59,1.22,32,3,89,7.85,17.62,
Jesus Luzardo,Athletics,pitcher,19959,175,3.85,1.25,0,12,179,7.84,17.59,drafted
Framber Valdez,Astros,pitcher,17295,171,3.57,1.31,0,13,175,7.75,17.33,drafted
Lance Lynn,White Sox,pitcher,2520,191,4.28,1.28,0,12,205,7.75,17.32,drafted
Kevin Gausman,Giants,pitcher,14107,170,3.81,1.23,0,11,176,7.65,17.05,drafted
Ryan Pressly,Astros,pitcher,7005,63,3.55,1.2,31,4,73,7.64,17.02,drafted
Matt Barnes,Red Sox,pitcher,12863,63,3.68,1.3,32,4,81,7.59,16.9,
Jose Berrios,Twins,pitcher,14168,188,4.32,1.28,0,13,191,7.58,16.86,drafted
Andrew Heaney,Angels,pitcher,15423,172,4.19,1.23,0,12,177,7.42,16.43,
Nathan Eovaldi,Red Sox,pitcher,9132,171,4.08,1.25,0,12,179,7.41,16.4,
Hyun-Jin Ryu,Blue Jays,pitcher,14444,189,4.16,1.28,0,13,170,7.36,16.26,drafted
Lance McCullers Jr.,Astros,pitcher,14120,171,3.82,1.29,0,12,174,7.27,16.03,drafted
Patrick Corbin,Nationals,pitcher,9323,190,4.05,1.31,0,12,180,7.18,15.77,drafted
Raisel Iglesias,Angels,pitcher,17130,63,3.72,1.19,30,3,73,7.09,15.52,
German Marquez,Rockies,pitcher,15038,192,4.28,1.3,0,12,186,7.08,15.5,drafted
Zac Gallen,Diamondbacks,pitcher,19291,178,4.14,1.29,0,11,192,7.06,15.45,drafted
Zack Wheeler,Phillies,pitcher,10310,191,4.18,1.28,0,11,179,7.02,15.32,
Josh Hader,Brewers,pitcher,14212,63,3.38,1.13,25,3,94,6.94,15.100000000000001,drafted
Zack Greinke,Astros,pitcher,1943,191,4.37,1.26,0,12,166,6.9,14.98,
Taylor Rogers,Twins,pitcher,13449,63,3.64,1.22,28,4,71,6.83,14.79,drafted
Kenta Maeda,Twins,pitcher,18498,181,4.43,1.3,0,12,186,6.68,14.39,drafted
Dylan Bundy,Angels,pitcher,12917,184,4.52,1.28,0,12,177,6.58,14.120000000000001,drafted
Chris Sale,Red Sox,pitcher,10603,112,3.34,1.07,0,9,146,6.56,14.07,
Sonny Gray,Reds,pitcher,12768,181,4.09,1.35,0,11,191,6.52,13.96,drafted
Max Fried,Braves,pitcher,13743,171,3.8,1.34,0,12,162,6.51,13.93,drafted
James Paxton,NA,pitcher,11828,169,4.22,1.28,0,11,173,6.44,13.739999999999998,
Masahiro Tanaka,NA,pitcher,15764,176,4.26,1.26,0,11,158,6.35,13.489999999999998,drafted
Pablo Lopez,Marlins,pitcher,17085,179,4.01,1.29,0,10,161,6.27,13.260000000000002,drafted
Stephen Strasburg,Nationals,pitcher,10131,163,4.04,1.26,0,10,161,6.23,13.16,
Chris Paddack,Padres,pitcher,20099,155,4.06,1.22,0,10,153,6.23,13.149999999999999,drafted
Kyle Hendricks,Cubs,pitcher,12049,190,4.34,1.28,0,11,153,6.12,12.84,drafted
Corey Kluber,Rangers,pitcher,2429,148,4.05,1.23,0,10,152,5.98,12.46,drafted
Tanner Rainey,Nationals,pitcher,17610,63,3.86,1.4,28,3,80,5.97,12.43,
Joe Musgrove,Pirates,pitcher,12970,182,4.27,1.31,0,10,171,5.93,12.329999999999998,drafted
Drew Smyly,Braves,pitcher,11760,152,4.25,1.28,0,10,176,5.92,12.29,
Corbin Burnes,Brewers,pitcher,19361,158,4.12,1.32,0,10,177,5.84,12.079999999999998,drafted
Hector Neris,Phillies,pitcher,11804,63,4.26,1.32,28,3,71,5.83,12.059999999999999,
Adrian Morejon,Padres,pitcher,20039,140,3.78,1.29,0,10,152,5.64,11.53,
Matthew Boyd,Tigers,pitcher,15440,172,4.59,1.29,0,10,176,5.63,11.5,
Yusei Kikuchi,Mariners,pitcher,20633,167,4.17,1.3,0,10,156,5.61,11.43,
Rafael Montero,Mariners,pitcher,12760,63,3.98,1.26,25,3,70,5.55,11.28,
Jordan Romano,Blue Jays,pitcher,16122,63,4.13,1.29,26,3,69,5.54,11.26,
Drew Pomeranz,Padres,pitcher,11426,63,3.6,1.25,23,3,76,5.51,11.18,
Robbie Ray,Blue Jays,pitcher,11486,163,4.54,1.39,0,11,201,5.49,11.11,
Jordan Montgomery,Yankees,pitcher,16511,166,4.51,1.31,0,11,165,5.49,11.11,
Chris Bassitt,Athletics,pitcher,12304,176,4.46,1.31,0,11,156,5.47,11.07,drafted
Yimi Garcia,Marlins,pitcher,12095,63,4.33,1.29,26,3,63,5.29,10.56,
Dustin May,Dodgers,pitcher,19716,144,3.89,1.27,0,10,132,5.28,10.54,drafted
Nick Anderson,Rays,pitcher,18337,63,3.37,1.11,16,4,86,5.19,10.28,
Jose Leclerc,Rangers,pitcher,14524,60,3.86,1.3,23,3,78,5.17,10.24,
Kwang-hyun Kim,Cardinals,pitcher,27458,185,4.32,1.36,0,11,151,5.15,10.17,
Eduardo Rodriguez,Red Sox,pitcher,13164,152,4.26,1.33,0,10,161,5.1,10.03,
Marco Gonzales,Mariners,pitcher,15467,180,4.42,1.3,0,10,142,5.09,10,drafted
Frankie Montas,Athletics,pitcher,14309,154,4.25,1.31,0,10,149,5.03,9.86,drafted
Kenley Jansen,Dodgers,pitcher,3096,63,4.24,1.23,23,3,67,5.02,9.82,
Daniel Bard,Rockies,pitcher,7115,61,4.24,1.34,25,3,66,4.99,9.73,
David Price,Dodgers,pitcher,3184,135,4.06,1.27,0,10,135,4.97,9.68,
Jake Odorizzi,NA,pitcher,6397,160,4.63,1.32,0,10,166,4.9,9.48,
Chris Martin,Braves,pitcher,11847,63,3.81,1.21,21,3,64,4.84,9.32,
Sean Manaea,Athletics,pitcher,15873,158,4.32,1.3,0,10,135,4.76,9.09,
Marcus Stroman,Mets,pitcher,13431,174,4.14,1.39,0,11,140,4.73,9.02,
Sixto Sanchez,Marlins,pitcher,19680,147,3.95,1.3,0,9,131,4.7,8.94,drafted
Jake Diekman,Athletics,pitcher,5003,63,3.52,1.32,20,3,77,4.68,8.89,
Griffin Canning,Angels,pitcher,19867,156,4.52,1.33,0,10,153,4.6,8.67,
Seth Lugo,Mets,pitcher,12447,144,4.25,1.3,0,9,143,4.55,8.54,
Mike Minor,Royals,pitcher,10021,175,4.64,1.34,0,10,154,4.55,8.52,
Sandy Alcantara,Marlins,pitcher,18684,191,4.49,1.41,0,10,167,4.46,8.29,
Richard Rodriguez,Pirates,pitcher,13549,63,4.28,1.31,22,3,66,4.46,8.29,
Aaron Bummer,White Sox,pitcher,16258,63,3.39,1.31,18,4,69,4.45,8.25,
Zach Plesac,Indians,pitcher,19979,174,4.73,1.33,0,10,151,4.43,8.21,drafted
Chris Archer,NA,pitcher,6345,154,4.57,1.33,0,9,160,4.4,8.12,
Julio Urias,Dodgers,pitcher,14765,153,4.41,1.34,0,10,142,4.37,8.02,drafted
Jose Urquidy,Astros,pitcher,18413,156,4.69,1.3,0,10,141,4.36,8.02,
Anthony DeSclafani,Giants,pitcher,13050,163,4.46,1.33,0,9,143,4.25,7.710000000000001,
Michael Pineda,Twins,pitcher,5372,159,4.74,1.31,0,10,141,4.23,7.66,drafted
Josh Lindblom,Brewers,pitcher,7882,168,4.79,1.33,0,9,160,4.23,7.640000000000001,
Amir Garrett,Reds,pitcher,14375,63,4.08,1.35,20,3,74,4.19,7.529999999999999,
Stefan Crichton,Diamondbacks,pitcher,16058,63,4.31,1.39,23,3,55,4.1,7.279999999999999,
Elieser Hernandez,Marlins,pitcher,16933,153,4.62,1.31,0,8,150,3.99,6.99,
John Means,Orioles,pitcher,16269,170,4.91,1.32,0,9,151,3.95,6.890000000000001,
Tony Gonsolin,Dodgers,pitcher,19388,121,4.18,1.25,0,8,125,3.93,6.83,
Kyle Gibson,Rangers,pitcher,10123,174,4.48,1.42,0,10,153,3.93,6.83,
Ian Anderson,Braves,pitcher,19951,147,4.3,1.4,0,9,153,3.9,6.74,drafted
Zach Eflin,Phillies,pitcher,13774,168,4.73,1.35,0,9,149,3.86,6.609999999999999,drafted
Tarik Skubal,Tigers,pitcher,22267,141,4.51,1.33,0,8,151,3.85,6.6,drafted
Johnny Cueto,Giants,pitcher,6893,174,4.52,1.38,0,9,146,3.84,6.58,
Jose Quintana,NA,pitcher,11423,161,4.61,1.37,0,10,140,3.84,6.57,
Hunter Harvey,Orioles,pitcher,15507,63,4.7,1.39,22,3,62,3.84,6.5600000000000005,
Tyler Mahle,Reds,pitcher,16358,153,4.7,1.36,0,9,155,3.83,6.539999999999999,drafted
Rick Porcello,NA,pitcher,2717,177,4.95,1.36,0,10,147,3.71,6.220000000000001,
Logan Webb,Giants,pitcher,17995,160,4.3,1.42,0,10,133,3.63,5.98,
Vince Velasquez,Phillies,pitcher,11189,150,4.8,1.37,0,9,154,3.56,5.800000000000001,
Ross Stripling,Blue Jays,pitcher,13273,153,4.72,1.37,0,10,135,3.51,5.67,
Mike Soroka,Braves,pitcher,18383,148,4.29,1.36,0,9,120,3.49,5.609999999999999,drafted
Spencer Turnbull,Tigers,pitcher,16207,165,4.61,1.41,0,9,152,3.49,5.6,
Luis Severino,Yankees,pitcher,15890,101,3.94,1.21,0,7,113,3.45,5.5,
Aaron Civale,Indians,pitcher,19479,150,4.69,1.33,0,9,125,3.37,5.279999999999999,
Patrick Sandoval,Angels,pitcher,19447,132,4.22,1.38,0,9,125,3.35,5.23,
Noah Syndergaard,Mets,pitcher,11762,114,4.05,1.25,0,7,112,3.35,5.220000000000001,
Ryan Yarbrough,Rays,pitcher,16502,159,4.63,1.35,0,9,124,3.33,5.17,drafted
Jameson Taillon,Pirates,pitcher,11674,143,4.45,1.34,0,8,126,3.27,5,drafted
Garrett Richards,NA,pitcher,9784,150,4.63,1.4,0,9,142,3.23,4.9,
Dane Dunning,Rangers,pitcher,19409,149,4.53,1.37,0,8,136,3.2,4.82,
Luke Weaver,Diamondbacks,pitcher,16918,141,4.65,1.34,0,8,134,3.19,4.779999999999999,
J.A. Happ,NA,pitcher,7410,144,4.69,1.36,0,9,129,3.15,4.68,
Danny Duffy,Royals,pitcher,3542,157,4.85,1.38,0,9,140,3.11,4.5600000000000005,
Michael Kopech,White Sox,pitcher,17282,128,4.65,1.37,0,8,144,3.08,4.470000000000001,drafted
Dallas Keuchel,White Sox,pitcher,9434,181,4.59,1.46,0,11,129,3.08,4.470000000000001,drafted
Taijuan Walker,NA,pitcher,11836,169,5,1.42,0,10,150,3.06,4.43,
Triston McKenzie,Indians,pitcher,18000,127,4.68,1.32,0,8,128,3.03,4.35,
Brady Singer,Royals,pitcher,25377,146,4.49,1.4,0,9,124,2.96,4.15,
Matt Shoemaker,NA,pitcher,4776,144,4.73,1.37,0,8,134,2.86,3.87,
Brusdar Graterol,Dodgers,pitcher,20367,63,3.54,1.25,10,4,67,2.84,3.83,
Deivi Garcia,Yankees,pitcher,20276,152,5.09,1.41,0,9,153,2.8,3.71,drafted
Alex Reyes,Cardinals,pitcher,15015,58,3.92,1.37,14,3,70,2.76,3.5999999999999996,drafted
Merrill Kelly,Diamondbacks,pitcher,11156,151,4.77,1.37,0,8,129,2.74,3.5300000000000002,
Peter Fairbanks,Rays,pitcher,17998,60,3.42,1.21,9,3,77,2.72,3.5,
Miles Mikolas,Cardinals,pitcher,9803,131,4.47,1.31,0,8,98,2.68,3.38,
David Peterson,Mets,pitcher,20302,149,4.4,1.45,0,9,125,2.68,3.38,
MacKenzie Gore,NA,pitcher,sa3005068,120,4.4,1.37,0,8,115,2.59,3.1399999999999997,drafted
Freddy Peralta,Brewers,pitcher,18679,109,4.33,1.33,0,6,129,2.59,3.13,
Justus Sheffield,Mariners,pitcher,17285,149,4.45,1.44,0,8,130,2.54,3.01,
Lucas Sims,Reds,pitcher,13470,63,4.18,1.29,11,3,76,2.49,2.8600000000000003,
Adrian Houser,Brewers,pitcher,12718,150,4.6,1.44,0,9,123,2.46,2.7800000000000002,
Dylan Cease,White Sox,pitcher,18525,141,4.8,1.46,0,9,141,2.44,2.7199999999999998,
Zach Davies,Padres,pitcher,13183,182,4.93,1.45,0,10,132,2.44,2.7199999999999998,drafted
Caleb Smith,Diamondbacks,pitcher,14875,141,5.11,1.4,0,8,146,2.4,2.62,
Austin Gomber,Cardinals,pitcher,16561,142,4.55,1.43,0,8,127,2.4,2.5999999999999996,
Will Smith,Braves,pitcher,8048,63,3.69,1.22,8,3,76,2.38,2.5599999999999996,drafted
Mitch Keller,Pirates,pitcher,17594,141,4.67,1.44,0,8,135,2.35,2.4699999999999998,
Adbert Alzolay,Cubs,pitcher,17859,134,4.79,1.43,0,8,138,2.34,2.4400000000000004,
