Name,Team,position,dollar_value,NFBC_ADP,predicted_adp,net_value
Ender Inciarte,Braves,of,5.798389077792225,701.24,326.957688109551,374.282311890449
Myles Straw,Astros,"of, ss",13.221049547562352,499.88,149.89746049480536,349.9825395051946
Dexter Fowler,Cardinals,of,5.2724185750104215,666.68,340.3214986714414,326.35850132855853
Rick Porcello,NA,pitcher,5.930000000000009,644.49,323.3882694252515,321.1017305747485
Ian Desmond,Rockies,"1b, of",7.918750225617984,586.1,270.1103984100118,315.98960158998824
Anthony Alford,Pirates,of,5.447371586772141,649.78,335.9779824036241,313.8020175963759
Daniel Vogelbach,Brewers,"1b, dh",3.7904975520529747,653.1,382.3468577015116,270.7531422984884
Daniel Johnson Jr.,Indians,of,3.9199076690422467,648.98,378.3519716302134,270.6280283697866
Freddy Galvis,Orioles,ss,5.442226194034039,603.61,336.10612495780623,267.5038750421938
Mike Leake,NA,pitcher,1.1499999999999977,747.59,482.5753020686715,265.01469793132856
Chase Anderson,NA,pitcher,1.2799999999999976,735.61,476.65337772267526,258.95662227732475
Orlando Arcia,Brewers,ss,8.780818099764433,502.71,249.84397913408768,252.8660208659123
Ryan Braun,NA,of,4.391151222831725,612.44,364.40958092883983,248.03041907116022
Nicky Lopez,Royals,2b,2.1085708356167867,674.05,438.2478562641441,235.80214373585585
Alex Wood,Giants,pitcher,4.450000000000009,596.71,362.6987158525906,234.0112841474094
Anibal Sanchez,NA,pitcher,0.6899999999999982,738.78,505.30268160491175,233.47731839508822
Kevin Kiermaier,Rays,of,8.725604878821727,481.2,251.01380337735839,230.1861966226416
Brett Gardner,NA,of,2.261501517143005,658.15,431.85951730691255,226.29048269308743
Drew Rasmussen,Brewers,pitcher,0.3899999999999987,743.95,520.5932924404973,223.35670755950275
Tanner Roark,Blue Jays,pitcher,0.6199999999999983,731.54,508.88795856286754,222.65204143713243
Tony Kemp,Athletics,"2b, of",1.0455359151853805,708.54,487.51607677618404,221.02392322381593
Kevin Ginkel,Diamondbacks,pitcher,1.2899999999999978,693.07,476.19575510054847,216.87424489945158
Josh Reddick,NA,of,1.0833505049347818,700.88,485.70674663558566,215.17325336441434
Gio Gonzalez,NA,pitcher,0.08999999999999869,750.15,535.1904445103102,214.95955548968982
Jake Arrieta,NA,pitcher,0.9599999999999979,705.15,491.684102064068,213.465897935932
Adam Ottavino,Red Sox,pitcher,0.13999999999999885,743.39,532.8007917981148,210.58920820188519
Brett Anderson,Brewers,pitcher,1.3199999999999976,683.59,474.81677825233896,208.77322174766107
Tim Locastro,Diamondbacks,of,3.741905860149932,587.56,383.8753026428228,203.68469735717713
Ryan Brasier,Red Sox,pitcher,-0.25000000000000094,744.39,551.8062162842293,192.58378371577066
Alex Cobb,Angels,pitcher,1.6999999999999988,645.32,456.91929237932186,188.4007076206782
Chris Flexen,Mariners,pitcher,2.190000000000001,622.07,434.7898049317705,187.28019506822955
Gregory Polanco,Pirates,of,9.53148061216471,420.71,234.04734977845231,186.66265022154766
Tyler Rogers,Giants,pitcher,1.6599999999999984,641.44,458.81292072103577,182.6270792789643
Andrew Knizner,Cardinals,catcher,6.708844353060087,482.8,301.7664844720303,181.0335155279697
Niko Goodrum,Tigers,"2b, ss",10.447982329745233,392.88,212.26021412934145,180.61978587065855
Andrelton Simmons,Twins,ss,7.9652293799485365,449.54,268.94448088010745,180.59551911989257
Adam Haseley,Phillies,of,0.5325107526260987,693.85,513.3656859372733,180.48431406272675
Trevor Williams,NA,pitcher,-0.490000000000001,742.32,563.4768333537181,178.84316664628193
Sam Hilliard,Rockies,of,11.7396441893605,360.02,182.11913616370174,177.90086383629824
Chris Archer,NA,pitcher,4.370000000000009,539.07,365.0247875895459,174.04521241045416
Todd Frazier,NA,3b,-0.4444098501379874,731.2,561.2874995194027,169.91250048059737
Sam Coonrod,Giants,pitcher,-1.0100000000000002,750.32,588.4390272092202,161.88097279077988
Vince Velasquez,Phillies,pitcher,4.160000000000009,532.54,371.16619952969324,161.37380047030672
Logan Webb,Giants,pitcher,1.7699999999999991,612.27,453.6191668677957,158.6508331322043
Phillip Evans,Pirates,3b,-0.4450819266754456,716.93,561.3198977721001,155.6101022278998
Nick Ahmed,Diamondbacks,ss,10.168823167822454,369.29,219.00029663510568,150.28970336489434
Jason Heyward,Cubs,of,8.311360209581089,409.63,260.38988895770376,149.24011104229623
Wade Miley,Reds,pitcher,-0.3200000000000011,704.29,555.2397383075997,149.05026169240023
Khris Davis,Athletics,"dh, of",4.65689843548885,505.49,356.6653392941987,148.8246607058013
Carlos Rodon,White Sox,pitcher,-0.48000000000000076,711.49,562.9981340671436,148.4918659328564
Joey Votto,Reds,1b,9.983080595115085,371.44,223.46023484090654,147.97976515909346
David Robertson,NA,pitcher,-1.3800000000000003,749.66,606.1647110371763,143.49528896282368
Jose Quintana,Angels,pitcher,4.670000000000009,498.83,356.28089813371906,142.54910186628092
