"","team","spent","left","picks_left","total_points","R_points","HR_points","RBI_points","SB_points","AVG_points","ERA_points","WHIP_points","K_points","SV_points","W_points"
"1","rippe",182,78,22,111.1,15.9,14.9,17.7,13,8.4,8.8,7.9,12.8,1,10.7
"2","chicago",115,145,22,98.7,11.7,12.7,14.2,15,5.3,7.9,7.2,9.3,6,9.4
"3","ottawa",164,96,23,94.1,11,9.6,10.8,17.4,5.3,7.8,7.2,12.6,1,11.4
"4","ds9",123,137,22,89.4,12.1,10.2,12.6,18,5.3,6.3,5.8,7.2,4.8,7.1
"5","pasadena",176,84,23,82.8,9.4,8.8,10.9,9.1,5.3,7.1,5.8,12.4,1,13
"6","bellevegas",92,168,23,81,14.6,15.9,18,10.2,8.4,5.1,1,1.3,2.4,4.1
"7","sturgeon",84,176,22,78.9,16.4,13.8,16.5,18,8.4,1,1,1,1,1.8
"8","isotopes",131,129,23,77.9,9.5,8.7,10.3,16.1,5.3,6.3,2.9,2.6,12,4.2
"9","pkdodgers",95,165,23,75.2,11.7,11.2,13.6,6.3,5.3,6.1,4.3,6.9,1.1,8.7
"10","marmaduke",82,178,23,71.5,6.2,5.9,7.2,15.6,5.3,7.7,4.3,9.1,1,9.2
"11","dsb",108,152,24,66.5,8.4,8.3,11.2,5.3,5.3,5,4.3,8.8,1,8.9
"12","lacugna",122,138,23,66.1,7.3,7,8.7,5.1,5.3,4.8,3.6,11.1,1,12.2
"13","deener",151,109,23,65.9,10.4,12.3,13,4.4,5.3,3.1,1,6.1,1,9.3
"14","deano",143,117,23,65.1,11.2,8,11.3,11.9,11.6,2.6,1,1.7,1,4.8
"15","bears",70,190,23,64.9,11.8,10.4,13.5,12.5,8.4,2.5,1,1,1,2.8
"16","perpetual",87,173,23,60.7,7.8,10.4,11.2,4.3,5.3,3.3,1,8,1,8.4
"17","balco",98,162,22,57.8,7,8.1,9.5,6.3,8.4,4.3,1.4,5.5,1,6.3
"18","dembums",115,145,23,53.4,8.2,9.2,10.6,3.7,5.3,4.2,1.4,4.6,1,5.2
