"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Alex Bregman","Astros","150","660","546","152","37","2","32","101","100","97","88","9","5","2","",".278",".393",".527",".920",".385","","146","0.0","-2.7","","38.6","-0.1","6.0","","999.0","17678"
"Anthony Rendon","Angels","150","656","558","155","35","2","27","92","96","83","98","10","3","1","",".277",".377",".494",".871",".366","","132","1.1","3.5","","27.6","6.0","5.5","","999.0","12861"
"Jose Ramirez","Indians","150","653","561","154","38","3","32","100","98","78","95","7","24","8","",".275",".367",".526",".892",".371","","129","3.8","1.4","","27.7","3.9","5.3","","999.0","13510"
"Matt Chapman","Athletics","150","663","578","144","33","4","35","94","98","68","167","9","2","1","",".249",".335",".500",".835",".348","","121","1.3","5.9","","19.1","8.4","5.0","","999.0","16505"
"Manny Machado","Padres","150","661","583","160","29","3","36","95","105","68","115","5","9","4","",".274",".352",".519",".870",".359","","124","-0.9","3.3","","19.8","5.8","4.6","","999.0","11493"
"Rafael Devers","Red Sox","150","658","595","171","39","2","35","100","104","50","134","5","7","3","",".288",".346",".540",".886",".365","","124","1.5","-2.1","","22.1","0.0","4.4","","999.0","17350"
"Vladimir Guerrero Jr.","Blue Jays","150","644","570","171","32","3","29","93","98","61","100","6","3","1","",".301",".371",".521",".892",".373","","134","-1.6","-5.1","","26.6","-7.8","4.0","","999.0","19611"
"Josh Donaldson","Twins","139","605","502","127","25","1","31","90","89","90","148","7","3","1","",".253",".371",".493",".864",".364","","127","-1.1","0.0","","19.8","-0.7","3.9","","999.0","5038"
"Nolan Arenado","Rockies","150","652","577","164","33","2","35","92","106","65","103","5","3","1","",".284",".358",".532",".890",".366","","111","0.4","5.4","","10.3","7.9","3.8","","999.0","9777"
"Yoan Moncada","White Sox","147","650","569","144","28","4","24","87","79","68","186","5","7","3","",".253",".335",".443",".778",".330","","107","2.1","0.5","","8.0","2.9","3.3","","999.0","17232"
"Kris Bryant","Cubs","147","658","556","141","31","2","27","91","84","79","160","15","4","2","",".254",".360",".464",".824",".350","","115","2.5","-2.9","","15.8","-3.2","3.3","","999.0","15429"
