"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Yasmani Grandal","White Sox","130","565","469","110","21","1","25","77","73","85","141","5","3","1","",".235",".355",".446",".801",".342","","115","-3.1","0.4","","7.9","6.7","4.6","","999.0","11368"
"J.T. Realmuto","","144","612","551","146","30","2","24","76","83","46","130","9","7","3","",".265",".330",".458",".787",".331","","105","1.9","4.2","","5.5","10.5","4.1","","999.0","11739"
"Sean Murphy","Athletics","105","407","357","87","18","1","17","51","52","40","97","4","3","1","",".245",".326",".446",".773",".327","","106","0.3","0.0","","3.6","8.8","2.8","","999.0","19352"
"Salvador Perez","Royals","125","541","507","133","27","1","29","69","85","20","115","9","3","1","",".262",".300",".490",".790",".327","","101","-1.9","6.1","","-0.9","12.4","2.6","","999.0","7304"
"Christian Vazquez","Red Sox","109","443","404","103","20","1","14","51","53","30","90","3","6","3","",".255",".309",".410",".720",".305","","84","-1.6","2.6","","-10.8","10.1","2.5","","999.0","9774"
"Buster Posey","Giants","109","471","420","107","23","1","9","50","48","42","75","5","2","1","",".256",".328",".377",".705",".305","","89","-2.1","4.6","","-8.6","10.7","2.3","","999.0","9166"
"Max Stassi","Angels","93","366","320","72","13","1","13","42","43","35","101","5","2","1","",".224",".309",".394",".703",".302","","89","-0.8","-2.3","","-6.1","5.5","2.3","","999.0","10059"
"Travis d'Arnaud","Braves","105","445","402","103","19","1","18","54","59","34","107","4","2","1","",".257",".319",".445",".764",".323","","96","-1.0","-2.6","","-3.3","6.2","2.3","","999.0","7739"
"Danny Jansen","Blue Jays","93","364","316","76","14","1","13","44","44","36","73","6","2","1","",".240",".326",".414",".740",".317","","97","0.1","0.3","","-1.5","8.1","2.2","","999.0","16535"
"Austin Nola","Padres","113","469","415","105","20","2","12","53","53","42","101","6","2","1","",".253",".328",".400",".728",".312","","93","0.1","-0.3","","-4.2","7.4","2.2","","999.0","15941"
"Willson Contreras","Cubs","105","442","382","96","20","1","17","55","58","44","110","11","3","2","",".251",".343",".446",".790",".335","","106","-1.2","0.5","","2.2","8.7","2.0","","999.0","11609"
"Ryan Jeffers","Twins","75","290","261","70","13","1","11","38","38","21","64","4","2","1","",".268",".329",".455",".784",".331","","105","0.2","-0.5","","2.1","5.8","1.8","","999.0","24618"
"Carson Kelly","Diamondbacks","90","353","307","74","15","1","12","41","41","37","73","4","1","1","",".241",".326",".414",".741",".313","","90","-0.3","-0.3","","-4.9","7.2","1.7","","999.0","13620"
"Roberto Perez","Indians","89","350","306","64","12","1","11","37","38","35","106","4","1","0","",".210",".296",".367",".663",".286","","72","-1.0","4.5","","-13.7","11.9","1.7","","999.0","2900"
"Gary Sanchez","Yankees","90","376","328","73","12","1","24","51","59","37","110","6","1","1","",".222",".310",".479",".789",".328","","104","-0.4","-2.7","","1.7","4.9","1.6","","999.0","11442"
