"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Vladimir Guerrero Jr.","Blue Jays","150","644","570","171","32","3","29","93","98","61","100","6","3","1","",".301",".371",".521",".892",".373","","134","-1.6","-5.1","","26.6","-7.8","4.0","","999.0","19611"
"Yordan Alvarez","Astros","131","552","475","132","25","1","37","85","98","67","135","4","3","1","",".278",".369",".569",".938",".383","","145","-0.2","0.0","","31.3","-15.3","3.4","","999.0","19556"
"Giancarlo Stanton","Yankees","138","588","507","128","22","1","41","89","103","69","186","7","4","2","",".252",".347",".542",".890",".367","","130","-0.7","0.0","","22.1","-15.7","2.6","","999.0","4949"
"J.D. Martinez","Red Sox","150","651","570","158","32","1","35","94","106","70","154","5","3","1","",".277",".359",".522",".880",".363","","123","-3.2","-0.7","","16.3","-17.6","2.1","","999.0","6184"
"Jorge Soler","Royals","143","616","530","131","27","1","33","84","90","70","175","9","3","1","",".246",".341",".486",".828",".347","","115","-0.4","-1.1","","11.2","-15.7","1.7","","999.0","14221"
"Franmil Reyes","Indians","150","631","557","146","25","1","37","88","98","63","168","4","1","0","",".262",".338",".509",".847",".352","","116","-1.1","0.0","","11.8","-17.5","1.6","","999.0","14566"
"Shohei Ohtani","Angels","117","499","439","114","22","2","24","68","74","51","135","3","13","5","",".260",".340",".485",".824",".345","","118","0.9","0.0","","12.2","-13.6","1.6","","999.0","19755"
"Rowdy Tellez","Blue Jays","126","525","468","121","25","1","26","69","77","45","124","6","4","2","",".259",".330",".479",".809",".338","","111","-0.6","1.3","","6.5","-9.5","1.5","","999.0","15679"
"Ji-Man Choi","Rays","107","458","389","95","21","1","17","57","57","59","113","5","3","1","",".244",".347",".435",".782",".333","","111","0.1","0.3","","6.4","-8.9","1.3","","999.0","5452"
"Nelson Cruz","","130","566","493","126","21","1","31","76","86","59","154","9","1","1","",".256",".344",".490",".834",".346","","114","-3.1","0.0","","7.3","-15.1","1.1","","999.0","2434"
"Nate Lowe","Rangers","123","506","437","113","22","1","22","63","66","58","122","5","2","1","",".259",".350",".463",".813",".343","","105","0.5","0.6","","3.6","-10.2","1.1","","999.0","19566"
"Daniel Vogelbach","Brewers","98","411","340","80","14","1","19","53","55","64","101","3","1","0","",".236",".359",".449",".808",".345","","111","-0.6","1.2","","5.1","-7.1","1.1","","999.0","14130"
"Miguel Cabrera","Tigers","144","631","557","152","26","1","23","76","83","63","137","5","2","1","",".273",".350",".449",".799",".338","","110","-4.7","-0.1","","3.1","-16.7","0.9","","999.0","1744"
"Khris Davis","Athletics","130","539","472","110","19","1","30","69","80","54","153","8","1","0","",".233",".319",".470",".789",".330","","108","-1.8","0.0","","4.0","-15.1","0.8","","999.0","9112"
"Yoshitomo Tsutsugo","Rays","65","272","230","55","10","1","13","35","36","36","74","2","1","0","",".239",".345",".454",".799",".337","","114","0.0","0.0","","4.7","-6.4","0.8","","999.0","27459"
"Tyler Stephenson","Reds","45","185","164","40","8","0","5","21","21","16","41","3","1","0","",".244",".317",".399",".715",".307","","85","0.2","0.2","","-3.6","3.9","0.6","","999.0","17988"
"Zack Collins","White Sox","33","133","111","23","5","0","5","16","15","18","41","1","1","0","",".210",".325",".386",".711",".308","","92","0.0","-0.2","","-1.3","2.6","0.5","","999.0","19181"
