"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Mike Trout","Angels","150","671","529","149","26","3","40","116","105","122","147","12","10","3","",".282",".424",".573",".996",".409","","161","2.9","-4.1","","55.2","-1.8","7.5","","999.0","10155"
"Juan Soto","Nationals","150","651","527","160","32","2","38","105","110","114","113","5","12","5","",".304",".429",".591","1.020",".417","","157","0.1","-2.5","","48.7","-10.0","5.8","","999.0","20123"
"Cody Bellinger","Dodgers","150","642","546","154","30","2","40","101","113","87","116","4","12","5","",".282",".382",".568",".950",".388","","144","1.1","0.3","","38.6","0.3","5.8","","999.0","15998"
"Mookie Betts","Dodgers","150","685","584","159","34","3","33","111","89","85","108","7","19","5","",".273",".369",".510",".879",".367","","130","4.4","11.9","","31.9","4.4","5.7","","999.0","13611"
"Ronald Acuna Jr.","Braves","150","683","578","161","28","2","43","115","100","86","174","10","28","10","",".279",".378",".553",".932",".386","","137","3.2","3.2","","37.0","-3.6","5.4","","999.0","18401"
"Christian Yelich","Brewers","150","670","559","157","29","3","35","104","97","94","158","8","18","6","",".280",".389",".531",".920",".381","","135","2.7","-1.5","","33.4","-9.0","4.5","","999.0","11477"
"Aaron Judge","Yankees","136","609","501","124","20","1","36","96","88","93","186","6","6","2","",".248",".369",".510",".879",".368","","131","0.5","5.6","","24.7","-1.9","4.3","","999.0","15640"
"George Springer","","139","639","547","148","24","3","33","98","81","74","127","8","7","3","",".270",".363",".504",".866",".364","","126","0.6","-2.3","","22.1","-2.7","4.0","","999.0","12856"
"Trent Grisham","Padres","146","639","546","139","24","5","24","90","74","78","139","6","15","5","",".254",".351",".452",".803",".341","","112","0.5","5.2","","10.7","7.7","3.8","","999.0","18564"
"Bryce Harper","Phillies","150","663","535","133","26","2","36","97","96","114","161","7","13","5","",".248",".384",".505",".889",".369","","127","-0.2","-1.4","","23.6","-9.0","3.5","","999.0","11579"
"Byron Buxton","Twins","136","531","484","129","29","3","26","74","78","34","133","5","19","5","",".266",".318",".496",".814",".338","","110","3.6","4.5","","10.1","6.8","3.5","","999.0","14161"
"Eloy Jimenez","White Sox","150","632","577","167","31","2","39","91","108","42","140","5","1","1","",".289",".340",".549",".890",".367","","132","0.8","-1.7","","26.8","-13.9","3.4","","999.0","17484"
"Luis Robert","White Sox","149","610","553","144","27","3","29","80","85","42","164","7","23","9","",".261",".319",".478",".798",".333","","110","1.2","2.3","","8.7","4.8","3.4","","999.0","20043"
"Michael Conforto","Mets","150","648","546","139","27","1","32","90","92","85","158","10","7","3","",".255",".363",".484",".847",".357","","125","0.9","-1.7","","22.2","-9.2","3.3","","999.0","16376"
"Kris Bryant","Cubs","147","658","556","141","31","2","27","91","84","79","160","15","4","2","",".254",".360",".464",".824",".350","","115","2.5","-2.9","","15.8","-3.2","3.3","","999.0","15429"
"Max Kepler","Twins","149","668","577","144","33","1","32","99","85","73","116","8","7","3","",".250",".340",".475",".815",".343","","113","1.6","4.3","","13.0","-3.0","3.3","","999.0","12144"
"Jeff McNeil","Mets","149","660","588","168","37","2","19","87","75","49","88","15","8","3","",".286",".353",".455",".808",".342","","115","0.4","-1.9","","13.6","-1.4","3.3","","999.0","15362"
"Alex Verdugo","Red Sox","144","615","550","161","37","2","17","81","72","52","102","5","8","3","",".292",".356",".457",".813",".344","","110","0.6","-0.5","","8.7","0.6","3.0","","999.0","17027"
"Aaron Hicks","Yankees","141","611","508","119","22","2","25","82","76","92","137","4","8","3","",".234",".354",".432",".785",".337","","110","2.0","-3.6","","9.9","-1.3","2.9","","999.0","5297"
"Ramon Laureano","Athletics","150","625","552","138","29","2","23","77","76","52","167","13","11","4","",".249",".325",".432",".758",".322","","103","2.1","0.5","","4.9","3.0","2.9","","999.0","17128"
"Marcell Ozuna","","150","647","568","157","26","1","35","90","104","70","138","4","5","2","",".277",".357",".514",".871",".362","","125","0.0","0.0","","21.1","-13.2","2.9","","999.0","10324"
"Brandon Nimmo","Mets","144","630","508","122","25","4","19","85","63","98","153","15","9","4","",".241",".377",".417",".794",".345","","118","1.3","-8.7","","15.9","-6.9","2.9","","999.0","12927"
"Kyle Tucker","Astros","149","618","550","141","27","6","30","85","91","54","134","6","19","8","",".256",".326",".492",".818",".339","","115","1.3","1.3","","13.0","-6.2","2.8","","999.0","18345"
"Giancarlo Stanton","Yankees","138","588","507","128","22","1","41","89","103","69","186","7","4","2","",".252",".347",".542",".890",".367","","130","-0.7","0.0","","22.1","-15.7","2.6","","999.0","4949"
"Tommy Pham","Padres","132","584","498","133","23","2","22","82","73","73","128","6","15","6","",".267",".364",".456",".820",".349","","117","0.7","0.2","","13.9","-6.6","2.6","","999.0","2967"
"Ian Happ","Cubs","149","636","541","130","25","2","29","86","80","80","185","6","9","4","",".241",".342",".457",".800",".338","","107","0.6","1.3","","6.8","-1.6","2.5","","999.0","17919"
"Joc Pederson","","122","527","454","113","22","2","29","76","73","56","117","9","4","2","",".249",".341",".503",".844",".352","","118","0.3","1.0","","12.6","-5.7","2.4","","999.0","11899"
"Rhys Hoskins","Phillies","136","595","485","113","23","1","31","84","84","94","144","10","3","2","",".233",".366",".480",".845",".357","","119","0.1","1.2","","15.4","-10.2","2.4","","999.0","16472"
"Mark Canha","Athletics","143","600","511","126","26","3","22","76","77","68","141","15","4","2","",".247",".349",".442",".792",".337","","114","-0.2","0.1","","10.3","-7.4","2.3","","999.0","11445"
"Brian Anderson","Marlins","150","647","564","140","29","2","21","74","76","62","151","14","3","1","",".248",".334",".420",".754",".323","","102","0.2","-1.5","","1.5","1.0","2.3","","999.0","18289"
"Joey Gallo","Rangers","149","634","531","112","22","1","39","85","95","90","228","6","6","3","",".210",".329",".478",".808",".337","","101","2.4","5.1","","3.0","-2.7","2.2","","999.0","14128"
"Randy Arozarena","Rays","149","627","555","144","27","2","25","81","79","49","150","14","21","9","",".258",".332",".450",".782",".331","","109","0.4","0.2","","7.7","-7.2","2.2","","999.0","19290"
"J.D. Davis","Mets","130","554","487","126","24","1","22","70","72","54","131","7","2","1","",".258",".337",".448",".785",".332","","109","-1.3","-2.6","","5.3","-0.9","2.2","","999.0","16219"
"J.D. Martinez","Red Sox","150","651","570","158","32","1","35","94","106","70","154","5","3","1","",".277",".359",".522",".880",".363","","123","-3.2","-0.7","","16.3","-17.6","2.1","","999.0","6184"
"Chris Taylor","Dodgers","149","612","536","132","31","5","18","73","71","60","172","7","8","3","",".247",".329",".422",".750",".319","","99","1.7","-1.3","","1.2","0.4","2.1","","999.0","13757"
"Starling Marte","Marlins","146","646","589","158","31","3","20","77","77","36","118","14","22","7","",".268",".323",".435",".758",".320","","100","1.9","-4.1","","1.9","-1.7","2.1","","999.0","9241"
"Kyle Schwarber","","128","547","464","111","19","2","34","78","83","72","148","5","4","2","",".239",".344",".505",".849",".352","","118","0.0","0.0","","12.9","-10.6","2.0","","999.0","16478"
"Whit Merrifield","Royals","150","691","627","177","37","4","16","93","67","47","112","7","24","7","",".283",".337",".430",".768",".326","","100","2.4","-1.7","","2.8","-6.7","2.0","","999.0","11281"
"Harrison Bader","Cardinals","128","503","437","101","19","3","17","58","57","48","148","11","11","5","",".232",".321",".406",".727",".311","","93","1.5","4.9","","-3.4","6.8","1.9","","999.0","18030"
"Michael Brantley","","139","606","544","157","34","1","19","75","80","51","76","6","5","2","",".289",".354",".458",".811",".344","","113","-0.4","-0.1","","9.6","-10.6","1.9","","999.0","4106"
"Austin Riley","Braves","145","583","524","133","25","2","31","74","85","45","154","6","2","1","",".254",".318",".483",".801",".333","","103","0.1","-3.0","","2.1","-1.5","1.9","","999.0","18360"
"Lourdes Gurriel Jr.","Blue Jays","144","612","564","153","29","1","29","79","90","34","141","7","8","4","",".271",".318",".479",".797",".333","","107","-0.3","-0.2","","5.4","-7.7","1.9","","999.0","19238"
"Kevin Kiermaier","Rays","125","503","450","105","19","5","15","55","56","40","123","6","16","6","",".233",".302",".396",".698",".296","","86","2.3","5.4","","-6.8","7.5","1.8","","999.0","11038"
"Bryan Reynolds","Pirates","138","596","529","141","27","3","18","72","68","54","141","5","6","3","",".266",".338",".433",".771",".328","","102","0.0","-5.7","","1.8","-3.5","1.7","","999.0","19326"
"Lorenzo Cain","Brewers","139","619","544","143","26","1","13","75","57","59","112","7","17","5","",".263",".341",".388",".728",".315","","91","0.8","1.7","","-6.2","3.5","1.7","","999.0","9077"
"Dylan Carlson","Cardinals","133","526","467","117","24","4","17","62","62","45","119","5","11","5","",".251",".322",".430",".751",".318","","97","0.1","7.1","","-1.7","2.0","1.7","","999.0","20126"
"Andrew Benintendi","Red Sox","136","594","512","132","32","3","17","79","65","68","128","6","12","5","",".257",".348",".427",".774",".332","","102","1.1","-0.6","","2.6","-6.4","1.7","","999.0","17901"
"Jorge Soler","Royals","143","616","530","131","27","1","33","84","90","70","175","9","3","1","",".246",".341",".486",".828",".347","","115","-0.4","-1.1","","11.2","-15.7","1.7","","999.0","14221"
