"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Fernando Tatis Jr.","Padres","150","677","593","170","28","6","39","110","100","65","161","9","26","10","",".286",".363",".551",".914",".378","","136","2.0","-1.4","","34.3","6.1","6.1","","999.0","19709"
"Corey Seager","Dodgers","150","645","572","170","38","2","31","95","98","59","111","6","3","1","",".297",".366",".533",".899",".374","","135","1.1","-3.1","","30.7","4.4","5.4","","999.0","13624"
"Francisco Lindor","Indians","150","682","603","167","36","1","33","104","93","62","101","7","19","6","",".277",".349",".507",".856",".355","","118","0.4","6.1","","16.1","13.3","5.2","","999.0","12916"
"Manny Machado","Padres","150","661","583","160","29","3","36","95","105","68","115","5","9","4","",".274",".352",".519",".870",".359","","124","-0.9","3.3","","19.8","5.8","4.6","","999.0","11493"
"Bo Bichette","Blue Jays","149","673","613","173","39","3","25","98","82","46","133","5","24","9","",".282",".335",".477",".812",".340","","112","0.7","0.1","","11.2","7.5","4.1","","999.0","19612"
"Xander Bogaerts","Red Sox","150","649","570","159","35","1","27","89","94","68","118","5","8","3","",".280",".359",".485",".844",".354","","117","1.6","-3.9","","15.9","3.6","4.1","","999.0","12161"
"Carlos Correa","Astros","150","622","545","144","29","2","27","80","87","65","140","6","2","1","",".263",".345",".472",".816",".343","","117","0.6","-2.4","","14.5","5.1","4.0","","999.0","14162"
"Trea Turner","Nationals","150","688","612","175","35","5","23","101","77","60","124","6","34","9","",".286",".353",".472",".825",".348","","112","4.8","-4.2","","15.5","3.3","4.0","","999.0","16252"
"Trevor Story","Rockies","150","672","597","165","35","5","35","103","98","60","171","7","25","9","",".276",".347",".529",".875",".363","","109","2.4","-0.9","","10.5","6.6","3.8","","999.0","12564"
"Gleyber Torres","Yankees","149","625","548","148","26","1","32","86","95","64","121","6","6","3","",".270",".350",".498",".847",".354","","122","-0.3","-8.0","","17.3","-0.5","3.8","","999.0","16997"
"Ketel Marte","Diamondbacks","149","666","594","170","36","6","21","90","79","56","89","7","7","3","",".287",".353",".475",".828",".348","","114","0.8","-1.9","","12.7","0.9","3.4","","999.0","13613"
"Paul DeJong","Cardinals","150","644","570","142","29","1","28","80","87","56","157","11","6","3","",".249",".326",".455",".780",".329","","105","0.4","0.9","","4.4","8.4","3.3","","999.0","18015"
"Marcus Semien","","150","687","599","151","31","3","24","94","74","74","121","3","11","4","",".253",".336",".436",".773",".329","","103","1.6","-4.1","","4.0","3.4","3.0","","999.0","12533"
"Adalberto Mondesi","Royals","149","646","599","154","30","7","21","84","79","35","174","4","54","16","",".257",".300",".439",".739",".309","","89","5.4","3.4","","-3.3","10.8","3.0","","999.0","13769"
"Andrelton Simmons","","141","590","536","149","30","2","11","66","63","41","58","5","9","3","",".278",".334",".401",".734",".315","","94","-0.6","7.3","","-5.5","14.3","2.8","","999.0","10847"
"Jorge Polanco","Twins","150","670","600","164","35","4","19","90","78","56","111","5","9","4","",".273",".338",".438",".776",".329","","104","0.9","-6.5","","4.3","-0.2","2.7","","999.0","13152"
"J.P. Crawford","Mariners","150","671","579","139","27","4","14","79","59","73","136","9","12","5","",".239",".331",".375",".706",".307","","94","0.6","-0.7","","-4.7","6.8","2.5","","999.0","15491"
"Willy Adames","Rays","131","526","465","116","22","2","18","60","62","50","142","4","6","3","",".249",".325",".417",".742",".316","","99","1.3","-1.2","","0.8","5.4","2.4","","999.0","15986"
"Tim Anderson","White Sox","150","664","620","172","34","2","23","86","80","29","147","5","17","6","",".277",".312",".449",".761",".320","","100","1.3","-8.8","","1.6","-1.3","2.3","","999.0","15172"
"Didi Gregorius","","134","566","515","134","24","4","21","67","75","38","79","7","7","3","",".261",".318",".447",".765",".320","","97","1.3","-1.5","","-1.0","5.2","2.3","","999.0","6012"
"Javier Baez","Cubs","150","646","601","154","32","3","30","80","96","32","180","6","12","5","",".256",".298",".471",".769",".318","","95","1.5","-2.6","","-3.2","4.9","2.2","","999.0","12979"
"Willi Castro","Tigers","136","568","519","140","24","5","15","66","64","34","127","7","9","4","",".269",".320",".425",".745",".316","","94","0.1","2.6","","-3.9","5.3","2.1","","999.0","17338"
"Chris Taylor","Dodgers","149","612","536","132","31","5","18","73","71","60","172","7","8","3","",".247",".329",".422",".750",".319","","99","1.7","-1.3","","1.2","0.4","2.1","","999.0","13757"
"Jean Segura","Phillies","147","638","582","163","30","3","16","76","73","43","93","6","10","4","",".281",".334",".428",".762",".323","","97","1.0","-6.0","","-1.3","1.1","2.0","","999.0","5933"
"Jose Iglesias","Angels","130","539","502","138","30","2","10","58","60","23","71","7","7","3","",".274",".313",".400",".713",".303","","89","0.7","1.6","","-6.7","8.1","2.0","","999.0","10231"
"Dansby Swanson","Braves","150","646","568","140","30","2","20","79","72","62","155","6","10","4","",".246",".325",".412",".737",".314","","90","2.5","-3.0","","-5.9","4.5","1.9","","999.0","18314"
