"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Max Muncy","Dodgers","146","669","558","136","25","2","34","98","94","98","167","3","1",".243",".362",".477",".839",".360","93.7","13301"
"Gleyber Torres","Yankees","149","648","573","157","29","2","31","90","88","63","134","6","2",".274",".349",".490",".839",".356","71.9","16997"
"Jose Altuve","Astros","154","668","598","172","31","3","23","94","85","56","108","13","5",".287",".353",".465",".818",".351","100.3","5417"
"Ketel Marte","Diamondbacks","149","671","607","176","35","6","21","92","84","53","88","8","3",".290",".350",".472",".822",".351","81.4","13613"
"DJ LeMahieu","Yankees","151","655","591","176","27","3","20","90","77","54","93","5","2",".298",".358",".454",".813",".351","28.4","9874"
"Brandon Lowe","Rays","133","570","501","125","27","3","27","76","80","58","157","6","2",".250",".334",".478",".812",".346","72.5","18882"
"Ozzie Albies","Braves","151","683","622","175","37","6","25","95","90","49","121","17","4",".281",".337",".479",".816",".346","31.3","16556"
"Jeff McNeil","Mets","151","687","615","174","36","4","19","89","82","51","92","8","3",".283",".351",".445",".796",".343","86.0","15362"
"Keston Hiura","Brewers","147","666","599","155","31","3","31","89","91","48","194","12","4",".259",".327",".474",".801",".340","66.9","20003"
"Yoan Moncada","White Sox","147","633","557","142","27","4","25","86","77","66","181","10","3",".255",".338",".452",".790",".339","86.4","17232"
"Cavan Biggio","Blue Jays","143","617","520","123","27","3","22","84","70","86","158","10","4",".236",".348",".423",".771",".337","62.0","19252"
"Wilmer Flores","Giants","71","322","294","80","15","1","13","39","44","21","45","1","0",".273",".325",".459",".784",".334","313.7","5827"
"Brad Miller","","83","357","308","72","14","2","15","47","45","42","101","3","1",".235",".330",".442",".772",".332","593.5","12775"
"Luis Arraez","Twins","122","522","474","143","29","3","4","62","52","41","51","3","1",".302",".358",".401",".759",".331","365.3","18568"
"Derek Dietrich","","60","259","223","52","10","1","11","33","32","22","68","1","1",".231",".332",".429",".761",".330","999.0","10542"
"Mike Brosseau","Rays","39","167","150","38","8","1","6","21","21","12","41","2","1",".256",".325",".444",".769",".330","435.4","19683"
"Whit Merrifield","Royals","156","657","604","170","35","5","16","83","74","42","103","23","7",".282",".333",".434",".767",".330","41.0","11281"
"Cesar Hernandez","Indians","131","560","498","138","23","4","10","69","55","53","103","6","2",".277",".350",".404",".754",".330","370.2","10556"
"Jonathan Schoop","","113","490","450","116","21","1","23","62","67","27","117","2","1",".257",".310",".461",".771",".329","420.4","11265"
"Tommy La Stella","","105","475","419","113","23","2","10","57","52","45","46","1","0",".269",".343",".410",".753",".328","317.8","12371"
"Ty France","Mariners","107","452","402","101","20","1","16","52","54","32","96","2","1",".252",".328",".428",".756",".327","333.2","17982"
"Asdrubal Cabrera","","84","364","320","80","17","1","13","44","46","34","77","1","0",".251",".325",".434",".759",".327","518.7","4962"
"Javier Baez","Cubs","154","702","653","170","32","4","32","92","98","35","195","15","5",".260",".302",".468",".770",".324","74.1","12979"
"Starlin Castro","Nationals","118","540","500","138","24","1","18","65","71","31","97","2","1",".275",".319",".439",".758",".323","333.6","4579"
"Ryan McMahon","Rockies","131","585","524","128","28","3","23","72","74","53","178","3","1",".243",".317",".436",".753",".323","244.1","15112"
"Kolten Wong","","126","546","473","122","22","4","10","69","48","51","88","15","5",".258",".345",".384",".729",".321","413.6","12532"
"Adam Frazier","Pirates","110","490","441","119","24","3","10","57","51","38","69","7","3",".269",".333",".404",".737",".320","485.5","15223"
"Jean Segura","Phillies","144","655","596","165","27","3","16","82","72","41","100","14","4",".277",".329",".411",".740",".320","189.0","5933"
"Gavin Lux","Dodgers","112","513","463","116","24","3","15","67","58","45","120","8","2",".252",".319",".416",".735",".317","247.7","19955"
"Brian Dozier","","52","224","194","42","9","1","9","28","27","26","54","2","1",".219",".317",".414",".731",".317","999.0","9810"
"David Fletcher","Angels","151","652","592","165","31","3","9","78","62","50","68","8","3",".279",".338",".385",".723",".317","226.5","17992"
"Brendan Rodgers","Rockies","130","578","532","140","32","3","16","66","69","33","132","4","1",".263",".314",".424",".738",".316","497.8","17907"
"Jurickson Profar","Padres","105","479","426","104","22","2","15","58","55","42","73","8","3",".245",".321",".408",".729",".316","233.9","10815"
"Christian Arroyo","Red Sox","65","279","254","65","14","1","9","34","32","19","62","2","1",".254",".313",".416",".729",".313","598.4","16434"
"Josh VanMeter","Diamondbacks","45","204","183","44","11","1","6","26","23","19","44","4","1",".239",".312",".411",".722",".312","600.3","15170"
