"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"J.T. Realmuto","Phillies","149","628","565","153","28","3","28","88","88","48","136","9","3",".271",".335",".484",".820",".348","33.4","11739"
"Yasmani Grandal","White Sox","138","549","460","107","19","1","27","74","74","81","138","2","1",".233",".350",".452",".802",".347","125.2","11368"
"Will Smith","Dodgers","99","414","360","88","18","1","21","57","59","43","99","2","1",".243",".333",".474",".807",".343","94.2","19197"
"Willson Contreras","Cubs","117","490","427","109","21","2","19","64","60","46","119","3","1",".256",".343",".446",".789",".340","122.5","11609"
"Salvador Perez","Royals","131","515","477","124","23","1","29","61","83","24","107","1","0",".259",".303",".497",".799",".336","75.1","7304"
"Alejandro Kirk","Blue Jays","60","249","220","58","12","0","8","31","30","24","35","1","0",".266",".345",".431",".776",".335","999.0","22581"
"Travis d'Arnaud","Braves","113","470","423","111","21","1","19","60","63","38","104","2","0",".261",".326",".454",".780",".333","135.0","7739"
"Gary Sanchez","Yankees","100","400","352","78","14","0","24","53","58","39","117","1","0",".223",".310",".466",".776",".330","166.4","11442"
"Mitch Garver","Twins","76","300","264","61","13","1","14","38","39","30","87","0","0",".230",".314",".439",".753",".324","196.3","15161"
"Kurt Suzuki","Angels","66","263","233","59","11","0","9","31","33","18","37","1","0",".253",".319",".426",".745",".321","439.7","8259"
"Keibert Ruiz","Dodgers","8","34","31","9","2","0","1","4","4","2","3","0","0",".275",".327",".413",".740",".319","591.0","19610"
"Daulton Varsho","Diamondbacks","97","435","392","97","20","4","14","57","49","34","92","9","2",".247",".315",".424",".739",".318","147.0","19918"
"Buster Posey","Giants","120","502","443","120","21","1","9","56","53","46","75","2","1",".270",".342",".384",".726",".317","251.8","9166"
"Alex Avila","Nationals","75","314","261","54","10","0","12","38","37","47","110","1","0",".209",".333",".383",".717",".315","599.7","7476"
"Danny Jansen","Blue Jays","99","390","341","79","16","1","14","47","45","38","80","2","1",".231",".319",".407",".726",".315","297.5","16535"
"Christian Vazquez","Red Sox","117","462","420","109","20","1","14","57","52","32","93","6","2",".259",".316",".416",".732",".315","149.9","9774"
"Austin Nola","Padres","107","447","399","101","20","1","12","51","52","38","86","2","1",".252",".323",".402",".726",".315","159.8","15941"
"Omar Narvaez","Brewers","76","317","277","68","10","1","9","35","35","34","68","0","0",".244",".330",".384",".714",".313","361.6","13338"
"Chance Sisco","Orioles","76","295","255","58","12","0","10","33","31","30","89","0","0",".226",".323",".389",".712",".313","517.5","15694"
"Carson Kelly","Diamondbacks","97","400","354","84","18","1","14","45","50","38","87","0","0",".238",".317",".412",".729",".312","251.2","13620"
"Ryan Jeffers","Twins","81","318","288","70","14","1","11","37","38","24","82","0","0",".242",".309",".412",".721",".311","999.0","24618"
"Tyler Stephenson","Reds","50","207","186","45","10","0","6","24","23","17","50","0","0",".244",".315",".403",".718",".311","391.3","17988"
"Wilson Ramos","Tigers","79","313","283","74","11","0","8","32","36","23","52","0","0",".260",".318",".392",".710",".308","358.9","1433"
"Robinson Chirinos","","62","243","206","43","9","1","9","29","27","25","74","1","0",".208",".315",".382",".696",".307","999.0","3142"
"Tyler Flowers","","53","211","180","39","7","0","7","25","23","21","72","0","0",".215",".319",".374",".693",".307","600.7","9134"
"Yan Gomes","Nationals","81","338","305","73","15","1","12","38","43","24","82","1","0",".239",".303",".410",".713",".306","329.8","9627"
"Tucker Barnhart","Reds","104","429","379","89","16","1","13","49","46","43","95","1","1",".236",".317",".386",".703",".305","499.1","10200"
"Pedro Severino","Orioles","66","257","231","55","9","1","9","28","27","20","56","1","0",".239",".306",".399",".705",".305","334.8","14523"
"Samuel Huff","Rangers","3","13","12","3","1","0","1","1","2","1","4","0","0",".230",".289",".433",".721",".305","999.0","22209"
"Kevin Plawecki","Red Sox","45","178","160","39","8","0","5","21","18","14","34","1","0",".245",".314",".386",".700",".305","573.3","13807"
"Sean Murphy","Athletics","110","428","377","84","17","1","15","48","47","43","106","1","0",".224",".308",".393",".701",".305","159.8","19352"
"Yadier Molina","","112","446","401","103","20","1","12","50","51","25","74","4","1",".256",".306",".399",".705",".305","290.2","7007"
"Adley Rutschman","","26","99","89","21","4","0","3","11","11","8","24","0","0",".236",".306",".400",".706",".305","999.0","sa3011643"
"Max Stassi","Angels","86","340","301","67","12","1","13","40","40","31","90","0","0",".222",".304",".395",".699",".304","376.0","10059"
"James McCann","Mets","110","459","417","99","16","1","16","54","54","32","131","3","1",".237",".299",".400",".699",".302","175.2","12859"
"Curt Casali","Giants","45","190","168","38","7","0","6","21","22","18","51","1","0",".226",".309",".382",".691",".301","581.1","12510"
"Francisco Mejia","Rays","57","223","204","49","11","1","7","24","27","14","50","1","0",".241",".296",".406",".702",".301","459.4","16403"
"Isiah Kiner-Falefa","Rangers","141","596","538","139","24","3","9","66","51","41","97","12","5",".258",".320",".365",".685",".301","293.7","16512"
"Elias Diaz","Rockies","92","377","347","89","18","1","8","40","40","24","69","1","0",".258",".309",".384",".692",".301","490.5","11680"
"William Contreras","Braves","16","67","62","16","3","0","2","7","8","4","16","0","0",".252",".306",".389",".695",".300","999.0","20503"
"Cal Raleigh","Mariners","11","44","40","9","2","0","2","5","6","3","12","0","0",".220",".285",".422",".706",".300","999.0","sa3008377"
"Zack Collins","White Sox","36","140","119","24","5","0","5","16","16","19","47","0","0",".198",".313",".365",".678",".300","999.0","19181"
"Willians Astudillo","Twins","6","26","24","6","1","0","1","3","3","1","2","0","0",".265",".302",".396",".697",".300","593.5","15608"
"Welington Castillo","Nationals","11","48","43","10","2","0","2","5","6","3","14","0","0",".231",".290",".406",".696",".300","999.0","3256"
"Andrew Knapp","Phillies","44","184","160","36","8","1","4","21","18","20","53","1","0",".226",".317",".364",".680",".300","577.6","14942"
"Jonathan Lucroy","","26","102","90","22","4","0","2","11","10","9","17","0","0",".245",".316",".363",".680",".299","999.0","7870"
"Manny Pina","Brewers","45","189","171","40","8","0","6","20","22","13","46","1","0",".233",".300",".392",".691",".299","593.6","2829"
"Stephen Vogt","Diamondbacks","63","263","238","55","12","2","8","30","30","21","57","2","1",".232",".295",".398",".693",".298","590.8","5000"
"Austin Barnes","Dodgers","55","231","202","46","9","1","6","28","22","23","54","3","1",".227",".316",".359",".676",".298","544.4","12158"
"Tom Murphy","Mariners","65","255","233","49","10","1","12","28","34","18","89","1","0",".213",".275",".421",".696",".297","325.9","13499"
"Victor Caratini","Padres","62","260","232","55","12","0","5","28","27","22","56","1","0",".239",".313",".362",".675",".296","474.8","14968"
"Jason Castro","Astros","76","302","262","54","12","1","10","35","35","34","101","1","0",".206",".301",".375",".676",".296","532.4","8722"
"Andrew Knizner","Cardinals","110","454","414","102","20","1","11","48","48","30","80","2","1",".246",".306",".375",".681",".296","517.9","19514"
"Dom Nunez","Rockies","57","231","205","44","9","1","7","25","26","23","64","2","1",".215",".298",".379",".677",".294","598.1","15055"
"Patrick Mazeika","Mets","5","21","19","4","1","0","1","2","2","2","4","0","0",".227",".301",".371",".672",".294","999.0","sa827167"
"Luis Torrens","Mariners","97","376","342","82","18","1","9","38","39","28","76","1","0",".240",".301",".376",".677",".294","492.8","15905"
"Jorge Alfaro","Marlins","81","331","304","72","13","1","10","36","37","17","113","3","1",".236",".292",".387",".680",".293","248.0","12180"
"Connor Wong","Red Sox","8","32","29","7","1","0","1","4","4","2","11","0","0",".225",".280",".402",".682",".293","999.0","sa873978"
"David Freitas","Brewers","3","14","12","3","1","0","0","1","1","1","3","0","0",".243",".312",".354",".666",".293","999.0","10619"
"Matt Wieters","","37","147","130","29","5","0","5","16","17","13","37","1","0",".220",".293",".376",".669",".291","999.0","4298"
"Martin Maldonado","Astros","78","308","270","57","10","0","10","34","34","26","84","1","0",".213",".297",".362",".659",".290","484.2","6887"
"Kyle Higashioka","Yankees","62","245","225","49","10","0","11","27","32","16","64","0","0",".216",".271",".410",".681",".290","486.4","5517"
"Kevan Smith","","13","51","46","11","2","0","1","5","5","4","10","0","0",".243",".306",".350",".656",".289","999.0","12284"
"Tres Barrera","Nationals","2","6","6","1","0","0","0","1","1","0","1","0","0",".234",".296",".367",".663",".289","999.0","19977"
"Deivy Grullon","Reds","6","27","25","6","1","0","1","3","3","2","9","0","0",".223",".280",".388",".667",".288","598.5","15988"
"Mike Zunino","Rays","92","363","324","63","12","0","17","39","48","29","132","0","0",".195",".274",".390",".664",".288","539.8","13265"
"Josh Phegley","","16","64","58","13","3","0","2","7","7","4","15","0","0",".222",".284",".379",".663",".287","999.0","9308"
"Chad Tromp","Giants","3","14","12","3","1","0","0","1","2","1","3","0","0",".226",".285",".375",".660",".286","999.0","16953"
"Joey Bart","Giants","19","80","75","17","3","0","2","9","9","4","22","0","0",".231",".281",".380",".662",".285","415.6","21524"
"Jake Rogers","Tigers","31","121","107","22","5","1","4","12","13","11","38","1","0",".203",".285",".368",".653",".285","600.7","19452"
"Jacob Stallings","Pirates","99","401","363","85","18","0","9","37","42","29","94","1","0",".233",".295",".360",".655",".285","396.5","13723"
"Jacob Nottingham","Brewers","53","229","206","43","9","0","8","24","26","16","74","2","1",".209",".281",".375",".656",".285","596.9","16448"
"Andrew Susac","Pirates","6","27","24","5","1","0","1","3","3","3","8","0","0",".203",".293",".352",".644",".284","999.0","13132"
"Jose Briceno","Rockies","13","53","49","11","2","0","2","6","6","3","13","1","0",".226",".271",".392",".662",".283","999.0","13151"
"Alex Jackson","Braves","37","156","142","29","6","0","6","17","20","10","59","0","0",".203",".272",".386",".658",".283","599.8","17276"
"Chris Herrmann","","16","64","56","11","2","0","2","7","6","7","20","0","0",".200",".296",".337",".632",".281","999.0","9284"
"P.J. Higgins","","5","20","18","4","1","0","0","2","2","2","4","0","0",".231",".299",".336",".635",".281","999.0","sa875573"
"Cam Gallagher","Royals","37","144","130","30","6","0","3","13","14","11","28","0","0",".228",".292",".347",".639",".280","593.1","12981"
"Roberto Perez","Indians","96","373","324","66","11","1","11","39","35","38","119","1","0",".203",".291",".342",".633",".279","468.9","2900"
"Bryan Holaday","Diamondbacks","5","20","18","4","1","0","0","2","2","1","4","0","0",".229",".294",".348",".642",".279","999.0","11287"
"Austin Allen","Athletics","11","44","41","9","2","0","1","4","5","3","12","0","0",".222",".279",".367",".647",".279","600.6","18083"
"Austin Hedges","Indians","50","195","176","36","7","0","8","20","23","14","58","1","0",".204",".271",".378",".648",".279","593.5","12976"
"Tyler Heineman","","52","214","193","44","9","1","4","21","20","16","36","1","1",".227",".292",".343",".635",".279","999.0","13897"
"Grayson Greiner","Tigers","49","191","173","37","7","1","6","19","20","14","56","0","0",".212",".277",".361",".638",".278","599.0","17062"
"Christian Bethancourt","","2","6","6","1","0","0","0","1","1","0","2","0","0",".229",".267",".384",".651",".278","999.0","10028"
"Reese McGuire","Blue Jays","37","147","133","30","6","0","3","16","14","11","31","1","0",".224",".287",".350",".637",".278","601.0","15674"
"Rene Rivera","","24","96","87","18","3","0","3","10","11","6","31","0","0",".209",".272",".366",".638",".277","999.0","3648"
"Beau Taylor","Indians","16","63","55","11","2","0","1","6","5","7","19","0","0",".205",".301",".316",".616",".277","999.0","12384"
"Garrett Stubbs","Astros","8","32","29","6","1","0","0","3","3","3","6","0","0",".220",".294",".332",".626",".277","999.0","18067"
"Dustin Garneau","","6","26","23","5","1","0","1","2","3","2","7","0","0",".199",".276",".351",".627",".275","999.0","9433"
"Michael Perez","Pirates","53","217","195","42","10","0","5","20","22","18","58","0","0",".212",".283",".342",".625",".275","999.0","12977"
"Ali Sanchez","Mets","3","14","13","3","1","0","0","1","1","1","3","0","0",".240",".291",".338",".629",".274","999.0","18551"
"Meibrys Viloria","Royals","13","50","45","10","2","0","1","5","4","4","13","0","0",".227",".289",".328",".617",".273","999.0","17109"
"Seby Zavala","White Sox","5","19","17","4","1","0","1","2","2","1","7","0","0",".204",".267",".362",".629",".273","999.0","18887"
"Tony Wolters","","53","211","186","41","8","1","2","20","16","19","48","1","0",".220",".302",".306",".608",".272","999.0","11470"
"Aramis Garcia","Rangers","40","157","144","30","6","0","5","15","17","10","53","0","0",".210",".267",".359",".626",".272","999.0","16925"
"Jose Trevino","Rangers","110","429","400","92","18","0","11","39","44","22","77","0","0",".230",".272",".357",".629",".271","505.8","16725"
"Chad Wallach","Marlins","66","271","242","50","11","0","6","25","26","22","79","0","0",".207",".282",".332",".614",".271","600.7","17161"
"Austin Romine","Cubs","50","209","193","43","8","0","5","20","21","11","57","1","0",".224",".270",".347",".617",".268","551.2","5491"
"Austin Wynns","","3","13","11","3","0","0","0","1","1","1","3","0","0",".222",".284",".322",".606",".268","999.0","15271"
"Jonah Heim","Athletics","40","158","144","31","7","0","3","14","14","11","30","0","0",".218",".279",".332",".611",".268","598.6","16930"
"Anthony Bemboom","Angels","10","38","34","7","1","0","1","4","4","3","10","0","0",".204",".275",".333",".609",".267","999.0","13854"
"Sandy Leon","Marlins","15","60","53","11","2","0","1","6","5","5","16","0","0",".202",".277",".323",".600",".266","999.0","5273"
"Drew Butera","","16","63","56","12","2","0","1","6","5","5","16","0","0",".208",".276",".325",".602",".265","999.0","3411"
"Tomas Nido","Mets","47","196","183","41","8","0","5","19","21","10","48","0","0",".222",".266",".345",".611",".264","999.0","13755"
"Jeff Mathis","","24","96","86","17","3","0","2","10","9","7","32","1","0",".199",".264",".330",".594",".261","999.0","3448"
"Luke Maile","Brewers","16","67","61","12","3","0","1","6","6","5","18","0","0",".204",".269",".320",".589",".261","999.0","13355"
"Caleb Joseph","","16","64","59","12","2","0","1","6","6","4","18","0","0",".212",".264",".325",".589",".259","999.0","7087"
"Joe Hudson","","3","13","12","2","1","0","0","1","1","1","4","0","0",".194",".264",".317",".580",".256","999.0","14412"
