"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Mike Trout","Angels","157","680","542","159","29","3","47","120","116","120","144","11","4",".294",".430",".617","1.047",".432","5.8","10155"
"Juan Soto","Nationals","154","703","575","174","35","3","39","115","112","119","122","12","5",".302",".422",".577",".999",".416","4.0","20123"
"Christian Yelich","Brewers","157","710","602","174","32","3","38","112","104","95","162","19","6",".288",".389",".538",".928",".391","11.5","11477"
"Bryce Harper","Phillies","157","714","584","158","33","2","39","111","110","118","160","14","5",".270",".395",".533",".929",".390","20.9","11579"
"Mookie Betts","Dodgers","157","721","623","183","39","4","36","116","104","85","102","20","5",".294",".380",".540",".920",".387","3.0","13611"
"Ronald Acuna Jr.","Braves","156","705","606","171","32","3","40","118","105","86","182","31","8",".282",".377",".542",".918",".387","1.8","18401"
"Cody Bellinger","Dodgers","151","691","594","166","35","3","40","110","109","88","130","15","4",".280",".373",".555",".928",".386","15.9","15998"
"Aaron Judge","Yankees","136","592","497","128","22","1","36","92","88","84","179","4","2",".257",".370",".523",".893",".378","57.4","15640"
"George Springer","Blue Jays","146","631","543","148","24","2","34","96","90","73","123","5","2",".272",".366",".510",".876",".374","53.0","12856"
"J.D. Martinez","Red Sox","149","642","564","158","32","2","32","90","94","68","149","2","1",".280",".358",".512",".870",".366","93.1","6184"
"Marcell Ozuna","","151","651","572","155","25","2","36","93","97","71","143","4","2",".271",".353",".509",".861",".365","47.2","10324"
"Giancarlo Stanton","Yankees","138","599","518","131","22","1","38","89","92","69","172","3","1",".253",".347",".518",".865",".364","115.8","4949"
"Charlie Blackmon","Rockies","136","607","546","159","30","6","24","83","84","47","108","6","2",".292",".356",".503",".858",".363","83.8","7859"
"Jesse Winker","Reds","115","520","448","122","23","1","23","73","69","61","100","2","1",".271",".365",".482",".847",".363","208.3","13590"
"Rhys Hoskins","Phillies","141","640","533","129","27","2","33","91","92","91","148","3","1",".242",".361",".485",".846",".362","162.9","16472"
"Eloy Jimenez","White Sox","151","647","592","167","33","2","35","88","103","46","149","1","0",".283",".337",".524",".861",".362","33.9","17484"
"Michael Conforto","Mets","151","687","589","153","31","2","32","97","94","82","159","6","2",".260",".360",".479",".839",".359","73.2","16376"
"Kyle Schwarber","Nationals","123","563","484","119","22","2","34","80","89","69","150","4","1",".245",".344",".507",".851",".358","194.3","16478"
"Kris Bryant","Cubs","146","665","566","147","30","3","28","90","87","76","155","4","1",".260",".361",".470",".831",".358","130.8","15429"
"Nicholas Castellanos","Reds","146","660","598","164","39","4","31","93","95","50","158","3","1",".274",".335",".509",".843",".356","84.5","11737"
"Joey Gallo","Rangers","149","630","530","115","24","2","40","88","98","89","220","6","2",".218",".336",".497",".833",".351","156.2","14128"
"Jorge Soler","Royals","143","603","523","129","25","1","32","78","90","66","170","2","1",".247",".339",".483",".822",".351","140.6","14221"
"Brandon Nimmo","Mets","143","650","543","136","27","4","20","91","70","90","151","7","3",".251",".369",".427",".796",".349","252.0","12927"
"Tommy Pham","Padres","126","574","496","132","24","3","19","81","67","68","123","17","4",".267",".360",".442",".803",".348","128.0","2967"
"Andrew McCutchen","Phillies","139","633","545","140","27","2","25","87","81","76","131","8","3",".257",".352",".453",".805",".348","192.4","9847"
"Max Kepler","Twins","146","627","547","137","31","3","28","86","81","68","107","5","2",".250",".339",".474",".813",".347","181.7","12144"
"Eddie Rosario","","128","546","506","141","26","2","27","70","83","33","83","5","2",".278",".322",".502",".823",".345","117.6","12155"
"A.J. Pollock","Dodgers","133","609","551","144","29","2","31","88","88","44","133","12","3",".262",".324",".492",".816",".344","190.5","9256"
"Aaron Hicks","Yankees","141","613","519","126","24","2","25","85","72","85","127","6","2",".243",".351",".441",".792",".343","292.5","5297"
"Jeff McNeil","Mets","151","687","615","174","36","4","19","89","82","51","92","8","3",".283",".351",".445",".796",".343","86.0","15362"
"Trey Mancini","Orioles","123","517","464","124","21","2","22","66","65","44","117","1","0",".267",".335",".465",".800",".342","167.8","15149"
"Franmil Reyes","Indians","152","649","577","147","28","1","33","83","96","63","175","0","0",".255",".329",".479",".808",".342","159.2","14566"
"Mark Canha","Athletics","141","600","510","125","26","2","23","77","69","68","133","4","1",".245",".349",".440",".788",".342","257.6","11445"
"Austin Meadows","Rays","117","501","444","113","25","3","22","67","68","47","118","10","3",".255",".331",".474",".805",".342","98.5","15672"
"Mitch Haniger","Mariners","136","576","502","124","24","2","26","74","72","60","140","5","2",".247",".337",".456",".793",".341","262.5","14274"
"Alex Verdugo","Red Sox","138","593","535","150","36","2","16","77","68","50","95","6","2",".280",".345",".443",".788",".339","132.2","17027"
"Kole Calhoun","Diamondbacks","139","627","546","134","25","3","28","83","84","69","137","4","1",".246",".336",".456",".792",".339","258.9","11200"
"Joc Pederson","","120","546","472","110","23","2","27","72","77","60","128","3","1",".234",".331",".462",".792",".339","366.9","11899"
"Alex Dickerson","Giants","110","497","442","116","28","3","17","64","63","44","95","2","1",".262",".337",".458",".795",".339","332.9","12649"
"Randy Arozarena","Rays","146","626","555","144","30","3","23","85","75","51","150","20","6",".259",".337",".448",".785",".338","57.1","19290"
"J.D. Davis","Mets","133","606","536","140","28","1","22","78","77","58","142","2","1",".261",".339",".442",".781",".336","221.2","16219"
"Bryan Reynolds","Pirates","139","619","555","149","32","4","19","76","76","54","145","5","1",".268",".337",".443",".780",".336","309.2","19326"
"Wil Myers","Padres","144","655","582","143","30","2","31","91","88","64","189","17","4",".245",".324",".462",".785",".335","127.1","10047"
"Ian Happ","Cubs","139","635","550","133","27","3","26","84","80","75","182","8","3",".241",".336",".443",".779",".335","159.7","17919"
"Trent Grisham","Padres","144","655","566","138","29","5","23","88","77","78","156","13","4",".245",".340",".434",".774",".335","65.9","18564"
"Yasiel Puig","","83","357","318","81","14","2","15","49","44","32","76","10","3",".256",".329",".451",".781",".335","260.5","14225"
"Michael Brantley","Astros","139","604","542","151","32","2","16","76","73","52","77","4","1",".279",".344",".432",".776",".335","154.3","4106"
"Teoscar Hernandez","Blue Jays","143","617","553","132","26","3","34","86","90","54","185","9","3",".239",".310",".481",".791",".334","73.3","13066"
"Dominic Smith","Mets","133","606","547","142","32","1","24","77","81","48","138","3","1",".260",".325",".457",".782",".334","101.7","15653"
"Hunter Renfroe","Red Sox","110","474","427","101","21","1","28","64","71","39","131","3","1",".236",".304",".488",".792",".333","414.4","15464"
"Brian Anderson","Marlins","154","687","606","155","31","2","25","83","84","62","159","4","1",".255",".336",".436",".772",".333","230.8","18289"
"Chris Taylor","Dodgers","144","661","586","151","32","5","22","91","77","62","176","10","3",".258",".333",".441",".774",".333","211.2","13757"
"Ramon Laureano","Athletics","149","634","559","138","29","4","23","83","70","56","166","12","3",".247",".328",".438",".766",".331","149.5","17128"
"Anthony Santander","Orioles","146","613","561","145","34","2","27","75","79","40","118","4","2",".258",".313",".469",".783",".331","160.0","14551"
"Justin Upton","Angels","136","589","516","121","21","1","29","78","79","62","168","4","1",".234",".323",".447",".770",".331","400.2","5222"
"Derek Dietrich","","60","259","223","52","10","1","11","33","32","22","68","1","1",".231",".332",".429",".761",".330","999.0","10542"
"Randal Grichuk","Blue Jays","89","385","353","87","19","2","20","51","55","26","94","2","1",".246",".303",".481",".783",".330","195.4","10243"
"David Peralta","Diamondbacks","133","598","541","147","27","5","17","75","71","47","118","2","1",".271",".334",".435",".769",".330","274.9","2136"
"Kyle Tucker","Astros","149","647","579","146","33","4","26","91","83","55","146","20","5",".251",".320",".459",".779",".330","30.8","18345"
"Whit Merrifield","Royals","156","657","604","170","35","5","16","83","74","42","103","23","7",".282",".333",".434",".767",".330","41.0","11281"
"Yoenis Cespedes","","68","294","265","64","12","1","16","38","43","23","77","2","1",".241",".309",".470",".779",".330","600.5","13110"
"Andrew Benintendi","Red Sox","133","572","497","126","31","3","14","75","58","65","117","11","3",".253",".343",".413",".756",".329","227.2","17901"
"Starling Marte","Marlins","146","651","595","165","29","4","18","86","71","35","117","29","6",".278",".332",".432",".764",".329","50.8","9241"
"Ryan Braun","","94","406","368","96","19","2","16","54","51","29","84","7","2",".260",".320",".448",".768",".328","588.0","3410"
"Clint Frazier","Yankees","138","599","532","130","28","3","24","79","72","56","160","6","2",".245",".322",".441",".763",".327","187.1","15983"
"Avisail Garcia","Brewers","138","622","562","149","25","3","21","77","73","46","141","9","4",".265",".329",".429",".758",".326","330.9","5760"
"Mike Yastrzemski","Giants","151","680","598","144","34","6","24","88","80","70","173","7","2",".240",".325",".435",".760",".326","133.6","14854"
"Adam Eaton","White Sox","125","536","465","121","21","4","11","67","50","53","94","8","3",".260",".347",".393",".740",".326","374.2","11205"
"Austin Slater","Giants","68","307","269","69","13","1","8","40","31","31","79","7","2",".256",".342",".400",".743",".326","436.0","16153"
"Nick Solak","Rangers","130","548","489","129","23","2","16","65","58","47","114","8","3",".264",".335",".414",".749",".326","173.7","19294"
"Austin Riley","Braves","144","654","595","149","32","2","30","81","93","47","184","2","1",".250",".311",".459",".770",".326","211.4","18360"
"Lourdes Gurriel Jr.","Blue Jays","136","589","543","142","27","1","25","76","78","33","130","7","2",".262",".309",".456",".766",".326","80.6","19238"
"Byron Buxton","Twins","136","585","536","133","29","5","27","83","72","37","159","19","4",".247",".301",".471",".772",".325","114.8","14161"
"Corey Dickerson","Marlins","133","593","546","147","31","4","19","69","73","39","107","5","2",".269",".320",".443",".762",".325","389.5","10762"
"Nick Senzel","Reds","112","506","457","117","29","3","16","69","57","40","121","15","4",".255",".319",".438",".757",".324","290.4","19293"
"Luis Robert","White Sox","149","640","584","146","29","4","27","86","80","43","184","20","5",".250",".310",".450",".760",".324","37.8","20043"
"Ryan Mountcastle","Orioles","138","579","537","143","30","2","22","68","71","32","137","3","1",".267",".312",".450",".762",".324","140.1","18373"
"Yoshitomo Tsutsugo","Rays","63","271","234","52","11","1","12","32","36","34","78","0","0",".223",".324",".425",".749",".323","495.0","27459"
"Tim Locastro","Diamondbacks","66","299","263","68","15","3","6","40","27","19","56","12","2",".257",".337",".398",".735",".323","568.8","15124"
"Ian Desmond","Rockies","105","470","423","110","20","3","16","60","55","35","117","11","3",".259",".319",".432",".751",".323","557.2","6885"
"Shin-Soo Choo","","81","350","299","70","14","1","10","44","36","42","92","5","2",".234",".340",".387",".728",".322","540.7","3174"
"Alex Kirilloff","Twins","104","446","411","111","24","3","12","54","52","28","92","3","1",".269",".319",".431",".750",".321","999.0","sa917929"
"Adam Frazier","Pirates","110","490","441","119","24","3","10","57","51","38","69","7","3",".269",".333",".404",".737",".320","485.5","15223"
"Lorenzo Cain","Brewers","139","629","562","151","29","2","10","76","60","55","107","17","4",".269",".341",".384",".725",".319","259.0","9077"
"Jason Heyward","Cubs","134","613","534","132","23","3","16","73","65","67","114","5","2",".247",".335",".394",".729",".319","461.1","4940"
"Jose Martinez","Mets","26","118","106","28","5","0","3","14","13","11","26","1","0",".261",".330",".402",".732",".318","999.0","7996"
"Jordan Luplow","Indians","75","318","279","65","15","1","11","38","37","33","73","4","1",".234",".322",".414",".736",".318","999.0","16424"
"Daulton Varsho","Diamondbacks","97","435","392","97","20","4","14","57","49","34","92","9","2",".247",".315",".424",".739",".318","147.0","19918"
"Jake Bauers","Indians","34","145","126","30","7","0","4","18","16","16","36","3","1",".235",".327",".400",".728",".318","577.5","15194"
"Steven Souza Jr.","","37","162","140","31","6","0","6","21","19","18","50","3","1",".224",".322",".406",".728",".317","999.0","5667"
"Raimel Tapia","Rockies","131","585","542","151","31","7","9","72","58","36","116","15","4",".278",".325",".410",".735",".317","264.2","14350"
"D.J. Stewart","Orioles","92","388","336","75","15","1","15","47","42","42","98","4","1",".224",".320",".410",".730",".317","556.8","17766"
"Kyle Lewis","Mariners","149","631","561","135","25","2","24","74","73","61","185","4","2",".241",".316",".418",".734",".317","135.7","19508"
"Josh Naylor","Indians","115","491","444","115","24","2","13","56","57","40","82","3","1",".259",".324",".411",".735",".317","441.0","18839"
"Shogo Akiyama","Reds","97","440","390","100","21","2","8","55","41","43","92","7","4",".257",".335",".385",".720",".317","429.2","27461"
"Tyler O'Neill","Cardinals","70","314","282","66","13","1","14","40","42","26","96","4","1",".233",".302",".441",".743",".316","490.0","15711"
"Dylan Carlson","Cardinals","133","599","537","132","30","3","18","74","68","51","141","9","3",".246",".318",".417",".735",".316","999.0","20126"
"Robbie Grossman","Tigers","130","556","480","117","24","3","12","63","53","67","103","8","3",".244",".339",".378",".718",".316","372.7","5254"
"Adam Duvall","","71","308","276","61","12","1","16","38","44","25","84","1","0",".222",".295",".448",".743",".316","424.2","10950"
"Josh Rojas","Diamondbacks","47","211","188","47","11","2","5","28","21","20","41","7","2",".249",".323",".404",".727",".316","596.3","19734"
"Victor Robles","Nationals","149","681","605","152","30","4","18","89","68","43","161","26","7",".250",".322",".403",".726",".314","168.6","18363"
"Harrison Bader","Cardinals","126","570","501","116","23","3","20","73","62","50","165","12","4",".232",".316",".407",".724",".313","505.5","18030"
"Matt Joyce","","62","266","227","52","11","1","7","31","27","35","63","1","0",".228",".333",".376",".709",".313","999.0","3353"
"Khris Davis","Athletics","130","551","485","107","19","1","25","64","70","54","154","1","0",".221",".306",".421",".727",".312","503.4","9112"
"Yonathan Daza","Rockies","39","173","162","46","10","1","2","20","17","8","29","3","1",".284",".321",".402",".723",".312","999.0","15794"
"Aristides Aquino","Reds","53","242","221","50","10","1","13","32","33","17","71","3","1",".227",".287",".452",".738",".312","576.6","15482"
"Dexter Fowler","Cardinals","138","621","536","121","24","4","18","76","64","72","156","8","3",".226",".324",".386",".710",".312","586.2","4062"
"Trevor Larnach","","6","28","25","6","1","0","1","3","3","2","7","0","0",".250",".320",".400",".720",".312","585.0","sa3008376"
"Josh VanMeter","Diamondbacks","45","204","183","44","11","1","6","26","23","19","44","4","1",".239",".312",".411",".722",".312","600.3","15170"
"Harold Ramirez","Marlins","31","137","127","35","7","1","3","15","15","7","27","1","0",".272",".318",".403",".722",".312","999.0","14387"
"Garrett Hampson","Rockies","66","296","269","70","13","3","7","38","28","22","73","12","2",".259",".316",".405",".721",".311","268.2","19262"
"Pavin Smith","Diamondbacks","45","204","184","47","10","1","4","24","21","18","30","1","0",".254",".322",".394",".717",".311","593.8","19892"
"Enrique Hernandez","Red Sox","104","446","400","95","20","2","17","54","53","38","96","2","1",".237",".305",".422",".727",".311","442.6","10472"
"Willie Calhoun","Rangers","126","534","483","117","25","1","18","58","62","42","82","1","0",".243",".308",".414",".721",".310","363.0","17838"
"Cristian Pache","Braves","125","566","525","137","29","4","15","70","63","34","139","9","3",".262",".309",".414",".723",".310","999.0","19948"
"Kevin Pillar","","118","511","474","122","27","2","15","62","59","26","87","12","3",".257",".304",".418",".721",".310","381.9","12434"
"Jackie Bradley Jr.","","136","588","513","116","23","3","19","73","63","60","155","11","4",".225",".317",".392",".710",".309","379.4","12984"
"Jarred Kelenic","Mariners","76","322","293","70","14","1","12","38","36","25","83","5","2",".238",".302",".417",".719",".309","212.7","sa3007741"
"Billy McKinney","Brewers","62","278","248","57","13","2","10","32","33","25","68","1","0",".231",".305",".412",".716",".308","999.0","15654"
"Stephen Piscotty","Athletics","128","544","487","116","24","1","17","62","59","44","128","3","1",".237",".309",".401",".710",".308","472.8","13367"
"Dylan Moore","Mariners","120","507","449","101","21","2","18","66","51","44","132","23","7",".225",".307",".401",".708",".307","116.1","18042"
"Danny Santana","","47","203","185","43","9","1","8","27","23","14","61","7","2",".234",".295",".422",".717",".307","582.1","10322"
"Marwin Gonzalez","","92","399","357","87","16","1","12","45","44","33","90","2","1",".243",".313",".392",".706",".307","487.3","5497"
"Darin Ruf","Giants","39","175","155","36","7","0","6","20","20","17","45","1","0",".232",".313",".394",".707",".307","596.0","9929"
"Cesar Puello","","3","14","12","3","1","0","0","2","1","1","4","0","0",".239",".328",".364",".692",".307","999.0","7216"
"Austin Hays","Orioles","126","531","492","122","23","2","19","62","59","30","119","8","3",".249",".297",".419",".715",".307","228.2","19363"
"Austin Dean","Cardinals","19","88","80","20","4","0","2","10","10","6","18","1","0",".249",".307",".403",".710",".306","999.0","18288"
"Jake Cave","Twins","53","230","208","50","10","2","7","28","25","17","71","1","1",".239",".305",".402",".707",".305","591.5","14477"
"David Dahl","Rangers","105","445","405","98","21","2","13","50","48","33","122","6","2",".242",".303",".405",".708",".305","318.0","13744"
"Gregory Polanco","Pirates","125","554","496","111","25","2","22","65","68","51","152","10","2",".223",".297",".415",".712",".305","477.7","12907"
"Taylor Ward","Angels","45","196","173","41","7","1","5","23","20","20","50","2","1",".235",".319",".375",".695",".305","600.9","17548"
"LaMonte Wade Jr.","Twins","13","56","48","11","2","0","1","6","5","6","10","1","0",".233",".330",".354",".684",".305","999.0","18126"
"Yusniel Diaz","Orioles","78","327","294","70","13","2","9","38","33","29","79","3","2",".239",".309",".393",".702",".305","999.0","sa912848"
"Leody Taveras","Rangers","123","521","471","117","22","4","12","61","49","43","121","12","4",".248",".311",".391",".703",".304","210.0","18900"
"Nick Markakis","","104","448","399","102","24","1","5","48","42","42","71","1","0",".257",".331",".361",".692",".304","999.0","5930"
"Manuel Margot","Rays","104","445","403","100","20","3","11","56","43","35","83","18","5",".248",".311",".393",".703",".304","274.2","14712"
"Ben Gamel","","57","245","217","53","11","2","4","28","22","25","63","3","1",".242",".323",".367",".691",".304","999.0","12160"
"Adam Haseley","Phillies","79","360","325","82","16","2","8","41","37","27","78","4","1",".253",".318",".380",".698",".304","595.2","19878"
"Drew Waters","","78","353","326","83","21","2","8","43","37","22","109","6","2",".253",".304",".400",".704",".304","568.2","sa3004378"
"Brett Gardner","","107","462","403","93","17","4","11","57","42","50","100","9","2",".229",".319",".369",".688",".304","590.2","9927"
"Yairo Munoz","","10","42","39","10","2","0","1","5","5","2","9","1","0",".256",".304",".404",".708",".304","999.0","16313"
"Jay Bruce","","79","343","308","66","14","1","16","40","46","30","88","1","1",".215",".288",".425",".713",".303","599.5","9892"
"Christin Stewart","Tigers","29","125","110","24","5","1","4","13","15","12","32","0","0",".221",".305",".394",".699",".303","599.1","17714"
"Daniel Johnson Jr.","Indians","100","428","391","94","21","2","12","50","47","29","107","7","2",".242",".302",".400",".702",".303","594.2","19643"
"Ryan McBroom","Royals","19","82","74","18","4","0","3","9","10","6","22","0","0",".238",".302",".400",".702",".302","597.6","16524"
"Mike Tauchman","Yankees","55","240","212","51","10","1","6","29","23","24","54","4","2",".238",".318",".374",".692",".302","578.1","15274"
"Brian Goodwin","","63","273","243","54","12","1","9","33","30","26","82","5","2",".223",".302",".395",".697",".302","599.2","12858"
"Jon Berti","Marlins","100","449","396","96","17","3","8","55","35","41","105","17","4",".242",".323",".355",".678",".302","270.6","12037"
"Brent Rooker","Twins","28","118","106","24","5","0","4","14","14","10","41","0","0",".222",".299",".398",".697",".302","584.0","19627"
"Austin Listi","","18","81","72","17","3","0","3","9","9","7","19","0","0",".231",".306",".389",".696",".301","999.0","sa3004170"
"Nomar Mazara","","89","385","346","81","16","1","12","42","43","32","95","2","1",".234",".305",".387",".692",".300","554.7","14553"
"Matt Beaty","Dodgers","50","230","211","52","12","1","6","27","25","15","40","2","1",".247",".305",".387",".693",".300","999.0","17710"
"Jarren Duran","","44","188","173","45","10","1","3","24","17","12","49","6","2",".258",".311",".378",".689",".300","999.0","sa3006786"
"Chad Pinder","Athletics","118","503","453","106","22","1","16","55","54","35","129","2","1",".234",".298",".395",".693",".300","509.9","15191"
"Jo Adell","Angels","100","435","398","92","20","2","15","52","50","29","141","4","2",".232",".292",".403",".695",".299","311.2","20220"
"Matt Kemp","","62","266","242","56","11","0","10","29","33","20","76","1","0",".232",".293",".402",".695",".299","999.0","5631"
"Victor Reyes","Tigers","126","542","506","134","23","6","9","62","51","29","108","15","5",".264",".306",".385",".691",".299","203.8","15487"
"Mark Payton","Reds","28","125","112","26","5","1","4","15","13","10","29","1","1",".232",".301",".387",".688",".298","999.0","16042"
"Stuart Fairchild","Diamondbacks","5","22","20","5","1","0","1","3","2","2","6","0","0",".237",".303",".382",".686",".298","999.0","sa829822"
"Scott Heineman","Reds","11","51","47","11","2","0","1","6","5","4","13","1","0",".237",".301",".384",".685",".298","999.0","14453"
"Derek Fisher","Blue Jays","18","77","68","14","3","0","3","10","8","8","26","2","1",".212",".304",".376",".680",".298","999.0","16192"
"Myles Straw","Astros","120","520","465","120","20","3","4","65","39","48","110","25","6",".257",".328",".339",".668",".298","460.9","17620"
"Chas McCormick","Astros","29","126","113","27","5","1","3","15","13","11","22","2","1",".240",".314",".364",".678",".297","999.0","sa3004174"
"Khalil Lee","Royals","11","48","42","10","2","0","1","6","4","5","15","1","0",".230",".314",".358",".672",".297","599.7","sa917996"
"Josh Reddick","","100","434","386","95","17","2","9","47","43","38","73","4","1",".245",".312",".367",".679",".297","592.5","3892"
"Phillip Ervin","Cubs","53","244","216","49","10","1","6","28","24","21","57","5","2",".228",".308",".368",".677",".297","999.0","14738"
"JaCoby Jones","Tigers","133","570","514","116","25","4","18","66","60","42","170","10","4",".226",".294",".393",".687",".297","446.7","14818"
"Franchy Cordero","Royals","99","418","380","87","16","4","13","49","44","32","138","8","3",".230",".294",".396",".689",".297","406.2","14567"
"Bradley Zimmer","Indians","49","207","183","39","8","1","6","25","21","19","70","6","2",".216",".303",".374",".676",".297","591.2","16221"
"Sam Hilliard","Rockies","117","520","474","106","21","5","19","66","58","40","178","14","4",".223",".287",".404",".691",".297","401.8","17954"
"Jace Peterson","","16","73","64","15","3","0","1","8","7","8","16","1","1",".228",".318",".351",".669",".297","999.0","12325"
"Abraham Almonte","Braves","36","162","143","32","7","1","4","19","16","16","38","3","1",".225",".307",".370",".677",".296","999.0","5486"
"Nick Williams","White Sox","3","14","13","3","1","0","0","2","2","1","4","0","0",".230",".290",".397",".687",".296","999.0","14330"
"Zach McKinstry","Dodgers","36","163","147","35","8","1","4","19","17","13","40","2","1",".234",".304",".374",".677",".296","999.0","19392"
"Ryan McKenna","Orioles","3","14","12","3","1","0","0","1","1","1","4","0","0",".235",".309",".366",".675",".296","999.0","sa875055"
"Kevin Kiermaier","Rays","122","522","469","108","20","5","13","65","50","42","125","19","5",".230",".301",".381",".681",".296","499.0","11038"
"Cameron Maybin","","50","217","192","44","9","1","5","26","19","22","56","5","2",".230",".312",".353",".666",".295","999.0","5223"
"Dwight Smith Jr.","","3","15","13","3","1","0","0","2","2","1","3","0","0",".232",".303",".374",".677",".295","999.0","13473"
"Brandon Marsh","Angels","11","49","44","10","2","0","1","6","5","4","14","1","0",".235",".308",".367",".675",".295","548.4","sa917944"
"Scott Kingery","Phillies","118","537","491","114","25","3","17","63","61","35","144","11","3",".232",".289",".397",".685",".294","332.3","17975"
"Zach Reks","Dodgers","2","7","7","2","0","0","0","1","1","1","2","0","0",".231",".304",".367",".672",".294","999.0","sa3004166"
"Ender Inciarte","Braves","120","543","489","122","21","3","7","65","47","46","92","17","6",".250",".317",".350",".667",".294","600.7","4922"
"Jesus Sanchez","Marlins","8","36","33","8","2","0","1","4","4","2","9","0","0",".242",".295",".385",".680",".294","599.5","19913"
"Jaylin Davis","Giants","8","37","33","7","1","0","1","4","4","3","12","0","0",".227",".296",".382",".677",".294","999.0","19552"
"Justin Williams","Cardinals","26","117","107","26","5","0","3","13","13","8","29","1","0",".239",".295",".380",".675",".293","999.0","15490"
"Brock Holt","","57","245","215","51","9","1","3","26","21","25","53","2","1",".236",".321",".332",".654",".292","999.0","9345"
"Sam Haggerty","Mariners","6","27","24","5","1","0","1","3","2","3","8","1","0",".221",".309",".351",".660",".292","599.7","18054"
"Marcus Wilson","Red Sox","3","14","13","3","1","0","0","2","1","1","5","0","0",".219",".293",".377",".670",".292","999.0","sa828703"
"Leury Garcia","White Sox","45","195","179","46","7","1","3","22","17","10","43","4","1",".258",".304",".363",".668",".291","597.4","5913"
"Scott Schebler","","8","35","31","7","1","0","1","4","4","3","9","0","0",".214",".293",".377",".669",".291","999.0","12225"
"Chris Owings","","36","159","147","35","7","1","4","18","17","10","45","4","1",".238",".289",".388",".677",".291","999.0","10030"
"Ka'ai Tom","Athletics","36","152","135","30","7","1","4","17","14","13","41","2","1",".220",".297",".369",".666",".290","999.0","sa875069"
"Luke Raley","Dodgers","10","45","40","9","2","0","1","5","5","3","14","0","0",".224",".293",".374",".667",".290","999.0","sa918048"
"Mauricio Dubon","Giants","113","512","474","119","23","2","10","57","51","30","96","11","3",".250",".297",".374",".671",".290","275.1","16530"
