"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Fernando Tatis Jr.","Padres","154","699","620","173","34","6","39","113","106","67","186","26","7",".279",".356",".538",".894",".376","2.7","19709"
"Trevor Story","Rockies","152","679","609","172","39","5","36","106","99","59","173","26","6",".282",".349",".539",".888",".373","11.3","12564"
"Xander Bogaerts","Red Sox","151","649","575","167","34","2","28","93","88","62","116","7","2",".291",".363",".504",".867",".367","36.4","12161"
"Corey Seager","Dodgers","151","691","620","176","40","2","30","97","100","61","124","2","1",".283",".351",".501",".852",".362","37.8","13624"
"Manny Machado","Padres","156","707","628","172","31","2","39","98","111","69","117","10","3",".274",".347",".514",".861",".361","19.6","11493"
"Gleyber Torres","Yankees","149","648","573","157","29","2","31","90","88","63","134","6","2",".274",".349",".490",".839",".356","71.9","16997"
"Trea Turner","Nationals","152","696","629","181","34","6","24","106","82","57","127","37","8",".288",".349",".474",".824",".352","7.5","16252"
"Ketel Marte","Diamondbacks","149","671","607","176","35","6","21","92","84","53","88","8","3",".290",".350",".472",".822",".351","81.4","13613"
"Bo Bichette","Blue Jays","149","645","589","167","40","3","22","93","79","46","133","20","6",".283",".338",".474",".812",".346","24.1","19612"
"Wander Franco","Rays","96","410","370","107","22","3","11","52","51","34","32","7","3",".290",".351",".456",".807",".345","999.0","sa3007033"
"Francisco Lindor","Mets","157","716","642","173","34","2","32","99","97","60","111","20","6",".269",".334",".476",".809",".342","17.2","12916"
"Marcus Semien","Blue Jays","149","645","569","148","30","3","26","88","80","66","118","9","4",".259",".337",".455",".792",".340","146.3","12533"
"Carlos Correa","Astros","151","654","580","150","29","1","26","84","87","64","150","2","1",".258",".335",".447",".783",".335","125.5","14162"
"Chris Taylor","Dodgers","144","661","586","151","32","5","22","91","77","62","176","10","3",".258",".333",".441",".774",".333","211.2","13757"
"Brad Miller","","83","357","308","72","14","2","15","47","45","42","101","3","1",".235",".330",".442",".772",".332","593.5","12775"
"Tim Anderson","White Sox","154","661","621","177","31","3","23","89","83","30","146","21","6",".284",".320",".456",".776",".332","44.5","15172"
"Paul DeJong","Cardinals","151","679","607","150","32","1","29","86","90","56","164","6","2",".248",".320",".451",".771",".330","229.9","18015"
"Didi Gregorius","","139","633","578","153","27","3","27","80","86","40","90","8","2",".264",".315",".461",".776",".328","170.1","6012"
