"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Anthony Rendon","Angels","154","665","566","161","34","3","30","95","93","84","93","2","1",".284",".381",".512",".893",".379","41.0","12861"
"Vladimir Guerrero Jr.","Blue Jays","144","624","553","161","32","1","31","90","93","61","92","2","1",".291",".365",".522",".887",".374","56.8","19611"
"Alex Bregman","Astros","154","667","562","153","34","3","28","95","90","90","88","4","2",".272",".378",".491",".869",".372","40.3","17678"
"Justin Turner","","130","560","484","135","28","1","24","77","76","56","95","2","1",".279",".369",".489",".857",".368","225.8","5235"
"Jose Ramirez","Indians","154","656","573","155","35","4","32","98","91","72","91","23","7",".270",".354",".514",".868",".366","11.1","13510"
"Nicholas Castellanos","Reds","146","659","597","167","40","3","33","94","98","51","157","3","1",".280",".341",".523",".865",".364","84.5","11737"
"Eugenio Suarez","Reds","156","703","609","155","28","1","42","102","108","78","185","3","1",".254",".346",".512",".858",".362","80.7","12552"
"Josh Donaldson","Twins","136","585","490","120","25","1","26","83","74","85","136","3","2",".246",".363",".463",".826",".357","191.4","5038"
"Rafael Devers","Red Sox","152","656","595","163","38","2","32","92","93","52","137","6","3",".274",".335",".505",".841",".354","41.1","17350"
"Kris Bryant","Cubs","146","665","567","144","29","3","27","89","86","76","154","4","1",".255",".357",".461",".818",".353","130.8","15429"
"Manny Machado","Padres","156","706","628","169","30","2","37","95","108","68","117","9","4",".268",".341",".498",".838",".353","19.6","11493"
"Matt Chapman","Athletics","151","642","563","137","30","3","35","87","91","66","162","1","1",".244",".329",".498",".827",".349","108.8","16505"
"Nolan Arenado","Cardinals","152","686","609","161","30","2","34","86","99","65","95","2","1",".264",".334",".484",".819",".344","30.2","9777"
"Mike Moustakas","Reds","146","659","589","147","28","1","37","88","98","59","122","2","1",".250",".322",".493",".815",".343","120.9","4892"
