"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"J.T. Realmuto","Phillies","149","629","565","154","29","3","28","88","87","48","136","9","3",".272",".336",".484",".820",".348","33.4","11739"
"Will Smith","Dodgers","99","414","360","89","19","1","21","58","60","43","99","2","1",".247",".336",".482",".818",".347","94.2","19197"
"Willson Contreras","Cubs","117","490","427","109","21","2","20","64","62","46","119","3","1",".256",".342",".454",".795",".342","122.5","11609"
"Gary Sanchez","Yankees","100","400","351","80","14","0","26","55","62","39","118","1","0",".227",".315",".490",".805",".340","166.4","11442"
"Yasmani Grandal","White Sox","138","550","458","104","19","0","25","70","72","83","138","2","1",".226",".346",".432",".778",".337","125.2","11368"
"Travis d'Arnaud","Braves","113","470","423","111","21","1","20","60","64","38","104","1","1",".263",".327",".456",".782",".335","135.0","7739"
"Alejandro Kirk","Blue Jays","60","250","220","58","12","0","8","31","30","24","35","1","0",".265",".345",".430",".775",".334","999.0","22581"
"Salvador Perez","Royals","131","515","476","123","25","0","27","59","80","25","107","1","0",".257",".303",".481",".783",".330","75.1","7304"
"Danny Jansen","Blue Jays","99","391","341","80","17","1","15","49","46","38","80","2","1",".235",".323",".418",".741",".321","297.5","16535"
"Mitch Garver","Twins","76","299","264","60","13","1","13","37","37","30","87","0","0",".228",".312",".429",".741",".319","196.3","15161"
"Keibert Ruiz","Dodgers","8","34","31","9","2","0","1","4","4","2","3","0","0",".274",".327",".413",".740",".319","591.0","19610"
"Daulton Varsho","Diamondbacks","97","436","393","97","20","4","13","57","48","34","92","10","2",".247",".315",".419",".734",".316","147.0","19918"
"Austin Nola","Padres","107","447","399","101","20","1","13","51","52","38","86","2","1",".252",".324",".404",".728",".316","159.8","15941"
"Buster Posey","Giants","120","502","445","118","20","1","10","56","54","45","76","2","1",".266",".336",".383",".720",".315","251.8","9166"
"Chance Sisco","Orioles","76","295","255","57","11","0","10","34","32","30","89","0","0",".224",".322",".392",".713",".313","517.5","15694"
"Kurt Suzuki","Angels","66","262","233","58","11","0","8","30","31","18","37","1","0",".248",".314",".407",".721",".312","439.7","8259"
"Alex Avila","Nationals","75","314","261","54","10","0","11","38","36","47","110","1","0",".207",".333",".372",".704",".311","599.7","7476"
"Tyler Stephenson","Reds","50","207","186","45","10","0","6","24","23","17","50","0","0",".244",".315",".402",".717",".311","391.3","17988"
"Ryan Jeffers","Twins","81","318","288","70","14","1","11","37","37","24","82","0","0",".242",".309",".408",".717",".310","999.0","24618"
"Christian Vazquez","Red Sox","117","462","420","107","20","1","14","56","52","32","93","5","2",".254",".311",".409",".720",".310","149.9","9774"
"Carson Kelly","Diamondbacks","97","400","354","84","18","1","13","45","49","38","87","0","0",".237",".317",".405",".722",".310","251.2","13620"
"Omar Narvaez","Brewers","76","316","277","66","10","1","9","34","33","34","68","0","0",".240",".326",".373",".699",".308","361.6","13338"
"Jason Castro","Astros","76","302","261","55","12","1","12","36","37","34","101","1","0",".212",".307",".396",".703",".306","532.4","8722"
"Pedro Severino","Orioles","66","257","231","55","9","0","9","29","28","20","56","1","1",".240",".306",".400",".706",".306","334.8","14523"
"Sean Murphy","Athletics","110","429","378","85","17","1","15","48","47","43","106","1","0",".226",".310",".394",".703",".306","159.8","19352"
"Stephen Vogt","Diamondbacks","63","264","239","56","12","2","9","31","32","21","57","2","1",".236",".298",".413",".711",".305","590.8","5000"
"Samuel Huff","Rangers","3","13","12","3","1","0","1","1","2","1","4","0","0",".230",".288",".432",".721",".305","999.0","22209"
"Yan Gomes","Nationals","81","338","305","73","14","1","12","38","42","24","82","1","1",".239",".302",".407",".709",".304","329.8","9627"
"Adley Rutschman","","26","99","89","21","4","0","3","11","11","8","24","1","0",".236",".306",".399",".706",".304","999.0","sa3011643"
"Tyler Flowers","","53","211","180","38","7","0","7","24","23","21","72","0","0",".212",".317",".367",".683",".304","600.7","9134"
"Austin Barnes","Dodgers","55","232","202","46","9","1","7","28","24","23","54","3","1",".229",".317",".374",".692",".303","544.4","12158"
"Kevin Plawecki","Red Sox","45","178","160","39","8","0","4","20","18","13","34","1","0",".244",".313",".381",".694",".303","573.3","13807"
"Willians Astudillo","Twins","6","26","24","6","1","0","1","3","3","1","2","0","0",".265",".302",".402",".704",".302","593.5","15608"
"Max Stassi","Angels","86","339","301","67","12","1","12","39","39","31","90","0","0",".221",".303",".388",".691",".302","376.0","10059"
"Elias Diaz","Rockies","92","376","347","89","17","1","9","40","41","24","69","1","0",".256",".307",".388",".695",".301","490.5","11680"
"Zack Collins","White Sox","36","140","119","24","5","0","5","16","16","19","47","0","0",".199",".314",".366",".680",".301","999.0","19181"
"Francisco Mejia","Rays","57","223","204","49","10","1","8","24","27","14","50","1","0",".238",".294",".409",".702",".301","459.4","16403"
"William Contreras","Braves","16","67","62","16","3","0","2","7","8","4","16","0","0",".251",".305",".389",".694",".300","999.0","20503"
"Cal Raleigh","Mariners","11","44","40","9","2","0","2","5","6","3","12","0","0",".220",".285",".421",".706",".300","999.0","sa3008377"
"James McCann","Mets","110","459","417","99","17","1","16","53","53","31","131","3","1",".237",".298",".393",".691",".300","175.2","12859"
"Andrew Knapp","Phillies","44","184","161","36","8","1","4","21","18","20","53","1","0",".226",".317",".363",".681",".300","577.6","14942"
"Wilson Ramos","Tigers","79","313","284","72","11","0","8","31","35","22","52","0","0",".253",".310",".377",".688",".300","358.9","1433"
"Isiah Kiner-Falefa","Rangers","141","597","539","140","24","3","8","65","49","41","96","12","5",".259",".320",".358",".678",".299","293.7","16512"
"Victor Caratini","Padres","62","260","232","55","11","0","6","28","28","22","56","1","0",".239",".313",".369",".683",".299","474.8","14968"
"Jonathan Lucroy","","26","102","90","22","4","0","2","11","10","8","17","0","0",".245",".314",".365",".679",".299","999.0","7870"
"Robinson Chirinos","","62","243","206","42","9","0","8","27","26","25","74","1","0",".203",".310",".360",".670",".298","999.0","3142"
"Welington Castillo","Nationals","11","48","43","10","2","0","2","5","6","3","14","0","0",".229",".287",".405",".692",".298","999.0","3256"
"Yadier Molina","","112","446","401","100","20","0","11","48","50","25","74","3","2",".249",".299",".385",".684",".297","290.2","7007"
"Andrew Knizner","Cardinals","110","453","413","102","20","1","10","48","48","29","79","2","1",".247",".306",".375",".681",".296","517.9","19514"
"Kevan Smith","","13","51","46","11","2","0","1","5","5","3","10","0","0",".249",".311",".362",".672",".296","999.0","12284"
"Luis Torrens","Mariners","97","376","342","82","18","1","9","38","38","28","76","1","0",".240",".302",".376",".678",".294","492.8","15905"
"Dom Nunez","Rockies","57","231","205","44","9","1","7","25","26","23","64","2","0",".215",".298",".379",".677",".294","598.1","15055"
"Patrick Mazeika","Mets","5","21","19","4","1","0","1","2","2","2","4","0","0",".227",".301",".370",".671",".294","999.0","sa827167"
"David Freitas","Brewers","3","14","12","3","1","0","0","1","1","1","3","0","0",".244",".313",".355",".668",".293","999.0","10619"
"Manny Pina","Brewers","45","189","171","39","8","0","6","20","22","13","46","0","0",".228",".295",".383",".677",".293","593.6","2829"
"Tucker Barnhart","Reds","104","429","379","86","16","1","11","47","44","43","94","1","1",".227",".308",".362",".671",".293","499.1","10200"
"Connor Wong","Red Sox","8","32","29","7","1","0","1","4","4","2","11","0","0",".225",".280",".402",".682",".293","999.0","sa873978"
"Curt Casali","Giants","45","190","168","37","7","0","5","20","20","18","51","1","0",".222",".305",".361",".666",".292","581.1","12510"
"Jorge Alfaro","Marlins","81","330","304","72","13","1","10","35","36","17","113","3","1",".236",".292",".385",".677",".292","248.0","12180"
"Tom Murphy","Mariners","65","255","233","49","10","1","12","28","33","17","89","1","0",".210",".272",".410",".682",".292","325.9","13499"
"Kyle Higashioka","Yankees","62","245","225","49","10","0","11","27","32","16","64","0","0",".217",".272",".413",".685",".291","486.4","5517"
"Martin Maldonado","Astros","78","308","270","57","10","0","10","34","34","26","84","1","0",".212",".297",".360",".657",".289","484.2","6887"
"Tres Barrera","Nationals","2","6","6","1","0","0","0","1","1","0","1","0","0",".234",".296",".367",".663",".289","999.0","19977"
"Mike Zunino","Rays","92","363","325","63","12","0","17","39","49","29","133","0","0",".194",".273",".393",".666",".288","539.8","13265"
"Matt Wieters","","37","147","130","28","5","0","5","15","17","13","37","1","0",".218",".291",".369",".661",".288","999.0","4298"
"Deivy Grullon","Reds","6","27","25","6","1","0","1","3","3","2","9","0","0",".223",".279",".388",".667",".288","598.5","15988"
"Joey Bart","Giants","19","80","75","17","3","0","2","9","9","4","22","0","0",".232",".282",".379",".661",".285","415.6","21524"
"Chad Tromp","Giants","3","14","12","3","1","0","0","1","1","1","3","0","0",".226",".284",".369",".653",".284","999.0","16953"
"Andrew Susac","Pirates","6","27","24","5","1","0","1","3","3","3","8","0","0",".203",".293",".351",".644",".284","999.0","13132"
"Jose Briceno","Rockies","13","53","49","11","2","0","2","6","6","3","13","1","0",".228",".272",".390",".662",".284","999.0","13151"
"Alex Jackson","Braves","37","156","142","29","6","0","6","17","20","10","59","0","0",".203",".272",".386",".658",".283","599.8","17276"
"Josh Phegley","","16","64","58","13","3","0","2","7","7","4","15","0","0",".221",".282",".367",".649",".282","999.0","9308"
"Jake Rogers","Tigers","31","121","108","22","5","1","4","12","13","11","38","1","0",".202",".283",".360",".643",".282","600.7","19452"
"Jacob Stallings","Pirates","99","401","363","84","18","0","9","37","42","28","94","0","0",".231",".293",".355",".647",".282","396.5","13723"
"Tyler Heineman","","52","214","192","44","9","1","4","22","20","16","36","1","1",".228",".293",".351",".644",".282","999.0","13897"
"Jacob Nottingham","Brewers","53","229","206","43","9","0","8","24","25","16","75","2","1",".208",".279",".367",".647",".281","596.9","16448"
"P.J. Higgins","","5","20","18","4","1","0","0","2","2","2","4","0","0",".230",".299",".336",".635",".281","999.0","sa875573"
"Chris Herrmann","","16","64","56","11","2","0","2","7","6","7","20","0","0",".200",".296",".332",".628",".280","999.0","9284"
"Grayson Greiner","Tigers","49","191","173","37","7","1","6","19","20","14","56","0","0",".213",".277",".361",".639",".279","599.0","17062"
"Beau Taylor","Indians","16","63","55","11","2","0","1","6","6","7","19","0","0",".206",".302",".319",".621",".278","999.0","12384"
"Christian Bethancourt","","2","6","6","1","0","0","0","1","1","0","2","0","0",".229",".267",".383",".651",".278","999.0","10028"
