"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Yordan Alvarez","Astros","131","568","489","136","28","2","32","83","94","70","140","2","1",".278",".370",".539",".909",".379","86.0","19556"
"Vladimir Guerrero Jr.","Blue Jays","144","624","553","161","32","1","31","90","93","61","92","2","1",".291",".365",".522",".887",".374","56.8","19611"
"Giancarlo Stanton","Yankees","138","599","518","131","21","1","37","88","90","69","171","3","1",".253",".347",".514",".860",".362","115.8","4949"
"J.D. Martinez","Red Sox","149","642","564","157","32","2","29","88","90","67","149","2","1",".278",".357",".497",".854",".360","93.1","6184"
"Nelson Cruz","","133","571","510","133","26","1","34","77","90","47","144","0","0",".261",".332",".513",".845",".354","100.3","2434"
"Jorge Soler","Royals","143","603","523","130","25","1","33","79","91","68","170","2","1",".249",".343",".489",".831",".354","140.6","14221"
"Shohei Ohtani","Angels","117","504","444","118","24","3","23","75","66","53","134","14","4",".266",".345",".485",".830",".353","229.6","19755"
"Franmil Reyes","Indians","152","649","576","147","29","1","34","83","98","64","176","0","0",".256",".331",".483",".814",".344","159.2","14566"
"Daniel Vogelbach","Brewers","104","468","393","91","16","0","20","58","60","67","108","0","0",".232",".346",".431",".777",".337","573.0","14130"
"Rowdy Tellez","Blue Jays","100","435","390","98","21","0","22","57","62","37","100","2","1",".252",".322",".474",".796",".337","266.0","15679"
"Ji-Man Choi","Rays","107","459","393","94","20","1","18","56","58","58","108","2","1",".239",".341",".432",".772",".333","530.4","5452"
"Shin-Soo Choo","","81","350","298","72","14","1","12","45","39","43","91","5","2",".240",".346",".409",".756",".331","540.7","3174"
"Nate Lowe","Rangers","123","521","457","115","23","2","18","61","61","56","134","1","1",".251",".336",".426",".762",".329","327.4","19566"
"Luis Campusano","Padres","18","77","70","19","4","0","2","9","10","6","11","0","0",".271",".331",".421",".752",".324","999.0","22217"
"Renato Nunez","","109","469","420","99","19","1","23","58","65","38","124","1","0",".235",".307",".451",".758",".324","428.5","14503"
"Yoshitomo Tsutsugo","Rays","63","271","234","52","11","1","11","32","34","34","79","0","0",".222",".322",".417",".740",".320","495.0","27459"
"Edwin Encarnacion","","58","252","220","48","9","0","13","31","34","27","65","1","0",".217",".309",".434",".742",".319","591.3","2151"
"Mike Ford","Yankees","29","127","111","26","5","0","5","15","15","13","25","0","0",".232",".320",".417",".738",".318","599.5","15585"
"Miguel Cabrera","Tigers","143","612","547","140","25","0","19","65","74","56","124","0","0",".256",".326",".407",".734",".317","507.9","1744"
"Ha-seong Kim","Padres","73","331","297","73","17","2","10","40","39","29","62","7","1",".247",".317",".418",".735",".316","999.0","sa3011918"
"Khris Davis","Athletics","130","552","485","109","19","1","25","64","71","54","154","0","0",".224",".309",".425",".735",".315","503.4","9112"
"Yermin Mercedes","White Sox","8","32","29","7","1","0","1","4","4","3","7","0","0",".246",".311",".423",".734",".313","999.0","17423"
"Tyler Stephenson","Reds","50","207","186","45","10","0","6","24","23","17","50","0","0",".244",".315",".402",".717",".311","391.3","17988"
"Andy Young","Diamondbacks","26","117","104","24","5","1","4","14","14","8","32","1","0",".231",".306",".405",".711",".308","999.0","19521"
"Yadiel Hernandez","Nationals","18","81","73","17","3","0","2","9","9","8","21","0","0",".239",".313",".384",".698",".302","999.0","19334"
"Brent Rooker","Twins","28","118","106","23","5","0","4","14","14","10","41","0","0",".222",".299",".398",".697",".301","584.0","19627"
"Zack Collins","White Sox","36","140","119","24","5","0","5","16","16","19","47","0","0",".199",".314",".366",".680",".301","999.0","19181"
"Bobby Bradley","Indians","18","76","68","14","3","0","3","8","10","7","27","0","0",".210",".288",".406",".695",".298","600.8","17278"
"Zach McKinstry","Dodgers","36","164","148","35","8","1","4","19","17","13","40","2","0",".234",".304",".373",".677",".296","999.0","19392"
"Jorge Ona","Padres","3","15","13","3","1","0","0","2","2","1","4","0","0",".229",".296",".370",".666",".290","999.0","20040"
"Taylor Jones","Astros","3","14","12","3","1","0","0","1","2","1","4","0","0",".219",".300",".361",".660",".290","999.0","19533"
"Mark Trumbo","","24","105","96","21","4","0","4","11","13","8","29","0","0",".218",".281",".388",".669",".290","999.0","6876"
"Luis Gonzalez","White Sox","6","28","25","6","1","0","1","3","3","2","6","0","0",".229",".295",".363",".658",".287","999.0","20332"
"Jose Marmolejos","Mariners","71","302","276","63","13","1","9","30","32","21","77","0","0",".228",".287",".374",".661",".286","598.8","15767"
"Derek Hill","Tigers","2","7","6","1","0","0","0","1","1","0","2","0","0",".214",".274",".341",".615",".269","999.0","16947"
"Nick Heath","Royals","23","96","86","18","3","1","1","11","6","8","32","5","1",".212",".282",".305",".588",".262","999.0","19577"
"Albert Pujols","Angels","102","441","417","89","16","0","15","42","51","18","67","1","0",".213",".247",".362",".609",".261","582.6","1177"
