"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Fernando Tatis Jr.","Padres","154","699","618","174","34","5","39","113","108","68","186","26","7",".281",".359",".543",".902",".379","2.7","19709"
"Corey Seager","Dodgers","151","692","619","174","38","2","33","99","103","63","126","2","1",".282",".351",".512",".863",".365","37.8","13624"
"Trevor Story","Rockies","152","679","608","169","39","6","31","102","94","59","170","26","7",".278",".346",".517",".863",".364","11.3","12564"
"Xander Bogaerts","Red Sox","151","649","575","165","32","3","27","92","86","62","115","6","2",".286",".358",".495",".852",".362","36.4","12161"
"Ketel Marte","Diamondbacks","149","672","607","178","35","6","26","96","92","54","87","8","2",".294",".354",".497",".851",".362","81.4","13613"
"Trea Turner","Nationals","152","696","630","185","35","6","25","108","85","55","126","37","8",".293",".353",".488",".840",".359","7.5","16252"
"Manny Machado","Padres","156","706","628","169","30","2","37","95","108","68","117","9","4",".268",".341",".498",".838",".353","19.6","11493"
"Gleyber Torres","Yankees","149","648","574","153","29","1","30","88","87","62","135","5","3",".267",".342",".480",".822",".349","71.9","16997"
"Bo Bichette","Blue Jays","149","645","590","167","39","4","23","94","80","46","133","19","7",".282",".337",".479",".815",".347","24.1","19612"
"Wander Franco","Rays","96","411","370","107","22","3","11","52","50","34","32","8","2",".290",".351",".456",".806",".344","999.0","sa3007033"
"Marcus Semien","Blue Jays","149","645","571","149","30","3","27","90","82","66","119","9","4",".261",".337",".466",".803",".344","146.3","12533"
"Francisco Lindor","Mets","157","716","642","173","34","3","31","99","95","60","111","19","6",".269",".334",".473",".807",".342","17.2","12916"
"Dansby Swanson","Braves","149","675","602","161","34","3","26","92","86","60","159","12","4",".268",".337",".462",".799",".340","108.2","18314"
"Jorge Polanco","Twins","125","536","483","132","27","4","17","70","63","42","88","7","2",".273",".333",".451",".785",".336","213.0","13152"
"Carlos Correa","Astros","151","653","579","149","29","2","25","83","86","64","150","2","1",".258",".335",".445",".780",".334","125.5","14162"
"Chris Taylor","Dodgers","144","662","587","153","32","5","21","91","76","62","177","10","3",".260",".335",".440",".775",".333","211.2","13757"
"Brad Miller","","83","357","308","73","14","2","15","47","45","43","101","3","1",".235",".331",".442",".773",".332","593.5","12775"
"Jean Segura","Phillies","144","655","598","167","27","3","21","86","79","40","102","14","5",".279",".330",".438",".768",".329","189.0","5933"
"Paul DeJong","Cardinals","151","679","606","148","31","2","29","85","89","56","163","5","2",".245",".317",".448",".765",".327","229.9","18015"
"Tim Anderson","White Sox","154","661","621","175","31","3","21","88","79","31","145","20","7",".282",".319",".445",".764",".327","44.5","15172"
"Didi Gregorius","","139","633","578","149","27","3","25","79","83","40","91","8","2",".258",".310",".447",".757",".321","170.1","6012"
"Javier Baez","Cubs","154","702","652","168","32","4","30","90","94","37","194","14","5",".258",".302",".456",".758",".319","74.1","12979"
"Jeter Downs","","11","49","44","11","3","0","2","6","6","4","11","1","0",".243",".313",".430",".743",".318","524.8","sa3004615"
"Willy Adames","Rays","131","564","504","123","24","2","19","68","66","52","164","6","2",".244",".318",".418",".736",".317","352.8","15986"
"Asdrubal Cabrera","","84","364","320","78","16","1","12","43","43","34","77","1","0",".243",".320",".412",".732",".317","518.7","4962"
"Amed Rosario","Indians","100","428","399","110","21","3","10","52","46","22","85","11","4",".276",".315",".417",".732",".314","274.5","15518"
"Brendan Rodgers","Rockies","130","578","532","139","32","3","15","65","68","32","132","4","1",".261",".312",".417",".729",".313","497.8","17907"
"Elvis Andrus","Rangers","87","370","338","90","17","1","9","44","38","24","59","9","4",".265",".316",".402",".718",".311","479.9","8709"
"Luis Urias","Brewers","136","614","543","135","27","3","12","69","59","56","131","5","2",".248",".329",".374",".702",".309","408.9","16622"
"Aledmys Diaz","Astros","39","168","154","38","8","1","5","20","20","11","29","1","0",".248",".305",".407",".712",".306","600.8","15937"
