"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Gleyber Torres","Yankees","148","594","521","148","25","1","33","85","106","63","123","5","8","2",".284",".364",".526",".890",".370","-7.0","0.4","4.4","71.9","16997"
"DJ LeMahieu","Yankees","134","598","546","167","26","3","18","92","74","43","81","3","6","3",".306",".357",".463",".820",".347","7.0","-0.5","4.2","28.4","9874"
"Ozzie Albies","Braves","152","659","609","174","38","6","28","105","91","43","115","4","18","3",".286",".335",".506",".841",".349","5.0","2.0","4.1","31.3","16556"
"Jose Altuve","Astros","134","587","529","153","27","2","23","89","71","50","89","5","13","7",".289",".355",".478",".833",".352","-3.0","-0.8","3.6","100.3","5417"
"Ketel Marte","Diamondbacks","153","635","580","167","35","9","19","79","69","45","86","6","7","2",".288",".343",".478",".821",".344","3.0","0.2","3.4","81.4","13613"
"Yoan Moncada","White Sox","141","609","545","142","26","5","24","81","81","57","183","4","9","4",".261",".333",".459",".792",".333","2.0","-0.3","3.2","86.4","17232"
"Cavan Biggio","Blue Jays","141","609","514","118","26","3","22","84","75","85","169","5","14","3",".230",".342",".420",".762",".327","5.0","1.2","3.2","62.0","19252"
"Jeff McNeil","Mets","140","581","522","155","33","3","16","71","70","41","71","14","6","5",".297",".362",".464",".826",".349","-4.0","-1.3","3.0","86.0","15362"
"Whit Merrifield","Royals","147","653","605","173","34","4","16","85","65","37","101","6","28","9",".286",".331",".435",".765",".323","5.0","1.3","3.0","41.0","11281"
"Luis Arraez","Twins","150","609","552","173","32","2","5","78","45","52","46","1","5","3",".313",".371",".406",".777",".336","0.0","-0.7","2.9","365.3","18568"
"Brandon Lowe","Rays","131","530","473","115","25","3","26","69","83","48","157","6","6","2",".243",".319",".474",".792",".332","2.0","0.1","2.9","72.5","18882"
"Javier Baez","Cubs","156","606","571","152","31","4","29","85","91","27","170","4","12","5",".266",".302",".487",".789",".324","2.0","0.0","2.6","74.1","12979"
"Ty France","Mariners","143","565","508","136","26","3","18","69","74","34","119","19","1","2",".268",".335",".437",".772",".328","-1.0","-1.0","2.5","333.2","17982"
"Max Muncy","Dodgers","136","535","442","107","18","1","29","82","99","84","139","6","4","1",".242",".368",".484",".852",".359","0.0","0.0","2.5","93.7","13301"
"Gavin Lux","Dodgers","132","556","507","126","23","7","24","76","89","46","132","1","9","5",".249",".311",".464",".775",".324","0.0","-0.6","2.4","247.7","19955"
"David Fletcher","Angels","152","665","612","171","33","4","8","79","52","44","73","3","9","4",".279",".329",".386",".715",".307","5.0","-0.3","2.3","226.5","17992"
"Kolten Wong","","143","524","458","122","22","4","9","60","51","44","77","13","14","5",".266",".345",".391",".736",".316","6.0","0.3","2.2","413.6","12532"
"Mike Brosseau","Rays","119","430","389","100","20","2","15","50","51","27","106","10","6","4",".257",".319",".434",".754",".320","4.0","-0.8","2.0","435.4","19683"
"Jake Cronenworth","Padres","119","500","449","118","24","5","8","61","48","43","87","5","11","4",".263",".332",".392",".724",".312","2.0","0.2","1.9","177.1","18036"
"Jonathan Schoop","","135","537","502","135","24","2","24","71","75","22","114","9","1","0",".269",".309",".468",".777",".324","-2.0","-0.1","1.8","420.4","11265"
"Luis Urias","Brewers","141","545","479","118","24","5","11","64","60","53","128","10","6","4",".246",".333",".386",".719",".311","4.0","-0.8","1.8","408.9","16622"
"Nick Madrigal","White Sox","120","500","462","134","20","2","4","49","37","24","26","9","17","10",".290",".335",".368",".703",".305","6.0","-1.3","1.8","194.7","20521"
"Jurickson Profar","Padres","136","518","460","117","24","2","16","68","67","45","77","9","10","1",".254",".331",".420",".750",".320","-2.0","1.3","1.6","233.9","10815"
"Pat Valaika","Orioles","144","433","408","110","18","2","21","64","56","21","104","0","1","4",".270",".305",".478",".783",".326","1.0","-1.7","1.6","494.1","14885"
"Danny Mendick","White Sox","141","532","469","111","19","2","13","60","51","54","115","4","12","7",".237",".318",".369",".687",".298","6.0","-0.9","1.6","999.0","18889"
"Adam Frazier","Pirates","151","572","519","138","28","4","12","68","54","41","78","7","5","6",".266",".327",".405",".732",".312","3.0","-1.9","1.5","485.5","15223"
"Cesar Hernandez","Indians","149","647","578","152","30","3","11","79","52","61","127","5","8","3",".263",".337",".382",".720",".312","0.0","-0.1","1.5","370.2","10556"
"Jean Segura","Phillies","139","598","551","153","27","4","13","78","63","37","90","5","13","6",".278",".327",".412",".739",".314","1.0","-0.3","1.5","189.0","5933"
"Ramon Urias","Orioles","103","396","352","91","22","1","12","49","45","30","86","10","4","3",".259",".332",".429",".761",".324","0.0","-0.7","1.4","599.4","18795"
"Keston Hiura","Brewers","145","610","548","135","27","3","28","79","86","42","184","17","12","6",".246",".318",".460",".778",".326","-6.0","-0.5","1.4","66.9","20003"
"Jonathan Villar","","148","586","529","130","19","2","16","66","60","50","155","2","39","11",".246",".312",".380",".692",".297","1.0","2.7","1.4","143.6","10071"
"Starlin Castro","Nationals","141","587","552","157","29","3","19","69","75","28","103","2","3","2",".284",".319",".451",".770",".322","-3.0","-0.6","1.3","333.6","4579"
"Hanser Alberto","","144","572","544","155","28","2","10","69","53","14","60","5","5","2",".285",".307",".399",".706",".299","4.0","-0.2","1.3","529.7","11902"
"Sheldon Neuse","Athletics","144","587","543","133","26","2","15","61","62","39","180","2","5","3",".245",".296",".383",".679",".290","5.0","-0.6","1.3","999.0","19635"
"Joey Wendle","Rays","123","467","429","110","24","4","7","53","44","23","89","10","13","4",".256",".306",".380",".686",".292","4.0","0.6","1.2","306.0","13853"
"Wilmer Flores","Giants","132","460","427","117","25","1","16","52","65","24","62","4","1","0",".274",".315",".450",".765",".320","-4.0","0.0","1.2","313.7","5827"
"Breyvic Valera","Blue Jays","126","483","436","117","18","4","9","55","45","38","51","2","8","8",".268",".328",".390",".718",".308","1.0","-2.2","1.2","999.0","12758"
"Andres Gimenez","Indians","137","480","436","108","19","6","9","59","40","23","108","15","26","12",".248",".306",".381",".687",".295","3.0","-0.3","1.1","179.2","19950"
"David Bote","Cubs","127","431","378","87","17","2","16","51","64","44","119","6","5","2",".230",".318",".413",".731",".311","1.0","-0.1","1.0","502.8","14593"
"Mauricio Dubon","Giants","143","565","524","136","21","2","12","62","55","32","98","3","12","8",".260",".304",".376",".680",".291","6.0","-1.4","1.0","275.1","16530"
"Luis Guillorme","Mets","116","383","336","86","16","1","4","39","30","40","68","2","4","2",".256",".337",".345",".682",".301","2.0","-0.3","0.9","600.7","16451"
"Niko Goodrum","Tigers","124","492","445","103","24","4","14","54","56","41","150","2","14","4",".231",".297",".398",".695",".295","-2.0","0.8","0.9","412.0","12092"
"Christian Arroyo","Red Sox","78","296","272","71","16","1","10","34","42","19","62","3","2","1",".261",".315",".438",".753",".317","1.0","-0.2","0.9","598.4","16434"
"Asdrubal Cabrera","","125","500","451","118","26","3","18","60","79","42","94","2","1","0",".262",".324",".452",".776",".326","-7.0","0.0","0.9","518.7","4962"
"Andy Young","Diamondbacks","121","477","419","93","17","4","18","55","55","33","134","21","3","2",".222",".309",".411",".719",".308","0.0","-0.5","0.8","999.0","19521"
"Franklin Barreto","Angels","114","408","374","83","16","3","18","55","57","25","142","6","9","2",".222",".280",".425",".705",".295","0.0","0.8","0.8","600.3","15519"
"Ryan McMahon","Rockies","143","524","469","118","24","3","22","65","73","49","162","3","5","2",".252",".324",".456",".781",".328","-1.0","-0.1","0.8","244.1","15112"
"Nico Hoerner","Cubs","121","424","383","100","17","4","5","55","48","32","61","6","9","5",".261",".325",".366",".691",".300","0.0","-0.6","0.8","457.2","21479"
"Yolmer Sanchez","Orioles","142","524","470","120","23","6","7","59","45","41","100","5","8","6",".255",".320",".374",".694",".299","0.0","-1.3","0.7","596.1","11602"
"Tommy La Stella","","126","391","349","93","17","2","9","48","40","34","35","4","1","0",".266",".336",".404",".740",".317","-8.0","0.0","0.7","317.8","12371"
"Domingo Leyba","","124","506","467","118","27","4","12","61","52","32","92","4","1","2",".253",".304",".405",".709",".300","-2.0","-0.9","0.7","999.0","16404"
"Tony Kemp","Athletics","125","393","347","90","17","3","5","48","31","35","51","5","11","5",".259",".333",".369",".702",".305","-4.0","-0.2","0.7","599.6","14894"
"Donovan Solano","Giants","112","413","389","109","22","1","4","40","41","18","72","3","1","0",".280",".315",".373",".688",".295","1.0","0.0","0.7","484.2","8623"
"Daniel Robertson","Brewers","98","333","289","68","12","1","5","37","29","35","80","8","2","2",".235",".333",".336",".669",".298","2.0","-0.7","0.7","999.0","14145"
"Nate Orf","Athletics","113","433","376","83","16","3","6","50","35","39","80","12","9","3",".221",".311",".327",".638",".281","3.0","0.3","0.7","999.0","15407"
"Luis Rengifo","Angels","132","523","462","106","19","5","9","60","41","51","113","5","13","9",".229",".312",".351",".662",".289","1.0","-1.6","0.6","999.0","19858"
