"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"J.T. Realmuto","Phillies","139","571","518","141","29","3","26","84","98","40","125","9","8","2",".272",".333",".490",".823",".343","4.0","0.4","4.0","33.4","11739"
"Yasmani Grandal","White Sox","131","522","437","99","19","1","23","62","74","78","142","3","2","1",".227",".345",".432",".777",".333","7.0","-0.3","4.0","125.2","11368"
"Will Smith","Dodgers","109","434","374","90","20","1","23","61","83","48","109","7","2","0",".241",".334",".484",".818",".342","3.0","0.2","3.2","94.2","19197"
"Salvador Perez","Royals","111","449","426","113","23","0","24","49","75","12","98","7","1","0",".265",".294",".488",".782",".323","5.0","0.0","2.7","75.1","7304"
"Christian Vazquez","Red Sox","126","467","432","115","22","1","15","54","51","30","90","2","7","4",".266",".315",".426",".741",".314","7.0","-0.6","2.5","149.9","9774"
"Willson Contreras","Cubs","129","498","429","107","22","2","18","63","68","49","118","17","3","4",".249",".347",".436",".783",".335","-3.0","-1.4","2.4","122.5","11609"
"Alejandro Kirk","Blue Jays","101","386","347","90","24","2","10","47","47","34","56","3","1","0",".259",".329",".427",".756",".321","1.0","0.0","2.1","999.0","22581"
"Danny Jansen","Blue Jays","113","417","361","83","17","1","17","52","60","42","79","8","1","0",".230",".322",".424",".746",".318","0.0","0.0","2.0","297.5","16535"
"Sean Murphy","Athletics","85","341","306","74","17","1","13","42","41","26","79","4","1","0",".242",".306",".431",".737",".311","3.0","0.0","1.9","159.8","19352"
"Willians Astudillo","Twins","93","329","310","89","17","1","12","43","44","8","14","6","2","3",".287",".314",".465",".779",".325","2.0","-1.1","1.8","593.5","15608"
"Buster Posey","Giants","111","450","407","109","21","1","6","43","45","37","65","4","2","1",".268",".333",".369",".702",".302","2.0","-0.3","1.7","251.8","9166"
"Tucker Barnhart","Reds","120","403","355","84","16","1","11","33","44","42","88","2","1","1",".237",".319",".380",".699",".299","8.0","-0.4","1.7","499.1","10200"
"Travis d'Arnaud","Braves","111","422","382","101","18","0","16","46","79","33","97","3","1","0",".264",".325",".437",".762",".322","-2.0","0.0","1.6","135.0","7739"
"Jake Rogers","Tigers","108","440","390","79","15","2","16","50","53","37","137","7","4","2",".203",".281",".374",".655",".280","10.0","-0.3","1.6","600.7","19452"
