"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Ha-seong Kim","Padres","149","667","595","159","32","3","22","93","103","60","113","5","18","2",".267",".337",".442",".779",".330","0.0","2.4","3.0","999.0","sa3011918"
"Yordan Alvarez","Astros","104","449","393","111","25","0","28","66","82","51","119","2","4","1",".282",".365",".560",".925",".378","0.0","0.1","2.7","86.0","19556"
"Vladimir Guerrero Jr.","Blue Jays","146","601","544","150","33","5","26","77","98","50","95","5","2","1",".276",".341",".498",".839",".351","2.0","-0.3","2.6","56.8","19611"
"Giancarlo Stanton","Yankees","123","527","452","113","23","1","38","79","111","64","172","6","3","2",".250",".347",".558",".905",".369","0.0","-0.5","2.5","115.8","4949"
"Nelson Cruz","","113","474","416","115","18","0","32","65","86","48","122","8","0","0",".276",".361",".550",".911",".373","0.0","-0.2","2.4","100.3","2434"
"Jorge Soler","Royals","129","526","455","112","23","0","30","63","80","61","158","7","2","0",".246",".342",".495",".837",".350","0.0","0.1","1.6","140.6","14221"
"Rowdy Tellez","Blue Jays","132","497","448","117","26","0","27","67","84","39","114","5","2","3",".261",".324",".500",".824",".340","1.0","-1.1","1.6","266.0","15679"
"Yoshitomo Tsutsugo","Rays","129","527","466","111","23","1","24","66","76","58","131","1","0","0",".238",".323",".446",".769",".324","-1.0","-0.3","1.4","495.0","27459"
"Shohei Ohtani","Angels","124","454","405","103","21","2","21","62","78","45","131","2","14","3",".254",".330",".472",".802",".337","0.0","1.3","1.2","229.6","19755"
"J.D. Martinez","Red Sox","134","581","515","136","30","2","27","75","86","58","143","3","3","0",".264",".339",".487",".826",".341","0.0","0.3","1.2","93.1","6184"
"Luis Campusano","Padres","106","455","410","101","22","2","10","54","62","36","75","4","0","0",".246",".310",".383",".693",".296","-2.0","-0.2","1.0","999.0","22217"
"Nate Lowe","Rangers","131","526","463","120","22","1","23","67","64","58","137","3","3","1",".259",".344",".460",".804",".338","0.0","-0.1","1.0","327.4","19566"
"Daniel Vogelbach","Brewers","128","490","414","99","18","0","24","64","72","72","120","2","0","0",".239",".353",".457",".810",".344","0.0","-0.3","0.9","573.0","14130"
"Ji-Man Choi","Rays","116","427","363","89","21","1","15","48","54","54","103","4","2","1",".245",".344",".433",".777",".329","-2.0","-0.3","0.9","530.4","5452"
"Franmil Reyes","Indians","148","574","514","132","23","0","32","74","95","52","177","2","0","1",".257",".324",".488",".812",".337","0.0","-0.7","0.9","159.2","14566"
"Andy Young","Diamondbacks","121","477","419","93","17","4","18","55","55","33","134","21","3","2",".222",".309",".411",".719",".308","0.0","-0.5","0.8","999.0","19521"
"Tyler Stephenson","Reds","101","390","345","79","14","1","10","45","45","33","104","8","0","0",".229",".308",".362",".670",".291","2.0","-0.2","0.8","391.3","17988"
"Renato Nunez","","142","570","516","129","26","0","31","72","94","42","152","7","1","0",".250",".312",".481",".793",".331","0.0","-0.1","0.8","428.5","14503"
"Yermin Mercedes","White Sox","97","384","349","85","15","1","14","44","50","27","86","3","2","1",".244",".299",".413",".712",".300","-6.0","-0.2","0.8","999.0","17423"
"Mike Ford","Yankees","115","432","380","90","20","0","20","56","68","44","85","5","0","0",".237",".322",".447",".769",".324","0.0","-0.2","0.8","599.5","15585"
"Kevin Cron","","111","433","385","91","19","1","24","56","71","37","129","7","1","1",".236",".312",".478",".790",".328","2.0","-0.4","0.7","999.0","16211"
"Zack Collins","White Sox","108","427","358","68","15","1","14","48","50","62","157","2","1","0",".190",".310",".355",".665",".291","-5.0","0.0","0.7","999.0","19181"
"Khris Davis","Athletics","126","509","451","104","18","0","29","64","87","47","152","7","0","0",".231",".310",".463",".774",".323","0.0","-0.2","0.7","503.4","9112"
"Kennys Vargas","","127","497","446","106","19","1","22","57","64","44","128","3","0","0",".238",".308",".433",".741",".311","1.0","-0.2","0.4","999.0","12101"
"Bobby Bradley","Indians","130","535","485","108","24","2","26","62","72","44","182","3","1","1",".223",".290",".441",".731",".305","5.0","-0.5","0.3","600.8","17278"
"Brent Rooker","Twins","101","416","374","87","19","1","19","53","58","32","137","8","2","1",".233",".305",".441",".746",".314","-4.0","-0.2","0.2","584.0","19627"
"Yadiel Hernandez","Nationals","109","410","369","94","17","1","16","50","56","36","104","1","3","2",".255",".320",".436",".757",".318","-3.0","-0.5","0.1","999.0","19334"
"Edwin Encarnacion","","101","429","377","77","13","0","25","56","71","41","116","8","0","0",".204",".294",".438",".731",".308","0.0","-0.2","0.0","591.3","2151"
"Taylor Jones","Astros","115","472","421","95","19","1","16","54","54","40","131","6","0","1",".226",".299",".390",".688",".293","2.0","-0.7","0.0","999.0","19533"
"Rangel Ravelo","","106","384","345","86","18","1","9","44","44","30","66","5","0","1",".249",".315",".386",".701",".300","2.0","-0.6","0.0","999.0","10839"
