"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Mike Trout","Angels","134","593","473","134","25","4","39","100","109","104","131","11","12","3",".283",".420",".600","1.020",".413","-2.0","0.7","6.8","5.8","10155"
"Ronald Acuna Jr.","Braves","150","672","570","161","30","2","43","134","115","91","171","10","33","7",".282",".390",".568",".958",".397","4.0","3.2","5.9","1.8","18401"
"Mookie Betts","Dodgers","142","654","569","163","36","3","32","117","98","75","100","4","24","4",".286",".370",".529",".899",".372","15.0","2.7","5.9","3.0","13611"
"Juan Soto","Nationals","151","640","528","161","34","4","37","122","141","105","107","3","16","3",".305",".420",".595","1.015",".412","-2.0","1.5","5.7","4.0","20123"
"Cody Bellinger","Dodgers","156","648","561","153","29","5","38","99","123","82","137","2","17","3",".273",".366",".545",".911",".371","2.0","1.8","5.4","15.9","15998"
"Aaron Judge","Yankees","115","499","420","107","17","1","33","82","88","72","155","4","3","3",".255",".367",".536",".902",".374","9.0","-1.0","4.1","57.4","15640"
"George Springer","Blue Jays","129","577","506","138","22","2","28","96","90","59","113","8","5","5",".273",".355",".490",".845",".356","0.0","-1.5","3.9","53.0","12856"
"Christian Yelich","Brewers","140","618","524","143","29","3","32","97","88","85","150","6","18","4",".273",".379",".523",".902",".374","0.0","1.5","3.8","11.5","11477"
"Kyle Tucker","Astros","151","616","557","154","31","7","27","93","103","50","127","4","24","4",".276",".338",".503",".840",".348","5.0","2.8","3.8","30.8","18345"
"Bryce Harper","Phillies","145","629","510","132","29","2","34","100","116","108","154","5","14","4",".259",".390",".524",".914",".376","-2.0","0.7","3.8","20.9","11579"
"Marcell Ozuna","","139","598","537","154","27","2","34","82","126","58","131","1","5","1",".287",".356",".534",".891",".369","3.0","0.2","3.6","47.2","10324"
"Luis Robert","White Sox","135","580","535","141","24","6","27","79","89","32","167","8","24","8",".264",".312",".482",".794",".330","5.0","1.0","3.3","37.8","20043"
"Michael Conforto","Mets","144","608","518","137","26","1","27","86","93","76","152","11","7","4",".264",".368",".475",".843",".356","2.0","-0.7","3.3","73.2","16376"
"Ramon Laureano","Athletics","132","534","471","117","26","2","25","74","75","44","149","13","12","3",".248",".326",".471",".797",".334","3.0","0.8","3.2","149.5","17128"
"Jeff McNeil","Mets","140","581","522","155","33","3","16","71","70","41","71","14","6","5",".297",".362",".464",".826",".349","-4.0","-1.3","3.0","86.0","15362"
"Whit Merrifield","Royals","147","653","605","173","34","4","16","85","65","37","101","6","28","9",".286",".331",".435",".765",".323","5.0","1.3","3.0","41.0","11281"
"Michael Brantley","Astros","130","557","505","151","31","2","16","73","70","44","67","4","7","2",".299",".357",".463",".821",".347","2.0","0.2","2.9","154.3","4106"
"Max Kepler","Twins","139","570","499","124","30","2","27","82","75","62","102","6","5","3",".248",".337",".479",".816",".342","7.0","-0.6","2.9","181.7","12144"
"Byron Buxton","Twins","112","397","370","95","20","3","21","57","61","20","106","3","15","3",".257",".299",".497",".796",".329","9.0","1.5","2.7","114.8","14161"
"Brian Anderson","Marlins","145","593","523","133","28","3","22","69","80","52","148","15","3","2",".254",".337",".446",".783",".332","0.0","-0.6","2.6","230.8","18289"
"Kris Bryant","Cubs","133","596","515","130","29","3","24","86","67","62","137","15","3","2",".252",".347",".460",".808",".342","-2.0","-0.6","2.6","130.8","15429"
"Eloy Jimenez","White Sox","137","567","529","151","30","2","34","72","106","32","136","3","0","0",".285",".328",".543",".871",".359","-7.0","-0.3","2.5","33.9","17484"
"Giancarlo Stanton","Yankees","123","527","452","113","23","1","38","79","111","64","172","6","3","2",".250",".347",".558",".905",".369","0.0","-0.5","2.5","115.8","4949"
"Brandon Nimmo","Mets","129","498","410","100","21","5","16","67","49","74","123","12","4","3",".244",".373",".437",".810",".349","-5.0","-0.8","2.5","252.0","12927"
"Rhys Hoskins","Phillies","145","629","520","125","30","2","32","93","112","95","157","10","4","2",".240",".366",".490",".856",".361","-1.0","-0.4","2.5","162.9","16472"
"Mike Yastrzemski","Giants","137","550","488","129","28","5","22","76","78","52","138","6","5","4",".264",".341",".477",".818",".342","4.0","-1.0","2.4","133.6","14854"
"Trent Grisham","Padres","144","598","508","122","21","7","21","82","73","79","142","5","16","4",".240",".346",".433",".779",".332","6.0","1.1","2.4","65.9","18564"
"Aaron Hicks","Yankees","112","459","381","91","19","3","16","67","61","72","99","2","7","3",".239",".359",".430",".790",".339","0.0","-0.2","2.4","292.5","5297"
"Ian Happ","Cubs","152","567","488","122","23","2","27","76","77","72","168","4","8","5",".250",".350",".471",".821",".345","-6.0","-0.9","2.2","159.7","17919"
"Chris Taylor","Dodgers","139","528","471","120","28","5","18","71","74","48","146","5","10","4",".255",".328",".450",".778",".328","-4.0","0.0","2.2","211.2","13757"
"Mitch Haniger","Mariners","99","430","379","96","22","2","18","59","57","40","107","8","5","2",".253",".335",".464",".799",".337","4.0","-0.1","2.1","262.5","14274"
"Alex Verdugo","Red Sox","140","534","484","141","32","2","14","69","51","43","87","3","8","2",".291",".350",".452",".803",".339","3.0","0.4","2.1","132.2","17027"
"Randy Arozarena","Rays","127","482","427","112","22","3","21","67","60","36","116","15","16","9",".262",".339",".475",".814",".342","-7.0","-1.0","2.1","57.1","19290"
"Mike Tauchman","Yankees","122","416","366","95","20","4","11","58","54","43","92","3","13","4",".260",".339",".426",".765",".323","10.0","0.6","2.1","578.1","15274"
"Kyle Schwarber","Nationals","140","536","457","108","20","2","33","75","87","72","152","5","2","2",".236",".345",".505",".851",".352","0.0","-0.7","2.0","194.3","16478"
"Manuel Margot","Rays","145","507","463","119","23","4","13","60","53","37","103","2","21","7",".257",".313",".408",".721",".306","5.0","0.9","2.0","274.2","14712"
"Austin Meadows","Rays","134","545","491","123","26","4","23","68","71","45","136","5","11","4",".251",".318",".460",".778",".325","3.0","0.2","2.0","98.5","15672"
"Lorenzo Cain","Brewers","121","511","460","127","21","2","8","64","35","44","84","5","14","5",".276",".344",".383",".727",".315","7.0","0.3","1.9","259.0","9077"
"Kevin Kiermaier","Rays","115","433","396","93","18","7","12","52","50","30","106","5","14","5",".235",".296",".407",".703",".297","10.0","0.4","1.9","499.0","11038"
"Victor Robles","Nationals","149","583","517","132","27","5","14","74","62","35","135","22","23","7",".255",".327",".408",".735",".314","5.0","1.2","1.9","168.6","18363"
"Mark Canha","Athletics","128","489","411","98","23","3","19","67","66","58","118","15","4","1",".238",".350",".448",".797",".339","-2.0","0.1","1.9","257.6","11445"
"Harrison Bader","Cardinals","138","440","386","88","17","3","15","61","46","38","140","12","12","4",".228",".314",".404",".718",".306","8.0","0.4","1.8","505.5","18030"
"Brett Gardner","","118","443","383","92","17","5","16","63","52","52","100","4","9","5",".240",".335",".436",".771",".328","-1.0","-0.6","1.8","590.2","9927"
"Eddie Rosario","","143","591","553","153","29","2","28","83","97","32","89","0","7","3",".277",".314",".488",".802",".331","0.0","-0.2","1.8","117.6","12155"
"Tommy Pham","Padres","126","531","461","119","21","2","16","71","60","63","115","5","22","5",".258",".352",".416",".769",".331","1.0","1.9","1.7","128.0","2967"
"Dominic Smith","Mets","149","541","494","134","33","2","21","68","80","38","128","6","1","1",".271",".329",".474",".803",".337","-2.0","-0.5","1.7","101.7","15653"
"Yasiel Puig","","143","546","495","130","26","2","24","68","81","43","115","4","16","7",".263",".324",".469",".793",".331","3.0","-0.1","1.7","260.5","14225"
"Anthony Santander","Orioles","136","572","536","143","35","3","26","70","92","28","103","5","3","4",".267",".308",".489",".796",".329","3.0","-1.4","1.7","160.0","14551"
"Starling Marte","Marlins","138","590","545","148","27","4","15","80","64","25","105","16","25","8",".272",".321",".418",".739",".314","-2.0","1.2","1.7","50.8","9241"
