"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Francisco Lindor","Mets","154","700","628","168","38","2","32","101","88","60","106","6","20","6",".268",".335",".487",".823",".341","8.0","1.1","5.1","17.2","12916"
"Trea Turner","Nationals","144","650","593","176","34","8","26","108","84","51","111","4","38","8",".297",".355",".513",".868",".363","-2.0","3.8","4.7","7.5","16252"
"Corey Seager","Dodgers","135","569","512","147","33","2","27","87","109","49","107","4","4","0",".287",".351",".518",".869",".361","3.0","0.5","4.7","37.8","13624"
"Gleyber Torres","Yankees","148","594","521","148","25","1","33","85","106","63","123","5","8","2",".284",".364",".526",".890",".370","-7.0","0.4","4.4","71.9","16997"
"Fernando Tatis Jr.","Padres","119","524","461","131","22","6","28","89","94","52","136","8","24","8",".284",".365",".540",".905",".375","-2.0","1.0","4.4","2.7","19709"
"Xander Bogaerts","Red Sox","149","639","572","165","38","2","27","95","94","60","116","3","13","1",".288",".357",".503",".860",".359","-5.0","1.8","4.2","36.4","12161"
"Bo Bichette","Blue Jays","130","545","504","144","33","6","23","77","95","37","94","1","27","8",".286",".334",".512",".846",".350","1.0","1.7","4.0","24.1","19612"
"Trevor Story","Rockies","153","650","587","160","35","6","33","96","86","57","176","4","27","7",".273",".340",".521",".861",".357","6.0","2.0","4.0","11.3","12564"
"Carlos Correa","Astros","122","508","446","124","23","1","24","67","91","53","113","3","2","0",".278",".354",".496",".850",".353","1.0","0.1","3.9","125.5","14162"
"Marcus Semien","Blue Jays","145","649","579","149","30","4","23","91","78","66","113","1","12","4",".257",".333",".442",".775",".328","3.0","0.3","3.9","146.3","12533"
"Manny Machado","Padres","151","650","582","158","29","2","33","84","116","60","110","2","11","5",".271",".338",".498",".837",".345","3.0","-0.3","3.8","19.6","11493"
"Ketel Marte","Diamondbacks","153","635","580","167","35","9","19","79","69","45","86","6","7","2",".288",".343",".478",".821",".344","3.0","0.2","3.4","81.4","13613"
"Paul DeJong","Cardinals","145","595","531","130","28","1","23","76","83","48","153","10","4","2",".245",".316",".431",".747",".316","7.0","-0.4","2.9","229.9","18015"
